"Attribute","Type","Value","Default","All","Name","Description"
"activate_air_quality","cha","yes","yes","yes;no","Activate the air quality module","Activate the air quality module"
"aeo_scen","cha","REF","REF","REF;LOP;HOP","AEO scenario","Scenario of the Annual Energy Outlook. Potentially influences prospective stock, sales, fuel prices, electricity sources."
"agtp_last_yr","num","2100","2100",NA,"Time horizon for global temperature change","Final year for calculations of global temperature change"
"air_quality_model","cha","cobra","cobra","cobra;inmap;easiur","Select the air quality model","Select the air quality model"
"backcasting_fct_tbc","cha","fleet_vint_stock_f,fleet_gwp_f","fleet_vint_stock_f,fleet_gwp_f",NA,NA,"The list of functions to be stored after backcasting analysis. Each function is seperated with a "","""
"background_emissions_evolution","cha","default","default","none;default;increase1;increase2;decrease1;decrease2",NA,NA
"bat_impro","cha","y","y","y;n","Battery improvement","Prospective battery technology improvements"
"bat_mat_comp_mdl","cha","def","def","low;high","Battery material composition","Model of battery material composition. The ""low"" case refers to the low case of material composition for the considered critical materials and the ""high"" refers to the high case."
"bat_ms_scen","cha","constant","constant",NA,NA,NA
"bat_resz_ratio","num","0.5","0.5","0;1","Battery resizing ratio","When weight changes occur, this ratio determines if the weight changes reduce the battery weight to get the same driving range (ratio of 1) or if the battery weight is unchanged to gain driving ranges (ratio of 0)."
"battery_calculation_method","cha","GREET_full","GREET_full","GREET_full;GREET_assembly;Tessum2014","Method used to calculate the emissions from battery manufacturing","Method used to calculate the emissions from battery manufacturing"
"battery_capacity_car","num","50","50","50","Capacity of a car battery in kWh","Capacity of a car battery in kWh"
"battery_capacity_truck","num","100","100","100","Capacity of a truck battery in kWh","Capacity of a truck battery in kWh"
"battery_energy_density","num","0.25","0.25","0.25","Average energy density of batteries in kWh/kg","Average energy density of batteries in kWh/kg"
"benefits_per_ev_year","num","2025","2025","2025",NA,NA
"BEV_bat_t","cha","Li_ion LMO","Li_ion LMO","Li_ion LMO;Ni_MH","Battery chemistry for BEV","Battery chemistry for BEV"
"brake_tire_emissions_modification","cha","default","default","","Scenario modifying the brake and tire emissions","Scenario modifying the brake and tire emissions"
"calculation_method",NA,NA,NA,NA,NA,NA
"calculation_mode","cha","default","default","default;aggregated;pollutants_breakdown;all","Defines in which form the final benefits are calculated: default calculates the benefits in each year; aggregated calculated only the difference between 2020 and 2050; pollutants_breakdown provides the single output for each sector and pollutant.",""
"COBRA_folder_location","cha","C:/Program Files/COBRA_v4","C:/Program Files/COBRA_v4","C:/Program Files/COBRA_v4",NA,NA
"COBRA_inflation_correction","num","1.26","1.26","1.26","Correction factor for inflation","COBRA gives valuation in 2017 USD, the correction factor gives 2023 USD"
"col",NA,NA,NA,NA,NA,NA
"color_palette",NA,NA,NA,NA,NA,NA
"colorCount",NA,NA,NA,NA,NA,NA
"cost_of_carbon","num","51","51","51;185","Environmental cost of one ton of carbon","Environmental cost of one ton of carbon. 51$ person it based on the U.S. federal estimate, 185$ is based on latest research"
"crf_last_yr","num","2100","2100",NA,"Time horizon for radiative forcing","Final year for calculations of radiative forcing"
"crude_oil_use_LDV",NA,NA,NA,NA,NA,NA
"crude_to_diesel","num","0.286","0.286","0.286","Volumetric conversion rate between Crude oil and Diesel (1 gallon crude oil is necessary to make 0.286 gallon of diesel)","Source: EPA https://www.eia.gov/tools/faqs/faq.php?id=327&t=9)"
"crude_to_gasoline","num","0.476","0.476","0.476","Volumetric conversion rate between Crude oil and Gasoline (1 gallon crude oil is necessary to make 0.476 gallon of gasoline)","Source: EPA https://www.eia.gov/tools/faqs/faq.php?id=327&t=9)"
"damage_per_kwh","num","8.68","8.68","8.68","Health damages per kWh of battery produced according to Tessum2014 in USD","Health damages per kWh of battery produced according to Tessum2014 in USD"
"discount_rate","num","2","2","2.5;3;5","Economic discount rate","Economic discount rate for the Dynamic Global Warming Impact values"
"dynamic_efs","cha","n","n","y;n",NA,NA
"ef_bat_mdl","cha","def","def","low;high","Emission factor EV battery","Emission factor for EV battery production"
"ef_efuel_elec_adj_coef","num","0","0","0",NA,NA
"ef_efuel_elec_mdl","cha","renewable","renewable","constant;renewable",NA,NA
"ef_elec_adj_coef","num","0","0","0","Coefficient of changes for electricity production EF","In case of linear adjustment of electricity emission factor, annual change (in kg CO2/kWh)"
"ef_elec_adj_mdl","cha","n","n","constant;renewable","Adjustment electricity production EF","Determine the model of adjustments for emissions factors of electricity production."
"ef_elec_mdl","cha","def","def","low;def;high;gcam","Emission factors of electricity production technoogies","Emission factors for electricity production by source. GCAM refers to the use of the emission factors in the GCAM simulation results"
"ef_fuel_prod_mdl","cha","def","def","low;high","Emission factors of fuel production","Emission factors of fuel production"
"ef_prim_mat_mdl","cha","def","def","low;high","Emission factors of primary metal","Emission factors of primary metal"
"efs_convergence","num","5","5","1;5;10","Convergence speed of the Efs toward the best-in-class value (given in years until all Efs are equal to the best value)",NA
"efs_yearly_change","cha","n","n","n;y","Yearly change of the emissions factors for electricity production","Yearly change of the emissions factors for electricity production"
"efuel_dep_mdl","cha","n","n",NA,NA,NA
"efuel_dep_rate","num","0","0","",NA,NA
"efuel_param_scen","cha","def","def",NA,NA,NA
"elec_ef_source","cha","egrid","egrid","egrid;greet","Source of the emission factors: greet = national average / egrid = breakdown by electricity subregion","Source of the emission factors: greet = national average / egrid = breakdown by electricity subregion"
"elec_methane_leak_rate","cha","def","def","low;high","Methane leakage rate","Rate of methane leakage in electricity production"
"elec_mix_adj_coef","num","0.001","0.001","0.001","Coefficient of changes of renewable sources","Annual increase of renewable sources for electricity production. To be activated, elec_mix_adj_mdl = ""linear"""
"elec_mix_adj_mdl","cha","n","n","n;constant;linear","Electricity mixes adjustments","Adjustment method of electricity mixes. ""constant"" refers to constant sources, ""coal"", ""gas"" or ""renewable"" refer to only coal, natural gas or renewable sources."
"elec_mix_mdl","cha","CAMBIUM_mid_case","CAMBIUM_mid_case","NREL_elec_intermediate;aeo_us;ascc;frcc;hicc;mro;npcc;rfc;serc;spp;tre;wecc;CAMBIUM_high_electrification;CAMBIUM_mid_case","Electricity mixes","Source of electricity mixes. Can national or regional sources"
"electric_grid_cambium_scenario",NA,NA,NA,NA,NA,NA
"electric_grid_data_source","cha","AVERT","AVERT","COBRA;CAMBIUM;AVERT",NA,NA
"electric_grid_scenario","cha","default","default","test;default","Electric grid scenario","Electric grid scenario"
"electricity_EF_change","num","0","0","0;0.05","Yearly diminution of the emission factors for electricity production","Yearly diminution of the emission factors for electricity production"
"electricity_EF_change_scenario","cha","none","none","AEO22;Custom;none","Scenario for the calculation of the yearly changes in emissions factors of the electricity production","Scenario for the calculation of the yearly changes in emissions factors of the electricity production"
"electricity_EF_source","cha","eGrid","eGrid","AVERT;eGrid","Source for the calculation of the pollutants emission factors","Source for the calculation of the pollutants emission factors"
"electricity_scenario","cha","current_grid","current_grid","current_grid;renewable","Calculation of the emissions from power generation","Calculates the pollutants emissions from additional electric vehicles"
"emissions",NA,NA,NA,NA,NA,NA
"emissions_multiplier_NOx","num","1","1","1","Multiplier of SO2 emissions to test different scenarios (e.g., calculate older emission factors)","Multiplier of SO2 emissions to test different scenarios (e.g., calculate older emission factors)"
"emissions_multiplier_PM25","num","1","1","1","Multiplier of PM25 emissions to test different scenarios (e.g., calculate older emission factors)","Multiplier of PM25 emissions to test different scenarios (e.g., calculate older emission factors)"
"emissions_multiplier_SO2","num","1","1","1","Multiplier of Nox emissions to test different scenarios (e.g., calculate older emission factors)","Multiplier of Nox emissions to test different scenarios (e.g., calculate older emission factors)"
"ethanol_to_fuel","num","0.67","0.67","0.67","Average volumetric content of pure ethanol in ethanol-based fuel","Source: https://afdc.energy.gov/fuels/ethanol_e85_specs.html"
"ev_bat_size_mdl","cha","def","def","low;high","EV battery size","Model of EV battery to be considered in the last historical years of the model."
"fc_conv_mdl","cha","def","def","low;high","Fuel consumption conventional vehicles","Adjustment factors of fuel consumption of conventional vehicles. If ""def"", no adjustments, if ""low"", 90%, if ""high"", 110%"
"fc_deg","cha","n","n","n;low;def;high","Age-related fuel consumption degradation","If n, no degradation associated with aging. If y, degradation associated with aging. Currently, only "
"fc_deg_mdl","cha","constant","constant","constant;linear","Prospective age-related degradations","Model to create age-related degradation beyond age provided in data."
"fc_dr_city","num","0.55","0.55","0.55","Ratio of city driving","Ratio of city driving"
"fc_ev_mdl","cha","def","def","low;high","Fuel consumption EV","Fuel consumption for electric vehicles"
"fc_impro","cha","safe","safe","n;High","Fuel consumption improvement","Fuel consumption improvement level"
"FCV_bat_t","cha","Li_ion LMO","Li_ion LMO","Li_ion LMO;Ni_MH","Battery chemistry for FCV","Battery chemistry for FCV"
"feature_wgt","cha","def","def","n;high","Weight due to feature","Annual weight increase due to feature content"
"final_scenario_year","num","2050","2050","2050","Final year for the calculation of the custom fleet","Final year for the calculation of the custom fleet"
"first_proj_yr","num","2021","2021",NA,"Year the simulation starts","Year the simulation starts"
"first_yr","num","2015","2015","2015","First simulation year","First year of the model simulations"
"fleet_composition_source","cha","FLAME","FLAME","FLAME, custom","Fleet composition source","The fleet composition is either taken from FLAME (no changes) or from a custom source (files have to be provided)."
"fleet_database",NA,NA,NA,NA,NA,NA
"fleet_ef_corr","num","2022","2022","2014;2022",NA,NA
"fleet_electricity_consumption_source","cha","FLAME","FLAME","FLAME","Source of the fleet's electricity consumption","Source of the fleet's electricity consumption"
"fleet_emissions_elec_state",NA,NA,NA,NA,NA,NA
"fleet_final_year","num","2050","2050","2050","Final year for the calculation of the custom fleet","Final year for the calculation of the custom fleet"
"fleet_id","cha","no_Evs","no_Evs","","ID of the fleet scenario file","ID of the fleet scenario file"
"fleet_initial_year","num","2021","2021","2022","First year in wich the custom fleet is calculated","First year in wich the custom fleet is calculated"
"fleet_stock_adj","cha","y","y","aeo;y;n","Fleet stock adjustement","Adjust the vintaged stocks to match total prospective stocks when the vintaged stock procedure is based on sales. If ""y"", the total stock is adjusted to match prospective total stocks. If ""aeo"", technology-specific stocks are adjusted to match prospective technology-specific stocks of AEO. If ""n"", no adjustments to match total prospective stocks."
"fleet_tot_stock","cha","aeo","aeo","aeo;gcam","Prospective total LDV fleet stock","Indicates the prospective total stock of LDVs to be used when the vintaged stocks are calculated only from total stocks. ""aeo"" refers to total stock based on the AEO. ""constant"" refers to a constant total stock. ""gcam"" refers to total stocks derived from the GCAM model."
"fleet_vint_procedure","cha","stock","stock","sales;stock","Vintaged stock procedure","Defines the vintaged stock procedure. ""sales"" means that prospective vintaged stocks are calculated by forcing prospective sales. ""stock"" means that total prospective stocks are forced and sales are endogenously estimated."
"fleet_vint_stock",NA,NA,NA,NA,NA,NA
"frv_pwt_r","num","0.5","0.5","0;1","Powertrain adjustments in FRV","Ratio of powertrain adjustments in FRV calculations"
"fuel_matching_option","cha","hybrid","hybrid","hybrid;FLAME;MOVES","Fuel matching options between FLAME and MOVES","Fuel matching options between FLAME and MOVES"
"fuel_wtp_ef",NA,NA,NA,NA,NA,NA
"gcam_stock_adj","cha","abs","abs","abs;rel","GCAM stock adjustment","Model of adjustment of GCAM stock. ""abs"" refer to an absolute adjustment and ""rel"" to a relative."
"ghg_budget_mdl","cha","iam","iam","gcam;lit_rev","Source for GHG emission budget","Source for GHG emission budget"
"ghg_concentration_scen","cha","constant","constant",NA,"Background concentration of CO2","Prospective background concentration of CO2 in the atmosphere. ""constant"" means a constant concentration, values with ""ssp_"" extracts the propsective concentration from SSPs."
"grid_shift_year","num","0","0","5;1;2;5;10;15","Years the electric grid is shifted ahead","Years the electric grid is shifted ahead"
"gwp_cc_fb","cha","n","n","n;y","Carbon-cycle feedback","Specify if the GWP values with carbon-cycle feedback should be used"
