"Function","Attribute","Value","Type"
"air_quality_module_f","fleet_dataset","","Internal"
"air_quality_module_f","scenario_id",,"External"
"air_quality_module_f","brake_tire_emissions_modification",,"External"
"air_quality_module_f","fuel_matching_option",,"External"
"air_quality_module_f","fleet_electricity_consumption_source",,"External"
"air_quality_module_f","first_proj_yr",,"External"
"air_quality_module_f","fleet_id",,"External"
"air_quality_module_f","last_yr",,"External"
"air_quality_module_f","years_simulation",,"External"
"air_quality_module_f","battery_calculation_method",,"External"
"air_quality_module_f","air_quality_model",,"External"
"air_quality_module_f","include_battery_manufacturing",,"External"
"air_quality_module_f","name",,"External"
"air_quality_module_f","fleet_ef_corr",,"External"
"backcasting_procedure_f","s_and_f_ghg",,"External"
"backcasting_procedure_f","s_and_f_metric",,"External"
"backcasting_procedure_f","s_and_f_target_year",,"External"
"backcasting_procedure_f","s_and_f_target_sector",,"External"
"backcasting_procedure_f","s_and_f_attribute_name",,"External"
"backcasting_procedure_f","s_and_f_max_attribute_value",,"External"
"backcasting_procedure_f","s_and_f_cut_off",,"External"
"backcasting_results_f","backcasting_fct_tbc",,"External"
"battery_density_f","vehicle","","Internal"
"battery_density_f","model_year","","Internal"
"battery_density_f","bat_impro",,"External"
"cambium_el_grid_scenario_f","output","","Internal"
"cambium_el_grid_scenario_f","elec_mix_mdl","","External"
"cambium_el_grid_scenario_f","first_yr",,"External"
"cambium_el_grid_scenario_f","last_yr",,"External"
"cambium_el_grid_scenario_f","first_proj_yr",,"External"
"cambium_el_grid_scenario_f","include_biomass",,"External"
"cambium_el_grid_scenario_f","grid_shift_year",,"External"
"cambium_el_grid_scenario_f","scenario_id",,"External"
"climate_change_metric_f","emission_matrix","","Internal"
"climate_change_metric_f","ghg",,"Internal"
"climate_change_metric_f","gwp_th",,"External"
"climate_change_metric_f","crf_last_yr",,"External"
"climate_change_metric_f","agtp_last_yr",,"External"
"climate_change_metric_f","discount_rate",,"External"
"climate_change_metric_f","ssp_scen",,"External"
"climate_change_metric_f","ssp_mitigation_scen",,"External"
"climate_change_metric_f","ghg_concentration_scen",,"External"
"cobra_health_impact_f","vehicles_emissions_county","","Internal"
"cobra_health_impact_f","electricity_emissions_fleet","","Internal"
"cobra_health_impact_f","electricity_emissions_background","","Internal"
"cobra_health_impact_f","ng_frac_usage","","Internal"
"cobra_health_impact_f","fleet_fuel_usage_US","","Internal"
"cobra_health_impact_f","emissions_battery_production","","Internal"
"cobra_health_impact_f","last_yr",,"External"
"cobra_health_impact_f","scenario_id",,"External"
"cobra_health_impact_f","fleet_electricity_consumption_source",,"External"
"cobra_health_impact_f","relative_transportation_electricity_demand",,"External"
"cobra_health_impact_f","calculation_mode",,"External"
"cobra_health_impact_f","year_break",,"External"
"cobra_health_impact_f","fleet_id",,"External"
"cobra_health_impact_f","COBRA_inflation_correction",,"External"
"cobra_health_impact_f","include_battery_manufacturing",,"External"
"cobra_health_impact_f","battery_calculation_method",,"External"
"cobra_health_impact_f","vehicle_EF_factor_NOx",,"External"
"cobra_health_impact_f","vehicle_EF_factor_SO2",,"External"
"cobra_health_impact_f","vehicle_EF_factor_PM25",,"External"
"cobra_health_impact_f","first_proj_yr",,"External"
"cobra_health_impact_f","background_emissions_evolution",,"External"
"cobra_health_impact_f","include_ng_emissions",,"External"
"cobra_health_impact_f","stack_height_allocation",,"External"
"COBRA_population_data_generation_f","ssp_scen",,"External"
"COBRA_population_data_generation_f","last_yr",,"External"
"county_level_elec_prod_f",,,
"custom_el_grid_scenario_f","matrix_mix","","External"
"custom_el_grid_scenario_f","electric_grid_scenario",,"External"
"easiur_health_impacts_f","fleet_elec_use_tot_county","","Internal"
"easiur_health_impacts_f","vehicles_emissions_county","","Internal"
"easiur_health_impacts_f","fleet_fuel_usage_tot_county","","Internal"
"easiur_health_impacts_f","oil_gas_activity","","Internal"
"easiur_health_impacts_f","electricity_emissions_county","","Internal"
"easiur_health_impacts_f","scenario_id",,"External"
