"Function","Attributes"
"air_quality_module_f","scenario_id;brake_tire_emissions_modification;fuel_matching_option;fleet_electricity_consumption_source;first_proj_yr;fleet_id;last_yr"
"backcasting_procedure_f","s_and_f_ghg;s_and_f_metric;s_and_f_target_year;s_and_f_target_sector;s_and_f_attribute_name;s_and_f_max_attribute_value;s_and_f_cut_off"
"backcasting_results_f","backcasting_fct_tbc"
"battery_density_f","bat_impro"
"cambium_el_grid_scenario_f","elec_mix_mdl;first_yr;last_yr;first_proj_yr;include_biomass"
"climate_change_metric_f","gwp_th;crf_last_yr;agtp_last_yr;discount_rate;ssp_scen;ssp_mitigation_scen;ghg_concentration_scen"
"cobra_health_impact_f","last_yr;scenario_id;fleet_electricity_consumption_source;relative_transportation_electricity_demand;calculation_mode;discount_rate;year_break;fleet_id"
"COBRA_population_data_generation_f","ssp_scen;last_yr"
"county_level_elec_prod_f",""
"custom_el_grid_scenario_f","matrix_mix;electric_grid_scenario"
"ef_elec_gcam_f","ssp_scen;ssp_mitigation_scen;last_yr"
"ef_elec_own_f","elec_methane_leak_rate"
"elec_source_ev_f","aeo_scen;elec_mix_adj_mdl;elec_mix_adj_coef;elec_mix_mdl;first_yr;last_yr;electric_grid_data_source"
"elec_source_reg_ev_f","aeo_scen;first_yr;last_yr"
"electric_grid_emissions_f","fleet_electricity_consumption_source;scenario_id;electricity_EF_source;last_yr;electricity_EF_change_scenario;fleet_id;elec_ef_source;emissions_multiplier_SO2;emissions_multiplier_NOx;emissions_multiplier_PM25"
"electric_read_scenario_f","electric_grid_scenario"
"electricity_emission_factors_NEI_f",""
"FLAME_AQ_f","scenario_id"
"FLAME_format_conversion_f","fleet_dataset"
"FLAME_to_MOVES_f","scenario_id;fuel_matching_option"
"fleet_adj_vkt_f","vkt_turnover_adj_mdl;survival_rate_adj_age"
"fleet_battery_flow_f","bat_mat_comp_mdl"
"fleet_battery_market_share_f","bat_ms_scen;first_yr;last_yr"
"fleet_climate_change_metric_f",""
"fleet_composition_scenario_f","fleet_initial_year;fleet_final_year;first_proj_yr;fleet_id"
"fleet_demand_matrix_f","first_yr;last_yr"
"fleet_driving_cost_per_vkt_f","aeo_scen;last_yr"
"fleet_efuel_f","efuel_dep_mdl;efuel_dep_rate;efuel_param_scen"
"fleet_emission_target_f","ghg_budget_mdl"
"fleet_emission_target_gcam_f","ssp_scen;ssp_mitigation_scen;last_yr"
"fleet_emission_target_iam_f","ssp_scen;ssp_mitigation_scen;last_yr"
"fleet_emission_target_lit_rev_f","last_yr"
"fleet_env_matrix_f","first_yr;last_yr"
"fleet_fuel_u_f","first_yr;last_yr;fc_deg;fc_deg_mdl;vkt_turnover_adj_mdl;survival_rate_adj_age;scenario_id;fleet_id"
"fleet_fuel_u_reg_f","first_yr;last_yr"
"fleet_gwp_f","gwp_th;gwp_cc_fb"
"fleet_i_comp_wgt_f","wgt_scen_GREET;mod_scen_GREET"
"fleet_i_ev_bat_f","FCV_bat_t;BEV_bat_t;PHEV_bat_t;HEV_bat_t;wgt_scen_GREET;ev_bat_size_mdl"
"fleet_i_mat_cont_f","mat_cont_adj"
"fleet_initialize_f","first_yr;last_yr"
"fleet_lci_f",""
"fleet_ldv_stock_update_gcam_f","last_yr;ssp_scen;ssp_mitigation_scen;gcam_stock_adj"
"fleet_mfa_f","rec_scen;first_yr;last_yr"
