"Function","Input","Type"
"air_quality_module_f","etwd(), ""/inputs/air_quality/normalized_emissions_by_state.csv",".csv"
"air_quality_module_f","modify_brake_tire_wear_f",".R"
"air_quality_module_f","electric_grid_emissions_f",".R"
"air_quality_module_f","fuel_wtp_ef_f",".R"
"air_quality_module_f","health_damages_batteries_f",".R"
"air_quality_module_f","health_damages_batteries_f",".R"
"air_quality_module_f","cobra_health_impact_f",".R"
"air_quality_module_f","inmap_health_impacts_f",".R"
"air_quality_module_f","easiur_health_impacts_f",".R"
"backcasting_procedure_f","fleet_emission_target_f",".R"
"backcasting_procedure_f","fleet_climate_change_metric_f",".R"
"backcasting_procedure_f","fleet_climate_change_metric_f",".R"
"backcasting_procedure_f","fleet_climate_change_metric_f",".R"
"backcasting_procedure_f","climate_change_metric_f",".R"
"backcasting_results_f","backcasting_procedure_f",".R"
"battery_density_f","greet_battery","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2021_mid_case","Input"
"cambium_el_grid_scenario_f","lec_mix_md","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2021_mid_case","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2021_mid_case","Input"
"cambium_el_grid_scenario_f","lec_mix_md","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2021_mid_case","Input"
"cambium_el_grid_scenario_f","NREL_elec_intermediate","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2021_mid_case","Input"
"cambium_el_grid_scenario_f","Mid_Case_2014","Input"
"cambium_el_grid_scenario_f","CAMBIUM_mid_case","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2021_mid_case","Input"
"cambium_el_grid_scenario_f","lec_mix_md","Input"
"cambium_el_grid_scenario_f","CAMBIUM_2022_mid-case","Input"
"cambium_el_grid_scenario_f","CAMBIUM_high_electrification","Input"
"climate_change_metric_f","ssp_diagnostic_dt","Input"
"climate_change_metric_f","rcp_concentration_dt","Input"
"climate_change_metric_f","dgwi_dt","Input"
"cobra_health_impact_f","etwd(), ""/inputs/air_quality/list_states.csv",".csv"
"cobra_health_impact_f","etwd(), ""/inputs/air_quality/GIS_matching_matrix.csv",".csv"
"cobra_health_impact_f","etwd(), ""/inputs/air_quality/"", ""Background_emissions_change_"", background_emissions_evolution, "".csv",".csv"
