"","air_quality_module_f","backcasting_procedure_f","backcasting_results_f","battery_density_f","cambium_el_grid_scenario_f","climate_change_metric_f","cobra_health_impact_f","COBRA_population_data_generation_f","county_level_elec_prod_f","custom_el_grid_scenario_f","easiur_health_impacts_f","ef_elec_gcam_f","ef_elec_own_f","elec_source_ev_f","elec_source_reg_ev_f","electric_grid_emissions_f","electric_read_scenario_f","FLAME_AQ_f","fleet_adj_vkt_f","fleet_battery_flow_f","fleet_battery_market_share_f","fleet_climate_change_metric_f","fleet_composition_scenario_f","fleet_demand_matrix_f","fleet_driving_cost_per_vkt_f","fleet_efuel_f","fleet_emission_target_f","fleet_emission_target_gcam_f","fleet_emission_target_iam_f","fleet_emission_target_lit_rev_f","fleet_env_matrix_f","fleet_fuel_u_f","fleet_fuel_u_reg_f","fleet_gwp_f","fleet_i_comp_wgt_f","fleet_i_ev_bat_f","fleet_i_mat_cont_f","fleet_initialize_f","fleet_lci_f","fleet_ldv_stock_update_gcam_f","fleet_mfa_f","fleet_read_scenario_f","fleet_rebound_vkt_f","fleet_sales_reg_f","fleet_technology_market_share_proj_f","fleet_vint_stock_f","fleet_vint_stock_initialization_f","fleet_vint_stock_reg_f","fleet_vint_stock_update_with_sales_f","fleet_vint_stock_update_with_stock_f","fleet_vkt_f","fleet_vkt_reg_f","fuel_price_f","fuel_wtp_ef_f","GIS_matching_f","health_damages_batteries_f","inmap_electricity_emissions_f","inmap_health_impacts_f","inmap_refining_emissions_f","inmap_vehicles_emissions_f","lca_ef_efuel_elec_f","lca_ef_elec_f","lca_ef_greet_f","lca_ef_lit_f","modify_brake_tire_wear_f","rec_rate_f","scenario_market_share_f","sub_fac_f","survival_rate_f","technology_market_share_diffusion_f","total_benefits_calculation_f","valuation_health_outcomes_f","vehicle_climate_change_metric_f","vehicle_fc_changes_efficiency_f","vehicle_fc_changes_weight_f","vehicle_frv_f","vehicle_gwp_f","vehicle_hist_fc_f","vehicle_hist_material_composition_f","vehicle_initialize_f","vehicle_lca_demand_matrix_f","vehicle_lci_f","vehicle_module_f","vehicle_peak_power_f","vehicle_specifications_f","vehicle_utility_factor_f","vehicle_weight_changes_battery_f","vehicle_weight_changes_f","vehicle_weight_changes_powertrain_f","vehicle_weight_changes_secondary_f","vehicle_wgt_changes_feature_f","vehicle_wgt_changes_lightweighting_f"
"air_quality_module_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annual_mileage_TEDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AVERT_us_emissions_factors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"backcasting_procedure_f",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"battery_density_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"battery_market_share",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"battery_material_composition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bnef_ev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTW_"", brake_tire_emissions_modificatio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c2g_rel_subcpt_wgt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMBIUM_2021_mid_case",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMBIUM_2022_mid-case",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cambium_el_grid_scenario_f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
