Year,Electricity production [kWh],CO2 emissions [g],CO2 EF [g/kWh],Yearly change
2022,4.24E+12,1.50E+15,353.7501369,0
2023,4.33E+12,1.47E+15,340.1480867,-3.845101024
2024,4.36E+12,1.34E+15,307.3251161,-9.649612019
2025,4.40E+12,1.30E+15,294.9044422,-4.041542065
2026,4.43E+12,1.28E+15,289.5334764,-1.821256328
2027,4.45E+12,1.27E+15,285.8750425,-1.263561617
2028,4.47E+12,1.27E+15,283.8528486,-0.707369867
2029,4.50E+12,1.24E+15,274.6378697,-3.246392982
2030,4.52E+12,1.21E+15,268.6211167,-2.190795081
2031,4.55E+12,1.20E+15,264.5995626,-1.497110182
2032,4.58E+12,1.19E+15,260.2033141,-1.661472353
2033,4.61E+12,1.20E+15,260.2665813,0.024314522
2034,4.64E+12,1.16E+15,250.0585286,-3.92215268
2035,4.68E+12,1.14E+15,243.0199347,-2.814778585
2036,4.72E+12,1.12E+15,236.4060887,-2.721524042
2037,4.77E+12,1.11E+15,233.1728518,-1.367662296
2038,4.81E+12,1.12E+15,231.5997481,-0.674651298
2039,4.86E+12,1.12E+15,229.8675501,-0.747927394
2040,4.90E+12,1.11E+15,227.079178,-1.21303424
2041,4.95E+12,1.12E+15,225.662717,-0.623774086
2042,5.00E+12,1.12E+15,223.8320538,-0.811238671
2043,5.05E+12,1.12E+15,221.1133509,-1.214617292
2044,5.11E+12,1.12E+15,219.2791029,-0.829551023
2045,5.16E+12,1.12E+15,217.2485115,-0.926030473
2046,5.21E+12,1.12E+15,215.6595386,-0.731407989
2047,5.27E+12,1.13E+15,213.9856423,-0.776175398
2048,5.32E+12,1.13E+15,213.0341294,-0.444662008
2049,5.38E+12,1.14E+15,211.5051943,-0.717694912
2050,5.44E+12,1.14E+15,210.280065,-0.579243161
