Year,Frac_non_transportation
2015,0.995598498
2016,0.995598498
2017,0.995598498
2018,0.995598498
2019,0.995598498
2020,0.995598498
2021,0.995598498
2022,0.995598498
2023,0.99458033
2024,0.993459306
2025,0.992164127
2026,0.990647085
2027,0.988855712
2028,0.986843625
2029,0.984561135
2030,0.982051701
2031,0.979774708
2032,0.977482432
2033,0.975183707
2034,0.972841755
2035,0.970605632
2036,0.96846789
2037,0.966440221
2038,0.964493858
2039,0.962667508
2040,0.9610119
2041,0.959508849
2042,0.958158957
2043,0.956972698
2044,0.95589577
2045,0.954984763
2046,0.954134535
2047,0.953371066
2048,0.952633145
2049,0.951949298
2050,0.951402548
