State and County FIPS Code,AVERT Region
01001,Southeast
01003,Southeast
01005,Southeast
01007,Southeast
01009,Southeast
01011,Southeast
01013,Southeast
01015,Southeast
01017,Southeast
01019,Southeast
01021,Southeast
01023,Southeast
01025,Southeast
01027,Southeast
01029,Southeast
01031,Southeast
01033,Tennessee
01035,Southeast
01037,Southeast
01039,Southeast
01041,Southeast
01043,Southeast
01045,Southeast
01047,Southeast
01049,Tennessee
01051,Southeast
01053,Southeast
01055,Southeast
01057,Southeast
01059,Southeast
01061,Southeast
01063,Southeast
01065,Southeast
01067,Southeast
01069,Southeast
01071,Tennessee
01073,Southeast
01075,Southeast
01077,Tennessee
01079,Southeast
01081,Southeast
01083,Tennessee
01085,Southeast
01087,Southeast
01089,Tennessee
01091,Southeast
01093,Southeast
01095,Southeast
01097,Southeast
01099,Southeast
01101,Southeast
01103,Tennessee
01105,Southeast
01107,Southeast
01109,Southeast
01111,Southeast
01113,Southeast
01115,Southeast
01117,Southeast
01119,Southeast
01121,Southeast
01123,Southeast
01125,Southeast
01127,Southeast
01129,Southeast
01131,Southeast
01133,Southeast
02013,Alaska
02016,Alaska
02020,Alaska
02050,Alaska
02060,Alaska
02068,Alaska
02070,Alaska
02090,Alaska
02100,Alaska
02105,Alaska
02110,Alaska
02122,Alaska
02130,Alaska
02150,Alaska
02164,Alaska
02170,Alaska
02180,Alaska
02185,Alaska
02188,Alaska
02195,Alaska
02198,Alaska
02220,Alaska
02230,Alaska
02240,Alaska
02261,Alaska
02270,Alaska
02275,Alaska
02282,Alaska
02290,Alaska
04001,Southwest
04003,Southwest
04005,Southwest
04007,Southwest
04009,Southwest
04011,Southwest
04012,Southwest
04013,Southwest
04015,Southwest
04017,Southwest
04019,Southwest
04021,Southwest
04023,Southwest
04025,Southwest
04027,Southwest
05001,Midwest
05003,Midwest
05005,Midwest
05007,Central
05009,Midwest
05011,Midwest
05013,Midwest
05015,Midwest
05017,Midwest
05019,Midwest
05021,Midwest
05023,Midwest
05025,Midwest
05027,Midwest
05029,Midwest
05031,Midwest
05033,Central
05035,Midwest
05037,Midwest
05039,Midwest
05041,Midwest
05043,Midwest
05045,Midwest
05047,Central
05049,Midwest
05051,Midwest
05053,Midwest
05055,Midwest
05057,Midwest
05059,Midwest
05061,Central
05063,Midwest
05065,Midwest
05067,Midwest
05069,Midwest
05071,Midwest
05073,Midwest
05075,Midwest
05077,Midwest
05079,Midwest
05081,Central
05083,Midwest
05085,Midwest
05087,Central
05089,Midwest
05091,Midwest
05093,Midwest
05095,Midwest
05097,Midwest
05099,Midwest
05101,Midwest
05103,Midwest
05105,Midwest
05107,Midwest
05109,Midwest
05111,Midwest
05113,Central
05115,Midwest
05117,Midwest
05119,Midwest
05121,Midwest
05123,Midwest
05125,Midwest
05127,Midwest
05129,Midwest
05131,Central
05133,Central
05135,Midwest
05137,Midwest
05139,Midwest
05141,Midwest
05143,Central
05145,Midwest
05147,Midwest
05149,Midwest
06001,California
06003,California
06005,California
06007,California
06009,California
06011,California
06013,California
06015,Northwest
06017,California
06019,California
06021,California
06023,California
06025,California
06027,California
06029,California
06031,California
06033,California
06035,California
06037,California
06039,California
06041,California
06043,California
06045,California
06047,California
06049,California
06051,California
06053,California
06055,California
06057,California
06059,California
06061,California
06063,California
06065,California
06067,California
06069,California
06071,California
06073,California
06075,California
06077,California
06079,California
06081,California
06083,California
06085,California
06087,California
06089,California
06091,California
06093,California
06095,California
06097,California
06099,California
06101,California
06103,California
06105,California
06107,California
06109,California
06111,California
06113,California
06115,California
08001,Rocky Mountains
08003,Rocky Mountains
08005,Rocky Mountains
08007,Rocky Mountains
08009,Rocky Mountains
08011,Rocky Mountains
08013,Rocky Mountains
08014,Rocky Mountains
08015,Rocky Mountains
08017,Rocky Mountains
08019,Rocky Mountains
08021,Rocky Mountains
08023,Rocky Mountains
08025,Rocky Mountains
08027,Rocky Mountains
08029,Rocky Mountains
08031,Rocky Mountains
08033,Rocky Mountains
08035,Rocky Mountains
08037,Rocky Mountains
