gea,t,busbar_load,busbar_load_for_enduse,enduse_load,dac_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_dac,co2_captured_ccs,total_net_co2_c,total_net_co2,total_net_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh,battery_MW,beccs_MW,biomass_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,upv_MW,wind-ofs_MW,wind-ons_MW,dac_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_shadow_price,rps_f,ces_shadow_price,ces_f,co2_shadow_price
AZNMc,2022,141799153.9,138553623,133574385.5,0,1409905.6,111208394.9,1217080.2,192825.4,1835625.4,0.0359,0.0539,0.135,45215.07,34043.3,364.9,30.5,4.34,23.7,1163.3,0.22,366.9,56.4,423.2,371.8,32,4.55,23.4,1158.7,0.22,373.9,55.9,429.8,424.4,14.6,1.83,44.3,1995.7,0.2,425.3,100.3,525.6,690.1,48.7,6.83,49.4,2463.9,0.33,693.3,118.4,811.8,51828424.6,4341.3,617.1,3367762.9,165143.4,31.1,52113508.1,8000026.2,60113534.3,0,0,51828424.6,55196187.5,60113534.3,35.86,9.65,0,45.52,37.99,10.57,0,48.57,143037980,27345228,31446266,32912356,0,29364,40118030,0,273084.7,9069476,64024.1,589478.8,0,5703750.5,0,16353.9,18049950,3575172.8,153923.2,1036754,0,1521.2,0,84.8,5189,0,8,1994.3,15813.3,0,5523.8,8.6,3067,3937,1952.7,216.3,6699.9,0,1744.3,0,3042.4,2163,0,0,0.11,0,0,0
AZNMc,2024,147123321.7,143642238.8,138480130.4,0,1791495,114218779.7,1615275.5,176219.5,1689588,0.0359,0.0539,0.135,45215.07,35293.2,331.4,24.8,3.49,24.3,1149.5,0.2,333,56.5,389.5,335.4,25.7,3.62,24,1145,0.2,337.1,56.2,393.3,392.5,12.2,1.49,42.2,1887.8,0.18,393.3,95.1,488.4,685.9,47.4,6.64,50,2476.4,0.33,689,119.4,808.4,49959885.8,3740.2,526.2,3659784.2,173322,29.9,50204050.6,8520732.1,58724782.7,0,0,49959885.8,53619670,58724782.7,32.51,9.58,0,42.09,34.46,10.51,0,44.97,151806820,29423460,31446266,27460646,0,14086.3,51872436,0,349355.8,9065539,64035.3,589478.8,0,5715414,0,16398.4,19795988,3895658,144013.3,1377501.2,0,2081.2,0,84.8,5189,0,8,2190,17445.9,0,4805.3,8.6,3067,3937,865.5,216.3,7403.2,0,1756.8,0,4162.4,2163,0,0,0.12,0,0,0
AZNMc,2026,152161721.7,147952741,142635725,0,1926490.8,118303980.7,1692093.2,234397.6,2282489.8,0.0359,0.0539,0.135,50683.71,36351.9,318.6,23.7,3.34,23.5,1108.9,0.19,320.2,54.6,374.7,306.7,23.6,3.32,22,1045.4,0.19,308.2,51.3,359.6,336.9,8.2,0.93,38.2,1696.1,0.15,337.4,85.7,423.1,695.7,50.4,7.09,48.7,2435.5,0.34,699,117,816,48944872.8,3648.2,513,3605657.1,170337.1,29.4,49182965.4,8382895.5,57565860.9,0,0,48944872.8,52550529.8,57565860.9,31.24,10.72,0,41.96,33.13,11.8,0,44.93,154638340,29648762,31446266,26772840,0,8814.2,53576132,0,256914.4,10647589,64032.1,587047.5,0,5684591,0,16331.6,19519816,4428022.5,188513.1,1441431.9,0,2081.2,0,84.8,4422,0,8,2500,19287.3,0,4805.3,8.6,3486,3937,865.5,216.3,7403.2,0,1756.8,0,4162.4,2163,0,0,0.16,0,0,0
AZNMc,2028,156572125.8,151571586.8,146124519.4,0,2115258.8,118951981.9,1841328.2,273930.6,2885280.2,0.0359,0.0539,0.135,58653.13,37241.7,310,23,3.23,22.9,1082.3,0.19,311.5,53.3,364.8,291.2,22.4,3.16,20.9,990.9,0.18,292.7,48.7,341.3,252.1,6.6,0.76,28.2,1253.9,0.12,252.5,63.3,315.8,665.6,45.9,6.42,48.8,2401.7,0.33,668.6,116.1,784.7,49105362.6,3644.4,512.3,3630569.8,171387.8,29.5,49343152.4,8437244.8,57780397.2,0,0,49105362.6,52735932.4,57780397.2,32.33,12.37,0,44.7,34.32,13.66,0,47.98,159426910,32619604,31446266,26693880,0,10161.3,55334880,0,254666.7,10623686,64024.3,585685,0,8144944,0,16408.8,19247496,5210756,221265.8,1572784.6,0,2161.4,0,84.8,4111,0,8,2945.6,20320.9,0,4805.3,8.6,3486,3937,865.5,216.3,7403.2,0,2343.4,0,4493.5,2163,0,0,0.17,0,0,0
AZNMc,2030,161800377.9,155227485.6,149649035.2,0,3318834.2,104275582.9,2895527.2,423307,3254058,0.0359,0.0539,0.135,65083.65,38140.1,267.9,19.6,2.75,20.1,944,0.16,269.1,46.6,315.8,256.6,19.7,2.77,18.6,876.3,0.16,257.9,43.1,301,250.1,6.4,0.74,28.1,1250.8,0.11,250.4,63.1,313.6,637.1,44.6,6.27,46,2272.6,0.32,640,109.8,749.8,46651396.2,3413.9,479.2,3507489.1,164379.3,28.3,46873973.5,8117615.1,54991588.6,0,0,46651396.2,50158885.4,54991588.6,30.63,13.3,0,43.93,32.62,14.78,0,47.4,175350740,50951904,31446266,24898662,0,13228.5,53809160,0,312913.2,10473232,64024.3,576082.2,0,9324061,0,16453.6,35506100,6105289,340679.5,2464595.8,0,2540.9,0,84.8,4111,0,8,3463.4,20320.9,0,4742.3,8.6,3486,3937,594.5,216.3,12981.8,0,2626,0,7142.6,2163,0,0,0.2,0,0.06,0
AZNMc,2032,167745856.4,159031596.4,153316436.7,0,6153183.5,107726290.4,5742138.5,411045.3,2561076.5,0.0359,0.0539,0.135,68798.25,39074.3,173.2,5.2,0.62,20.5,849.6,0.11,173.6,44.3,217.8,163.7,5.9,0.74,18.6,771.8,0.11,164.1,40.2,204.3,221.9,5.5,0.63,25.1,1114.4,0.1,222.2,56.3,278.5,612.6,39.7,5.53,47.2,2286.5,0.3,615.2,111.3,726.5,29572314.1,883.4,106.1,3492636.1,145005.1,19.5,29625161,7557942.7,37183103.7,0,0,29572314.1,33064950.3,37183103.7,31.03,13.83,0,44.86,33.15,15.63,0,48.78,171926610,51305304,31446266,3124446.2,0,6715.9,69384440,0,258384.6,10531906,64013.4,579893.3,0,9273381,0,16496.9,35152188,6863241,330238.3,4894993.5,0,4236.4,0,84.8,486,0,8,3914.9,22294.1,0,4742.3,8.6,3486,3937,486,216.3,13047.9,0,2626,0,14056.5,2163,0,0,0.2,0,0.07,0
AZNMc,2034,172184883.7,163095078.4,157233888.3,0,6531473.5,111721751.1,5849237.5,682235.8,2558331.9,0.0359,0.0539,0.135,70970.95,40071.8,173.9,5.2,0.63,20.5,851.9,0.11,174.2,44.4,218.6,162.4,5.9,0.74,18.4,764.9,0.11,162.8,39.8,202.6,255.1,5.7,0.62,29.4,1303.5,0.11,255.4,66,321.4,622.1,42.3,5.9,46.1,2269.5,0.3,624.9,109.7,734.6,30073955.2,903.3,108.6,3542439.6,147297.6,19.7,30128037.7,7671996.9,37800034.6,0,0,30073955.2,33616394.8,37800034.6,30.85,14.26,0,45.11,32.98,16.14,0,49.12,174187600,51373330,31446266,3222318.5,0,6538.8,71193030,0,279161.5,10506470,64006.1,577929.4,0,9222883,0,16382.8,34829070,7304989,546204.4,4972340,0,4213.7,0,84.8,486,0,8,4203.1,22579.4,0,4742.3,8.6,3486,3937,377.5,338.6,13115.1,0,2626,0,14230.4,3385.8,0,0,0.2,0,0.08,0
AZNMc,2036,177425485.9,167282070.5,161270411.4,0,7613951,114802059.4,6527297.5,1086653.6,2529464.5,0.0359,0.0539,0.135,71347.55,41102.4,171.8,5.2,0.62,20.2,841.2,0.11,172.1,43.8,215.9,160,5.8,0.72,18.1,754.1,0.11,160.4,39.3,199.6,211.3,4.8,0.53,24.3,1076.8,0.09,211.6,54.5,266.1,590.4,37.2,5.16,46.4,2243,0.29,592.8,109.2,702,30027500.2,903.4,108.7,3535811.5,147033.5,19.7,30081601.8,7657965.4,37739567.2,0,0,30027500.2,33563311.8,37739567.2,31.4,14.28,0,45.68,33.61,16.23,0,49.84,176126130,52480012,31446266,3232877.5,0,2398.6,71135330,0,235560.8,10507947,64020.7,578728.5,0,9699765,0,16315.2,35079760,7684170.5,876954.1,5566029.5,0,4452.1,0,84.8,486,0,8,4460.5,22566.6,0,4742.3,8.6,3486,3937,160.5,550.8,13447,0,2773.1,0,16049.8,5508,0,0,0.2,0,0.08,0
AZNMc,2038,187332716.5,171790189.4,165616520.9,0,12971546,112720693.8,11910931,1060615.1,2570980.9,0.0359,0.0539,0.135,71281.35,42208.6,158.7,4.7,0.57,18.8,778.8,0.1,159,40.6,199.6,149.4,5.1,0.64,17.2,711.9,0.1,149.7,37.2,186.9,216.4,5,0.55,24.8,1102.4,0.1,216.7,55.7,272.4,570.5,34.4,4.75,46.3,2214.4,0.28,572.7,108.4,681.1,29368648.2,874.8,105,3472553,144103.2,19.4,29420953.9,7512578.7,36933532.6,0,0,29368648.2,32841201.2,36933532.6,30.45,13.85,0.02,44.33,32.75,16.18,0.02,48.96,186501740,59069496,31446266,3080689,0,2024.2,70595150,0,168596.8,10518199,64009.8,581427,0,10525525,0,16394.4,40547964,7979610.5,844912.8,10130967,0,5696.4,0,84.8,486,0,8,4670,22731.9,0,4742.3,8.6,3486,3937,160.5,724.2,16209.8,0,2944.8,0,31830.1,7242.4,0,0,0.2,0,0.09,0
AZNMc,2040,194080442.7,176532976.8,170188865.5,0,14933027,115141941.2,13641986,1291040.8,2614438.9,0.0359,0.0539,0.135,72060.09,43375.4,154.1,4.6,0.55,18.3,757.1,0.1,154.4,39.5,193.9,145.5,4.9,0.61,16.9,696.9,0.1,145.8,36.4,182.2,184.8,4.2,0.46,21.2,942.6,0.08,185,47.6,232.6,562.9,33.2,4.57,46.5,2210.4,0.27,565.1,108.5,673.5,29012840.3,858.9,102.9,3438956.3,142534.5,19.2,29064149.1,7435017.1,36499166.2,0,0,29012840.3,32451796.6,36499166.2,30.17,13.88,0.26,44.31,32.48,16.34,0.28,49.1,189740960,61391030,31446266,2992300,0,1328.6,69951750,0,107456.2,10531520,64035.3,580743.2,0,11478735,0,16462.8,41644628,8251209,1036050.8,11638482,0,6245.5,0,84.8,486,0,8,4869,22429.5,0,4742.3,8.6,3486,3937,160.5,1074.7,16766.7,0,3014.2,0,37324.9,10747,0,0,0.23,0.4,0.1,0
