State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
12,11,Broward,FL,Florida,p102,FRCCc
28,55,Issaquena,MS,Mississippi,p87,SRMVc
31,51,Dixon,NE,Nebraska,p40,MROWc
28,103,Noxubee,MS,Mississippi,p88,SRTVc
41,51,Multnomah,OR,Oregon,p5,NWPPc
6,65,Riverside,CA,California,p10,CAMXc
51,69,Frederick,VA,Virginia,p100,SRVCc
5,99,Nevada,AR,Arkansas,p85,SRMVc
48,317,Martin,TX,Texas,p62,ERCTc
39,17,Butler,OH,Ohio,p114,RFCWc
49,19,Grand,UT,Utah,p25,NWPPc
30,71,Phillips,MT,Montana,p18,NWPPc
47,63,Hamblen,TN,Tennessee,p92,SRTVc
16,33,Clark,ID,Idaho,p16,NWPPc
55,117,Sheboygan,WI,Wisconsin,p79,RFCWc
54,51,Marshall,WV,West Virginia,p116,RFCWc
37,101,Johnston,NC,North Carolina,p98,SRVCc
22,27,Claiborne,LA,Louisiana,p86,SRMVc
17,7,Boone,IL,Illinois,p80,RFCWc
40,83,Logan,OK,Oklahoma,p50,SPSOc
47,39,Decatur,TN,Tennessee,p92,SRTVc
19,105,Jones,IA,Iowa,p70,MROWc
53,21,Franklin,WA,Washington,p3,NWPPc
46,83,Lincoln,SD,South Dakota,p38,MROWc
39,13,Belmont,OH,Ohio,p112,RFCWc
51,690,Martinsville,VA,Virginia,p118,RFCWc
27,77,Lake of the Woods,MN,Minnesota,p42,MROWc
22,67,Morehouse,LA,Louisiana,p86,SRMVc
28,119,Quitman,MS,Mississippi,p87,SRMVc
47,51,Franklin,TN,Tennessee,p92,SRTVc
31,63,Frontier,NE,Nebraska,p40,MROWc
48,163,Frio,TX,Texas,p65,ERCTc
21,171,Monroe,KY,Kentucky,p93,SRTVc
54,39,Kanawha,WV,West Virginia,p117,RFCWc
37,85,Harnett,NC,North Carolina,p98,SRVCc
41,63,Wallowa,OR,Oregon,p5,NWPPc
16,47,Gooding,ID,Idaho,p15,NWPPc
55,25,Dane,WI,Wisconsin,p78,MROEc
49,1,Beaver,UT,Utah,p25,NWPPc
37,91,Hertford,NC,North Carolina,p98,SRVCc
22,73,Ouachita,LA,Louisiana,p86,SRMVc
51,139,Page,VA,Virginia,p100,SRVCc
55,35,Eau Claire,WI,Wisconsin,p46,MROWc
41,39,Lane,OR,Oregon,p5,NWPPc
26,155,Shiawassee,MI,Michigan,p103,RFCMc
54,63,Monroe,WV,West Virginia,p116,RFCWc
21,163,Meade,KY,Kentucky,p109,SRTVc
31,39,Cuming,NE,Nebraska,p40,MROWc
48,171,Gillespie,TX,Texas,p64,ERCTc
39,159,Union,OH,Ohio,p112,RFCWc
12,69,Lake,FL,Florida,p101,FRCCc
19,93,Ida,IA,Iowa,p45,MROWc
17,193,White,IL,Illinois,p81,SRMWc
48,71,Chambers,TX,Texas,p66,SRMVc
48,217,Hill,TX,Texas,p63,ERCTc
51,11,Appomattox,VA,Virginia,p99,SRVCc
17,5,Bond,IL,Illinois,p81,SRMWc
54,95,Tyler,WV,West Virginia,p116,RFCWc
37,87,Haywood,NC,North Carolina,p97,SRVCc
20,135,Ness,KS,Kansas,p53,SPNOc
