gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
AZNMc,2024,143948670,1136591.2,409219.7,2887176,148381651,138775472.1,70980363.2,80140120,119338880,0.0359,0.0539,0.1209,49999.91,34302.5,0.63,0.63,231.2,17.1,2.4,17.3,809.6,0.14,232.3,41.5,273.8,246.6,18.5,2.6,18.1,855.6,0.15,247.9,43.6,291.5,161.7,4.2,0.49,18.1,806.5,0.07,162,42.1,204.1,653,48.6,6.87,44.9,2233.8,0.34,656.3,111.6,767.9,43118574.5,3183.5,447.3,3225376.1,151009.5,26.6,43335559.8,7732714.4,51068274.2,0,27.74,10.1,0,37.85,29.48,11.15,0,40.64,187955500,77401290,961626.9,267391.6,0,0,22604492,0,606151.7,4270761.5,45430760,0,578424.4,64041.4,9498082,30788762,36070.8,324563.5,0,62849496,9674873,0,845.4,42.7,0,4483,0,295.6,2421,16489.7,0,5487.7,8.6,3963,3937,1118,216.3,0,22914.3,0,2861.3,2686.1,2163,0,0
AZNMc,2026,147637300,3120626.5,473833.6,3569313.5,154801062.8,142331528.6,69798197.9,106212050,140583840,0.0359,0.0539,0.1208,66901.59,35166,0.68,0.69,200.5,14.9,2.1,15,698.4,0.13,201.5,35.9,237.4,204.2,15.1,2.12,15.3,715,0.13,205.2,36.6,241.8,124.8,3.9,0.48,13.4,600.5,0.06,125,31.3,156.3,594.1,41.8,5.87,43.2,2113.3,0.3,596.9,106.2,703.2,37691540.4,2807.8,394.8,2828394.4,131311.4,23.9,37883006.3,6748011.1,44631017.4,0,27.64,13.41,0,41.04,29.58,14.95,0,44.53,189501630,85002860,2690551.2,264908.8,0,0,20013350,0,611273.4,5323382,39519516,0,369784.6,63995.1,10752428,30413178,23621.2,387444,0,68569980,10498222,0,1996.8,42.7,0,4483,0,295.6,3000.3,16628.2,0,5392.7,8.6,4357,3937,1118,216.3,0,24777,0,3074.3,7291.5,2163,0,2.3
AZNMc,2028,152042960,5449016,511597,4707279.3,162710856,146578870.9,56948424.2,149755570,177941730,0.0359,0.0539,0.1209,64724.79,36322.3,0.79,0.79,136.8,10.7,1.51,10.2,462.1,0.1,137.6,24,161.6,135.9,10.4,1.47,10.1,465.3,0.09,136.7,24,160.7,84.8,3.2,0.42,8.6,390.3,0.04,85,20.2,105.2,478.8,32.6,4.57,36,1743.4,0.25,481.1,88,569.1,25917229.8,2024.1,285.9,1936986.4,87525.5,18.2,26055603.7,4550224.6,30605828.3,0,21.08,12.75,0,33.83,22.88,14.43,0,37.31,191192240,105762430,4632131.5,255282.2,0,0,14765338,0,580388.6,6564211.5,25188048,0,172544.1,62790.2,10579410,29356614,15259.3,402397.6,0,82146300,16471523,0,3345.9,42.7,0,4483,0,295.6,3736.8,16178.2,0,4738.2,8.6,4360,3937,1098,216.3,0,29780.6,0,4632.6,12610.7,2163,0,0
AZNMc,2030,157141620,9388790,575614.6,4370488.2,171476502.3,151494285.6,60100731.3,141347380,162377890,0.0359,0.0539,0.1209,62282.7,37735,0.83,0.83,120.7,10.2,1.44,8.5,385.2,0.09,121.4,20,141.4,116.4,9.6,1.36,8.2,378.1,0.08,117,19.5,136.6,42.4,1.9,0.26,4.1,187.4,0.02,42.5,9.7,52.2,411.1,28.3,3.96,30.9,1491.9,0.22,413.1,75.4,488.5,23036404.4,1938.7,275.7,1619092.5,73462.2,16.8,23169434.2,3812857.8,26982292,0,19.62,12.04,0,31.66,21.58,13.91,0,35.49,192808580,111375770,7989803,248957.8,0,0,14488517,0,477528.1,7721007,18797816,0,131289.4,61722.9,10483992,28768294,3437.6,458978.8,0,83863490,19313750,0,5129.6,42.7,0,4483,0,295.6,4536.1,15810.2,0,4386.1,8.6,4360,3937,585,216.3,0,32162,0,5435.6,21864.2,2163,0,0
AZNMc,2035,171381460,29207604,1552714.2,4299230.6,206440998.3,165222385.9,58314972.2,139247600,154665970,0.0359,0.0539,0.1216,166561.67,41573.8,0.96,0.95,13.1,0.2,0.02,2.7,71.3,0.03,13.1,4.8,17.9,14.7,0.3,0.03,3,87.4,0.03,14.7,5.6,20.4,0,0,0,0,0,0,0,0,0,164.2,4.5,0.52,21.3,891.6,0.11,164.4,47.9,212.3,2863829.8,54,5.4,584516.5,15579,6.7,2866912,1050611.2,3917523.2,0,84.51,29.13,0,113.64,95.94,37.31,0,133.25,222048210,148126030,24901308,220827.8,0,0,0,0,431049.2,9202296,9967420,0,0,60336.6,10394735,27110444,0,1254139.6,12974.5,109629656,28863024,0,12016.6,40.5,0,0,0,295.6,5682.9,16768.4,0,2003,8.6,4360,3937,0,608.5,2383.1,43396.8,0,8134.9,71638.2,6085.1,0,428.8
AZNMc,2040,188492380,39646004,1485988.2,4384559.1,234008937.1,181718371.2,70337207.2,144781810,156190830,0.0359,0.0539,0.122,131184.7,46020.1,0.96,0.95,11.3,0.2,0.02,2.4,61.8,0.03,11.4,4.2,15.6,13,0.3,0.03,2.7,76.1,0.03,13,5,18,0,0,0,0,0,0,0,0,0,174.2,5.2,0.6,22.5,951.6,0.11,174.5,50.9,225.4,2734436.2,51.5,5.2,570075.1,14904.5,6.7,2737379.1,1016058.9,3753438,0,43.62,22.43,0,66.05,49.41,29.62,0,79.03,245580320,163671730,33659068,221488.8,0,0,0,0,455266.2,9306353,9449685,0,11593.4,61005.5,10114859,27203324,0,1187574.1,0,125463704,28446410,0,17008.1,40.5,0,0,0,295.6,5908.7,16695.4,0,2003,8.6,4360,3937,0,608.5,2383.1,49896.1,0,7839.1,96592.3,6085.1,0,187.6
AZNMc,2045,205065140,47138170,1553377,4069128.2,257825812.2,197695456,84622021.9,140778560,139559790,0.0359,0.0539,0.1221,136587.92,50189.1,0.98,0.97,7.2,0.1,0.01,1.8,39.9,0.02,7.2,3,10.2,7.9,0.2,0.02,2,48.4,0.03,7.9,3.5,11.4,0,0,0,0,0,0,0,0,0,127,3.6,0.41,16.9,690.1,0.09,127.2,37.4,164.6,1803956.4,34,3.4,452168.3,10019.3,6.1,1805897.9,752412.8,2558310.7,0,34.26,22.97,0,57.23,40.58,30.75,0,71.33,256748160,173203790,40056784,214352.5,0,0,0,0,0,8894655,6220052.5,0,27247.3,49023.5,9411646,26315040,0,1249143.9,1073.7,135832340,28476794,0,20413.2,40.5,0,0,0,0,6218.4,16695.4,0,2003,7,4360,3937,0,608.5,2383.1,57543.1,0,8035.2,111328,6085.1,0,198.6
AZNMc,2050,221323820,52875764,1651756.8,3732678.1,279584017.8,213369675.9,87848312.5,127105560,125893620,0.0359,0.0539,0.1217,137997.68,53884.6,0.98,0.98,5.5,0.1,0.01,1.5,30.6,0.02,5.5,2.4,7.9,6,0.1,0.01,1.7,38.5,0.02,6,2.9,8.9,0,0,0,0,0,0,0,0,0,102.8,3.5,0.42,13.9,569.4,0.07,103,30.9,134,1488026.7,28,2.8,409722.7,8355.8,5.9,1489628.1,660330.8,2149959,0,36.73,22.89,0,59.62,45.38,30.78,0,76.15,278576770,191735710,44954830,192304,0,0,0,0,0,8236092,5174460.5,0,29916.1,0,9336063,25840648,0,1304131.6,8721.5,149640260,33859360,0,22538.9,38,0,0,0,0,6703.6,16322.2,0,2003,0,4360,3937,0,608.5,2383.1,70288.4,0,9568.1,120660.2,6085.1,0,268.9
CAMXc,2024,296178560,5117984,6427619.5,3097652.1,310821821.7,285533130.4,219140877.7,112079180,47249330,0.0359,0.0539,0.182,60560.77,70356.2,0.71,0.69,112,2.1,0.21,14.7,588.2,0.07,112.1,32.3,144.4,145.6,5.8,0.74,16,667.8,0.09,146,35.9,181.9,83.3,2.2,0.26,9.3,414.3,0.04,83.5,21.6,105.1,632.4,44.3,6.23,46,2251.8,0.32,635.4,113.2,748.6,27400307.5,516.6,51.7,3598629.7,143872,16.4,27429821.7,7890491.7,35320313.4,0,29.05,12.25,0.59,41.88,31.18,13.75,0.63,45.56,245350370,91680940,4335260.5,5351087.5,0,0,0,0,1914189.6,21138596,69817360,0,433108.2,23130482,27843836,17573930,10309.7,5174061.5,0,53876020,14752144,0,3283.6,835.4,0,0,0,917.8,12957.4,19788.5,0,10753.4,3106.1,10097.9,2240,994.6,3911.9,0,19842.9,0,6476,12532.4,39119,0,0
CAMXc,2026,299093820,5548820,7174179,3306404,315123219.7,288343599.5,220108343.6,121368936,49447732,0.0359,0.0539,0.182,70715.12,71394,0.74,0.72,100,1.9,0.19,13.3,525.4,0.06,100.1,29,129.1,132.9,5.6,0.73,14.4,599.8,0.08,133.2,32.3,165.6,60.7,1.6,0.19,6.7,301.5,0.03,60.8,15.7,76.6,578.7,38.7,5.4,43.8,2125.5,0.29,581.4,107.2,688.6,24178288,455.8,45.6,3214844.2,127031.2,14.9,24204325.4,7004453.2,31208778.5,0,29.13,14.3,0,43.42,31.42,16.12,0,47.53,242538980,95014880,4699729.5,5297595.5,0,0,0,0,1906237.8,24547802,62308990,0,422408.6,23130482,28443206,17409510,6676.9,5805508.5,0,53924216,14636621,0,3786.8,835.4,0,0,0,917.8,15132.9,19788.5,0,10753.4,3106.1,10501.5,2240,993,3913.5,0,20114.3,0,6418.5,13543.3,39134.9,0,2.3
