gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
AZNMc,2024,143948670,412667.2,144070.8,2202095.3,146707497.6,138775472.2,113022092,65158504,78100880,0.0359,0.0539,0.1209,54125.14,34302.5,0.47,0.52,325.5,23.6,3.3,24.5,1154.7,0.19,327.1,58.9,386.1,307.1,22.3,3.13,22.9,1085.4,0.18,308.7,55.3,363.9,333,6.5,0.66,39.2,1732.8,0.15,333.4,90.8,424.2,670.3,45.2,6.33,50.3,2433.9,0.34,673.4,122.9,796.3,51700094.3,3742.4,524.8,3884061.7,183350.2,30.7,51954876.8,9356269.5,61311146.3,0,31.84,11.37,0,43.2,33.69,12.44,0,46.13,159922820,33685404,352855.9,270241.4,0,0,26365406,0,617669.4,4050596.5,57517400,0,618935.4,64042.6,9515543,31389658,26236.7,117100,0,19362706,9654434,0,447.8,42.7,0,4483,0,295.6,2268.8,17899.6,0,5414.9,8.6,3963,3937,1118,216.3,0,7301.4,0,2861.3,1095.6,2163,0,0
AZNMc,2026,147637300,481063.4,203097.6,2785659.4,151107109.6,142331528.7,115405870.5,87790904,95711800,0.0359,0.0539,0.1209,68158.38,35166,0.49,0.57,310,22.8,3.2,23.1,1088.7,0.19,311.5,55.5,367.1,275,20.2,2.84,20.3,964.6,0.16,276.4,49.1,325.5,308.3,6.3,0.66,36,1594.6,0.14,308.6,83.5,392.2,664.3,46.1,6.45,48.4,2392.6,0.33,667.5,119.8,787.2,49019849.8,3603.7,506.1,3646248.9,172154.5,29.4,49265396.4,8784481.8,58049878.3,0,31.05,14.36,0,45.41,32.87,15.7,0,48.58,159264140,35701240,409104.6,269756,0,0,25539182,0,610065.3,4652559.5,54508500,0,401763.1,64042.6,10880954,31307994,14843.8,166760.7,0,19143440,11295175,0,549.7,42.7,0,4483,0,295.6,2618.2,19011.7,0,5319.9,8.6,4357,3937,1118,219.2,0,7319.4,0,3381.5,1306.4,2191.6,0,0
AZNMc,2028,152042960,927832.1,208115.5,3376626.4,156555537.5,146578870.9,119412019.8,112947096,115939110,0.0359,0.0539,0.1209,80846.45,36322.3,0.5,0.61,293,21,2.95,22.3,1044.8,0.18,294.4,53.5,347.9,242.2,17.6,2.47,18.2,857.7,0.15,243.4,43.8,287.2,290.9,7.5,0.86,32.6,1457.2,0.13,291.3,76,367.4,624.4,42,5.87,46.7,2287,0.31,627.3,114.9,742.2,46455849.4,3336.8,467.5,3540689.7,165678,28.1,46682912,8485572,55168484,0,29.54,16.99,0.19,46.71,31.32,18.66,0.2,50.18,159776400,37143516,795482.5,269320.2,0,0,23477492,0,611173.8,5348035.5,55574956,0,154910.7,64042.6,10873940,31240934,9350.2,172450.6,0,19507786,11676523,0,858.9,42.7,0,4483,0,295.6,3022.4,20614.7,0,4665.4,8.6,4361,3937,1098,219.2,0,7550.5,0,3515.4,2546.8,2191.6,0,0
AZNMc,2030,157141620,3133978.2,245365.5,4364346.9,164885300.1,151494285.5,89539756.2,141202220,152355230,0.0359,0.0539,0.121,81094.21,37735,0.68,0.74,183.5,12.8,1.79,14.8,667.2,0.12,184.4,34.7,219.1,159.3,11.4,1.6,12.5,570.3,0.1,160,29.5,189.6,271.9,7.7,0.91,29.8,1339.2,0.12,272.3,69.8,342.1,566.8,39.5,5.53,41.4,2039.7,0.28,569.5,102.2,671.7,32061839.7,2239.2,312.8,2584643.3,116577.7,21.2,32213961.1,6064451.5,38278412.5,0,26.42,16.76,0.67,43.84,28.26,18.71,0.7,47.67,176417400,75345544,2659652.2,263430.7,0,0,15657210,0,614095.2,6147444,40628296,0,73531.8,63628.3,10795123,30733708,1793.2,195494.1,0,22658780,45925224,0,2269.8,42.7,0,4483,0,295.6,3489.6,20246.7,0,4313.4,8.6,4361,3937,765.2,219.2,0,8820.7,0,12518.9,8190.4,2191.6,0,0
AZNMc,2035,171381460,5789140.5,279986.9,4771154.3,182221732.6,165222386.3,84241183.9,153693940,167595470,0.0359,0.0539,0.121,93301.79,41573.8,0.74,0.78,134.1,7.8,1.07,12.5,537.2,0.09,134.6,28.5,163.1,119.9,7.5,1.03,10.6,464.4,0.08,120.4,24.5,144.9,238.7,7.6,0.92,25.5,1151.6,0.11,239.2,59.9,299.1,537.3,35.9,4.99,40.7,1991.1,0.26,539.7,100.1,639.8,26107029.8,1522.6,208.3,2426985.7,104570.4,18.2,26209264.3,5548154.8,31757419.1,0,25.29,18.86,0.03,44.18,27.16,21.35,0.03,48.54,196496690,97980550,4924876.5,245960.5,0,0,9989174,0,614148,7140694.5,41565164,0,144301.5,63523.2,10783601,30576340,517.7,222690.2,0,32318524,57907188,0,4127.7,40.5,0,2181,0,295.6,4135.8,20805.1,0,6399.5,8.6,4361,3937,539.2,238,0,12465.1,0,15846.9,15668,2380.3,0,0
AZNMc,2040,188492380,8765449,424704.9,5213331.4,202895872.2,181718371.5,86242667.8,177140400,184006770,0.0359,0.0539,0.121,93252.08,46020.1,0.78,0.83,110.8,6.6,0.9,10.3,441.2,0.08,111.3,23.5,134.8,96.4,6,0.83,8.7,373,0.07,96.8,19.8,116.6,189.8,5.6,0.67,20.7,929.1,0.09,190.2,48.4,238.6,487.3,33.4,4.67,36.6,1773.3,0.25,489.6,89.5,579.1,23046820.4,1365.4,187.1,2145545.4,91694.5,16.6,23138599.5,4882569.5,28021169.1,0,22.01,18.61,0.12,40.75,23.72,21.35,0.13,45.2,210157950,116653210,7465619,238355.4,0,0,9011959,0,616362.4,7162217,35893556,0,343996.6,63249.4,10705931,29438822,654.6,342613.5,0,48025530,60849100,0,5636,40.5,0,2065,0,295.6,4279.9,20732.1,0,9439.3,8.6,4361,3937,331,258.4,0,18274.5,0,16767,22064.4,2583.6,0,0
AZNMc,2045,205065140,12626196,2546954.2,5276576.8,225514868,197695456.4,86157257.5,186300320,188340110,0.0359,0.0539,0.121,92943.79,50189.1,0.84,0.87,84.7,5.2,0.72,7.9,331,0.06,85,17.7,102.8,75.4,4.9,0.67,6.8,288.1,0.06,75.7,15.4,91.2,161.6,5,0.61,17.4,782.1,0.07,161.9,40.7,202.7,440.2,31.6,4.43,31.9,1558.7,0.23,442.4,78.4,520.8,19061439.4,1176.9,162.1,1768849.2,74424.7,14.6,19140770.8,3990686.2,23131457,0,18.65,18.01,0,36.66,20.32,21.1,0,41.42,227956740,139357620,10699853,231318.8,0,0,7923873,0,0,7743063,28276570,0,375903,50748.2,10566428,28466810,63.8,2007557.2,0,71913256,59701292,0,7850,40.5,0,2065,0,0,4746,20732.1,0,9822.8,7,4361,3937,175,1322.3,0,26773.3,0,16909.9,30217.9,13222.9,0,0
AZNMc,2050,221323820,15990838,7718122.5,5518976.9,250551754.9,213369676.1,83171311,196702430,203223600,0.0359,0.0539,0.1209,85507.36,53884.6,0.87,0.9,65.8,4,0.55,6.2,258.5,0.05,66.1,13.9,80,56.6,3.6,0.49,5.3,218.6,0.05,56.8,11.8,68.7,154.2,4.7,0.57,16.7,748.3,0.07,154.5,39,193.4,326.1,21.5,2.98,25.6,1218.6,0.18,327.5,62,389.5,16703971,1023.4,140.9,1577791.4,65521.8,13.2,16772922.3,3533956.3,20306878.6,0,14.99,15.94,0,30.93,16.88,19.17,0,36.05,257522340,167380450,13644738,204867.1,0,0,6871365,0,0,9071318,25333582,0,318496.1,0,10270150,27292948,0,6205730.5,0,101553740,56755384,0,9494,38,0,2065,0,0,5805.7,20359,0,9528.8,0,4361,3937,175,2928.3,0,39541.5,0,16529.9,36766.7,29282.8,0,0
CAMXc,2024,296178560,3400054,3069511.8,2058480.2,304706612.9,285533130.9,212844631.4,83827960,29133516,0.0359,0.0539,0.182,65910.99,70356.2,0.69,0.66,120.7,2.3,0.23,15.7,633.8,0.07,120.9,34.6,155.5,163.9,6.7,0.86,17.7,746.8,0.09,164.4,39.9,204.3,232.1,4.6,0.47,27.2,1205.1,0.1,232.3,63.2,295.5,643.4,41,5.7,50.3,2420.1,0.32,646.2,122.5,768.7,30016213.6,565.9,56.6,3912840.4,157571.2,17.6,30048535.1,8613265.8,38661800.9,0,32.91,13.6,1.84,48.35,34.95,14.96,1.94,51.85,249401890,91861980,2868368.2,5421755,0,0,0,0,1888420.2,19955886,76829400,0,302328.8,23130612,28566234,17864066,7138,2549981,0,55289236,14728437,0,2770.4,835.4,0,0,0,917.8,12258.8,19788.5,0,10753.4,3106.1,10097.9,2240,994.6,3911.9,0,20628.9,0,6476,10680.1,39119,0,0
CAMXc,2026,299093820,4006395.5,2720843,2254551,308075606.5,288343599.6,215203668.7,95056560,29611972,0.0359,0.0539,0.182,73696.39,71394,0.72,0.68,108.1,2,0.2,14.3,568,0.07,108.2,31.2,139.5,154.2,6.8,0.9,16.2,684.4,0.09,154.7,36.6,191.3,222,4.5,0.47,25.9,1150.1,0.1,222.2,60.2,282.5,633.5,41.3,5.74,48.5,2368.4,0.31,636.3,119.2,755.5,26087139.7,491.7,49.2,3448271.6,137036.5,15.9,26115224.5,7536291.4,33651515.8,0,32.28,15.25,0,47.54,34.32,16.8,0,51.12,241964320,92871940,3389012.8,5409340,0,0,0,0,1920554.2,21799660,67362376,0,244188.9,23130612,29555756,17823498,3697.3,2173897,0,54545990,14605736,0,3271.3,835.4,0,0,0,917.8,13498.8,19788.5,0,10753.4,3106.1,10501.5,2240,993,3911.9,0,20639,0,6416,11682,39119,0,0
