gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
AZNMc,2024,143820300,766380.9,434518.3,2947854.5,147969058.7,138651535.9,70295459,82338350,122129550,0.0359,0.0539,0.1209,47036.74,33418.4,0.63,0.63,232.3,17.2,2.41,17.3,812.9,0.14,233.5,41.6,275.1,247.3,18.6,2.61,18,855.8,0.15,248.5,43.6,292.1,267.2,6.4,0.71,30.4,1352.8,0.12,267.6,70.7,338.3,632,46,6.49,44.3,2199.4,0.32,635.2,110,745.2,43369128.3,3206.2,450.6,3238100.5,151738.9,26.7,43587683.9,7767205.7,51354889.5,0,27.46,9.31,0,36.77,29.17,10.24,0,39.4,188146900,77673600,649193.4,266879.1,0,0,22773602,0,605195.6,4272841,45562904,0,547089.1,64042.6,9499519,30720758,39158.2,350143.8,0,63126856,9668711,0,624.8,42.7,0,4483,0,295.6,2421,16445.5,0,5423.7,8.6,3963,3937,1118,216.3,0,23040.8,0,2861.3,1803.6,2163,0,0
AZNMc,2026,148447340,4462827,470327.6,3641733.8,157022232.7,143112236.1,67945275.7,106909620,144622380,0.0359,0.0539,0.1208,68528.76,34359.8,0.69,0.69,202,15.6,2.2,14.6,686.4,0.13,203,35.1,238.1,209.8,16.2,2.28,15,712.5,0.13,210.9,36.3,247.1,177.8,5.8,0.71,18.9,850.8,0.08,178.2,44.2,222.4,590.8,41.8,5.87,42.5,2101.6,0.3,593.7,105.2,698.9,39082174.4,3016.1,425.6,2826983.1,132822.5,24.6,39288234.3,6791823.6,46080057.9,0,26.27,13.24,0,39.51,28.21,14.86,0,43.07,195086500,89076960,3839547.5,264312,0,0,21744526,0,605706.4,5320511,38269360,0,331937.7,63993.8,10742147,30355932,21817.5,375966.1,0,72053930,11096814,0,2795.2,42.7,0,4483,0,295.6,3000.3,16618.7,0,5328.7,8.6,4357,3937,1118,216.3,0,26038,0,3225.1,10485,2163,0,0
AZNMc,2028,155122860,8161449,536994.8,4236294.7,168057608.7,149547810.5,61156510.7,132881944,162512300,0.0359,0.0539,0.121,71832,35948.2,0.78,0.78,145.7,11.7,1.66,10.5,481.6,0.1,146.5,24.8,171.3,148.9,11.8,1.67,10.7,496.9,0.1,149.7,25.5,175.2,130.9,4.8,0.6,13.4,611,0.06,131.2,31.7,162.9,514.3,36.3,5.1,37.4,1826.2,0.27,516.8,91.9,608.7,28571045.4,2293.7,324.8,2052652.6,94449.5,19.6,28728070.5,4872587.3,33600657.8,0,21.85,13.52,0,35.37,23.81,15.52,0,39.33,197990560,106901096,6972082.5,257630.4,0,0,16780902,0,562184,6561916.5,26125086,0,168710.8,237320.9,10617267,29477556,17482,435425,0,84752080,15024920,0,4630.8,42.7,0,4483,0,295.6,3736.8,16168.7,0,4674.2,32.2,4360,3937,1098,216.3,0,30863.5,0,4316.3,19182.1,2163,0,0
AZNMc,2030,162338640,16339474,564329.2,4570342.7,183812783.4,156504193.3,57949775.8,144715650,173182750,0.0359,0.0539,0.1209,68602.27,37639.2,0.85,0.85,108.6,9.3,1.32,7.5,342.2,0.08,109.2,17.7,126.9,108.5,9.1,1.29,7.5,346.9,0.08,109.1,17.9,127,127.7,5.1,0.66,12.7,581.2,0.06,128,30.1,158.1,415.3,29.4,4.13,30.7,1472.8,0.23,417.3,74.7,491.9,22828603,1949.3,277.5,1580131.4,71913.5,16.7,22962450.3,3727714.8,26690165.2,0,18.77,12.37,0,31.13,21.02,14.77,0,35.79,212615980,125863016,13955925,249730.6,0,0,14607806,0,494218.2,7718514.5,18009774,0,141232.6,233912.5,10494751,28614692,3695.4,441448.6,0,95749620,21900658,0,7924.1,42.7,0,4483,0,295.6,4536.1,15800.7,0,4322.2,32.2,4360,3937,585,216.3,0,36004.1,0,6064.7,38316.4,2163,0,0
AZNMc,2035,186800880,33898890,2622521,4112393.4,227434676,180087149.6,79314212,134540640,148403840,0.0359,0.0539,0.1218,90862.83,43742.8,0.9,0.9,62.4,4.8,0.68,5.1,214.1,0.05,62.7,11.5,74.3,65.8,4.9,0.7,5.4,229.3,0.05,66.1,12.3,78.4,152.2,5.4,0.67,15.8,716.7,0.07,152.5,37.2,189.7,346.5,23.9,3.35,26.6,1250.8,0.2,348.1,63.9,412,14888512.8,1147.9,162,1225269.4,51001.7,12.7,14966933.3,2748579.6,17715513,0,15.62,15.22,0,30.84,18.14,19.66,0,37.8,241537970,148120460,28770580,228037.7,0,0,8419978,0,394114.3,9013552,15197078,0,183179.5,232814.2,10440233,27820966,5328.9,2119314.5,0,114456550,24256252,0,14274.4,40.5,0,2181,0,295.6,5682.9,15747.1,0,5068.8,32.2,4360,3937,359,995,0,45483.1,0,6738.4,80768.5,9950.3,0,0
AZNMc,2040,215619620,50655170,2694759.8,3836695.4,272806223.1,207869939.7,100921548.2,131627180,133641496,0.0359,0.0539,0.1215,89801.84,50801.4,0.93,0.92,45.9,3.4,0.48,4,160.9,0.04,46.2,8.8,55,48.7,3.6,0.5,4.3,172.7,0.04,48.9,9.4,58.3,165.3,6,0.76,17.1,773.8,0.08,165.7,40.1,205.9,268,16.8,2.33,22.3,1022.2,0.15,269.2,52.8,321.9,12434795.7,935.3,131.6,1078166.1,43434.5,11.3,12498598.9,2375602,14874200.8,0,12.59,14.44,0,27.03,15.29,19.45,0,34.75,275091940,171884670,42974650,220501.4,0,0,6799749.5,0,263911.2,8563288,13453581,0,104269.5,233051.9,10315720,26940252,214.2,2165281.8,0,138524820,24532660,0,21714.3,40.5,0,2065,0,295.6,5908.7,15674.1,0,5068.8,32.2,4360,3937,175,995,0,58092.1,0,6704.9,118076.1,9950.3,0,0
AZNMc,2045,244404320,60476020,2693124,3604143.4,311177625.1,235619991.1,121237063.1,132444020,118873790,0.0359,0.0539,0.1213,87982.39,57986.8,0.94,0.94,38,2.9,0.4,3.3,132.6,0.04,38.2,7.3,45.5,39.5,2.9,0.41,3.5,139.7,0.04,39.7,7.7,47.4,152.4,5.5,0.7,15.7,713.1,0.07,152.8,37,189.8,223.3,13.4,1.85,18.9,872.4,0.12,224.2,44.9,269.1,11082006.6,840.3,118.3,975984.5,38547.7,10.6,11139354.8,2127589.2,13266944,0,10.87,14.09,0,24.96,13.33,19.15,0,32.48,297857760,189940560,51425576,214579.4,0,0,6131553.5,0,0,8048455,11885557,0,55639.8,220840.1,9523651,26346014,35.7,2113764,0,156104260,25787846,0,25819.7,40.5,0,2065,0,0,6218.4,15674.1,0,5028.3,30.6,4360,3937,175,995,0,65904.6,0,7049.3,140083.4,9950.3,0,0
AZNMc,2050,274308500,72047570,2719695.8,3565678.1,352641455.4,264449339.4,138306117.7,136274560,114297390,0.0359,0.0539,0.1212,83997.03,65742.9,0.95,0.95,33.3,2.5,0.35,3,117.9,0.03,33.5,6.5,40,33.5,2.4,0.34,3.1,120.8,0.03,33.6,6.7,40.4,150.6,5.5,0.69,15.5,704,0.07,150.9,36.5,187.5,187.6,9.5,1.28,17.5,791.4,0.1,188.3,41.1,229.4,10782525.4,803.5,113,964815.5,37958.4,10.3,10837311.9,2098796.6,12936108.5,0,10.38,13.42,0,23.8,13.04,18.43,0,31.47,330927200,214335340,61150132,193177,0,0,5832343.5,0,0,8067721,11950450,0,14199.6,167714.9,9155510,25992604,35.7,2135682.2,0,180499220,25768406,0,30599.8,38,0,2065,0,0,6703.6,15300.9,0,4734.3,23.6,4360,3937,175,995,0,79438.1,0,6924.1,163007,9950.3,0,0
CAMXc,2024,298017760,4897210,6827069,3142754.8,312884785.2,287306140.5,220696348.9,113418800,48294868,0.0359,0.0539,0.182,57803.37,70411.5,0.71,0.69,113,2.1,0.21,14.8,593.2,0.07,113.1,32.5,145.6,146.2,5.7,0.74,16.1,672.5,0.09,146.6,36.1,182.7,158,3.7,0.41,18.1,803,0.07,158.3,42,200.3,611.3,41.7,5.84,45.4,2217.5,0.31,614.2,111.6,725.8,27831000.5,524.8,52.5,3649192.3,146120.7,16.6,27860980.2,8008113.2,35869093.3,0,28.75,11.6,0.55,40.91,30.89,13.03,0.59,44.51,247127120,92188440,4130361.5,5340433,0,0,0,0,1908843.6,21138596,71015330,0,474332.5,23143360,27758156,17542990,11006.3,5522712,0,54388852,14752144,0,3137.6,835.4,0,0,0,917.8,12957.4,19788.5,0,10753.4,3107.8,10097.9,2240,994.6,3911.9,0,20026.8,0,6476,11948.1,39119,0,0
CAMXc,2026,303193280,6398029.5,7518333,3440333.5,320549968.1,292295622.3,222749368.7,126647570,51717948,0.0359,0.0539,0.182,72992.55,72109.7,0.75,0.73,97.3,1.8,0.18,13,511.4,0.06,97.4,28.2,125.6,132,5.8,0.76,14.1,588.2,0.08,132.4,31.7,164,98.3,2.7,0.32,10.8,486.2,0.04,98.5,25.3,123.8,572.6,38,5.29,43.5,2118.5,0.28,575.2,106.7,681.9,23761025.7,448,44.8,3165063.8,124846.4,14.8,23786615.5,6889514.4,30676130,0,27.89,14.62,0,42.51,30.12,16.53,0,46.65,244958420,97800600,5430127.5,5285959,0,0,0,0,1911202.2,24547802,61172950,0,422167.8,23143360,28278886,17379404,7166.8,6037786,0,56695830,14645763,0,4247.9,835.4,0,0,0,917.8,15132.9,19788.5,0,10753.4,3107.8,10501.5,2240,993,3915.2,0,21064.8,0,6421.6,15587.3,39152.2,0,0
