FIPS,PM25,SO2,NOx,NH3
1001,83564.50825,15927.09903,3901.181795,54448.66778
1003,82595.83353,14723.43733,3092.628297,44514.39325
1005,77549.97783,15560.26111,3460.685876,45205.09608
1007,92812.87829,16589.45275,4111.577843,60699.28017
1009,114677.5186,17817.39686,5610.244865,67034.05998
1011,81196.49222,15784.08764,3631.117677,51079.08489
1013,70920.46255,15058.787,3441.660224,39878.90689
1015,114512.5164,17557.57328,5329.086218,67882.66254
1017,94670.62067,16199.71935,4044.029541,62209.55278
1019,115596.6589,18451.96616,5862.278587,72105.02496
1021,90271.93071,16726.58128,4005.271781,60929.24066
1023,61692.74031,14977.22056,3177.630036,38598.21433
1025,64392.08069,15253.87838,3120.377947,39829.87885
1027,94384.05023,16363.21542,4350.638873,60031.13985
1029,116650.6781,17147.50373,5444.940548,69248.06338
1031,73775.37619,15327.44052,3543.248701,37549.82768
1033,96013.64166,18765.24382,5354.705248,55718.38201
1035,66544.83162,14914.68865,3154.808316,38536.2177
1037,90768.67572,16460.2983,3895.365465,62252.64056
1039,69799.5779,14975.27949,3411.926139,36480.82842
1041,73177.52211,15103.72337,3542.869932,40114.77112
1043,109845.5511,17673.92142,5822.720404,59643.54977
1045,78514.49628,15309.54968,3441.571329,41075.87711
1047,69410.52422,15600.36734,3505.218939,45813.01607
1049,112939.1652,18389.66239,6072.712685,68629.90403
1051,98285.04142,16177.77659,3806.869778,67415.19451
1053,69875.13977,15063.15582,3154.956527,39749.52568
1055,115132.6116,17908.3567,5682.10089,67699.76723
1057,83970.66208,17715.70384,4351.974578,53800.98772
1059,92025.60333,18298.73756,5096.739272,52962.86327
1061,73591.57254,15333.48672,3547.363603,35571.98325
1063,69527.3887,16209.77523,3648.315549,43311.7503
1065,71995.72104,16012.18177,3630.8924,45458.62503
1067,75022.33881,15445.34321,3315.137468,42102.03927
1069,80090.79468,15610.82874,3408.549889,41173.58284
1071,110767.1631,18386.73069,5848.717199,68379.86572
1073,140081.2135,17546.51568,5172.972797,93605.13369
1075,77675.13585,17317.94578,4093.491886,50112.72692
1077,101536.4507,19203.27866,5594.822171,61720.89002
1079,106935.5074,18571.42554,5623.597412,60627.45352
1081,96680.82454,16228.28839,3867.259333,65357.40309
1083,119854.0865,18965.30337,5890.348509,69057.46067
1085,75823.57992,15312.52272,3691.219898,47718.14461
1087,85318.04553,16074.21588,3727.8147,58501.59573
1089,123467.3837,18623.22804,5702.647646,72155.50265
1091,64012.31528,15414.36431,3339.45084,40922.36541
1093,85901.72412,17887.78522,4690.729585,51891.22023
1095,112187.5341,18130.50825,5888.2195,62812.13638
1097,86211.00697,15323.33097,3183.485116,48062.69043
1099,65344.0013,14996.47145,3112.18752,38526.57
1101,93138.55456,15918.24702,3814.627718,60175.2251
1103,113746.4204,18153.21959,5706.030344,63181.51539
1105,72237.03391,16045.99945,3566.314169,47425.51524
1107,74596.18324,16630.98651,3862.248837,45663.8126
1109,76501.29964,15187.26372,3535.607262,41702.56092
1111,97799.80948,16299.34809,4607.777999,59617.89283
1113,96363.94784,16216.3303,3724.432807,63265.48251
1115,116760.3204,17386.13342,5123.052477,71168.74256
1117,118006.0203,16844.33914,4545.263325,77375.05457
1119,65274.51557,16044.71671,3530.012678,40591.12266
1121,104494.9911,16737.80095,4472.565445,66475.81754
1123,87324.75064,16179.84927,3845.021039,59307.51572
1125,94565.31448,16993.30582,4289.84999,60483.61274
1127,101034.805,17705.51394,4876.164089,63019.70504
1129,64573.89397,15198.34963,3060.642515,39342.0808
1131,66094.40263,15204.26195,3269.390276,41188.10136
1133,95600.65837,17867.37718,5239.011043,54899.33947
4001,14431.83068,6971.756017,608.7331316,5599.442596
4003,19074.85732,5607.491395,780.3665835,6100.701602
4005,16448.40384,7286.286291,696.5268894,5850.991938
4007,27717.71189,7239.730186,1143.193055,8726.30966
4009,18332.1234,5706.796214,736.1707387,6038.073874
4011,14192.90872,5500.270929,555.927951,5255.841607
4012,29632.2394,9636.541775,1636.521742,7080.453984
4013,66686.59776,9474.659094,2676.391615,15094.74225
4015,25229.30631,7593.307505,1114.35368,7498.576019
4017,15533.43271,6975.862777,645.9193934,5607.464075
4019,35437.44905,7980.382592,1250.590031,10639.64304
4021,49807.57587,7975.958925,2054.905477,12714.26488
4023,28155.31685,6185.298762,935.2832569,8856.149428
