"time","country","Billion metric tons","GW-mile","2016$/MWh","Coal Usage_Quads","Gas Usage_Quads","consumption_billion gallons","withdrawal_billion gallons","Biopower_GW","Coal_GW","CSP_GW","Geothermal_GW","Hydro_GW","Land-based Wind_GW","NG-CC_GW","NG-CT_GW","Nuclear_GW","Offshore Wind_GW","Oil-Gas-Steam_GW","Rooftop PV_GW","Storage_GW","Utility PV_GW","Biopower_TWh","Coal_TWh","CSP_TWh","Curtailment_TWh","Geothermal_TWh","Hydro_TWh","Imports_TWh","Land-based Wind_TWh","NG-CC_TWh","NG-CT_TWh","Nuclear_TWh","Offshore Wind_TWh","Oil-Gas-Steam_TWh","Rooftop PV_TWh","Storage_TWh","Utility PV_TWh","Biopower_%","Coal_%","CSP_%","Geothermal_%","Hydro_%","Imports_%","Land-based Wind_%","NG-CC_%","NG-CT_%","Nuclear_%","Offshore Wind_%","Oil-Gas-Steam_%","Rooftop PV_%","Utility PV_%"
2018,"usa",1.54631465942687,89764.4864690599,31.2772932693967,10.8699296169364,9.53504336767183,1191.42489392343,29563.008630157,7.6059427116718,240.621417,1.894587,2.847674,77.8511483896442,99.5204515733165,261.239155658696,146.047513360121,98.7696994067707,0.030001771095205,82.600007,16.2597345454545,23.187127480432,41.2086779156087,41.1431108082417,1041.65608732716,5.41511103373717,-6.48005804407776,21.2040026200557,279.471168546485,38.0279998861948,311.890764089361,1273.03719842501,5.88491129249998,780.7765769789,0.110083446500522,0.212464226879529,25.7400882008894,-0.814986298813729,95.6762016113143,0.0104950335356284,0.265711934618713,0.00138131927269919,0.00540884522865147,0.0712891958949556,0.00970041220165924,0.079558982397483,0.324734027814361,0.00150115876402358,0.199165211338011,2.80807513103529e-05,5.41966599612427e-05,0.00656593737253946,0.0244056641500025
2020,"usa",1.55705170297417,89940.6582826153,34.6840025248484,11.0947859430665,9.33709968242524,1186.58343358473,28891.0091455368,7.4803420727988,240.621417,1.894587,2.847674,79.5040619418166,124.837021557746,272.856827977356,141.338549360121,95.3751994067707,0.278001771095205,73.216294,19.6773227272727,23.5511204666418,50.7372458656695,42.2422410568301,1061.14684204892,5.41453978594009,-11.1394941504536,21.2040026200557,285.440115227883,37.2489998885261,410.135918424029,1260.14463581135,5.17817261546044,753.943229096093,1.05242217574761,0.236829714872886,30.7991367808784,-0.601920160005289,115.200756222116,0.0104835381250947,0.263351874725996,0.00134376237755423,0.00526233846288843,0.0708395732697303,0.00924433222961949,0.10178616071729,0.312738481722334,0.00128510156360948,0.187111109369229,0.000261186616219103,5.87756066654935e-05,0.00764362677226229,0.0285901384415072
2022,"usa",1.54107383949464,90048.790995209,34.0791646929192,10.9268055829677,9.34765846580885,1168.94116433554,28375.889588222,7.4803420727988,240.621417,1.894587,2.847674,79.5040619418166,131.156859535315,273.356828428013,135.293119360121,92.6716004067707,1.32100177109521,71.558755,23.1832327272727,23.9571204666418,71.101473903824,42.2397326359916,1047.69137201627,5.41338218898363,-13.6719039746488,21.2040026200557,285.440115227883,40.3129998793565,434.584551825508,1262.52455362286,4.96320336304584,732.571225333932,5.22955508418888,0.791695424618204,35.8625781278388,-0.91555389472206,165.518341451338,0.010341856223873,0.256513781224841,0.00132539712705569,0.00519152780527762,0.0698863474741122,0.00987012044555589,0.106402447923311,0.309112927517718,0.00121517662132944,0.179360659108304,0.00128038942058602,0.000193836460212892,0.00878049181825308,0.0405250408295696
2024,"usa",1.6483936007554,90151.6405731937,35.651560564165,12.2308828981537,9.02573685636597,1217.96369611214,29629.2012522137,7.4195420727988,240.621417,1.894587,2.847674,79.5057019418166,131.351840181207,273.175529727734,130.445759360121,91.5216004067707,2.4210017710952,70.153895,26.3040218181818,23.9571204666418,76.8431540422838,42.5889895721416,1165.76191551134,5.41270468610765,-14.3776925433149,21.2040026200557,285.447244233722,42.966999871414,435.879475221705,1221.00425822181,4.7278502025944,723.480447733932,9.54762980363513,0.45788656807164,40.3164717704251,-0.88647989825572,177.259288154158,0.0101983781099297,0.279153859248104,0.00129612863655311,0.00507751976122769,0.0683533222172796,0.0102888966218775,0.104375890184923,0.29238221484657,0.0011321330817556,0.173244945119765,0.0022862796175563,0.000109645718284597,0.00965420000107385,0.0424465868351003
2026,"usa",1.701361644439,90619.2071106922,36.8878334687567,12.7855832505535,9.03154274732504,1245.52389836745,29677.6326359684,7.4195420727988,240.621417,1.894587,3.423674,79.9000807418166,131.723854775667,272.866535871063,125.663489360121,90.3716004067707,4.2210017710952,66.584795,30.0955090909091,23.9571204666418,90.2840490246997,43.2867262156019,1216.99315455322,5.36697135344543,-13.8872902931129,25.4929435273197,286.744534428346,49.8249998508902,441.697816361215,1220.82764374747,5.05204465795688,714.389670133932,16.6865411820923,0.467517317783404,45.6263706712047,-1.11637322477393,209.596223034561,0.0101088717557104,0.284207857754827,0.00125336401876001,0.00595343929475445,0.0669642631496178,0.0116357733133303,0.103150941887665,0.285103336875151,0.00117981829572966,0.166833442728345,0.0038968552164463,0.00010918064317238,0.010655255551007,0.048947599515483
2028,"usa",1.76917873172024,92012.1389071571,37.7350001407088,13.3837638540941,9.23299291155651,1275.61238062656,30631.0309990239,7.3455420727988,240.621417,1.894587,3.92073,80.1721422418166,134.277035233151,273.708522303772,124.108589360121,90.3716004067707,5.2210017710952,65.162275,34.88837,23.957493654173,114.316393109872,42.9628006553457,1271.24691579923,5.32758940917705,-13.1951962676648,29.1940612557937,287.616426094784,49.9919998503905,456.890836141734,1247.14292985579,5.81949410787404,714.389488265737,20.5359608312537,0,52.3472076695887,-1.91985676144873,264.718698587529,0.00965850259557908,0.285790066024038,0.00119769976239465,0.00656314095248569,0.0646592856050692,0.0112387426552255,0.102714005126716,0.280371229094244,0.00130828526279664,0.160602489163157,0.00461670626602167,0,0.0117682188645942,0.0595116286276796
2030,"usa",1.74478811475437,92403.8410327233,38.0431406926032,12.9461336759438,9.5620170574622,1267.73537928563,29964.347629401,7.3139420727988,234.548017,1.894587,5.07502541026841,80.2312757,137.268810864893,283.776537599728,123.247952360121,90.3716004067707,6.2210017710952,64.039455,40.6129981818182,23.9602077779594,168.389167301509,42.9407770071617,1231.60224852781,5.28437170910628,-13.7982528282679,37.7890348741397,287.841225184222,50.0869998501062,478.22959317687,1300.74543562994,6.27332636826542,714.389670133932,24.3464006421833,0,60.2743332539409,-2.37375241669995,382.967683230335,0.00928896890676429,0.266420772734685,0.00114311775237524,0.00817454164613676,0.0622659480608665,0.0108348431646486,0.103450848608855,0.281377859212165,0.00135704888542383,0.154537106584749,0.00526662474037554,0,0.0130385718772259,0.0828437478257284
2032,"usa",1.70221662848132,92873.493879342,37.6028973280188,12.263576941405,9.99636872135706,1254.23050114372,28866.0272441734,7.2365520727988,227.896497,1.894587,6.16617330666932,80.4186797,131.265492546877,302.751286254499,122.623352360121,90.3716004067707,6.2210017710952,62.60154,46.1607427272727,23.9824272009821,247.141313226956,42.4702389928805,1168.38103900647,5.28688667747867,-13.2888649403072,45.9138071809954,288.516449402838,50.3159998494208,479.342385322642,1376.23859677043,6.66188928019725,714.389670133932,24.3420614132264,0,67.9278755248407,-3.08752792881213,554.681309696949,0.00880309231003565,0.242178202514791,0.00109584858852206,0.00951686386759529,0.0598027465181603,0.0104293359738438,0.0993565227361981,0.285262237635041,0.0013808546333503,0.148076355599957,0.00504554291943379,0,0.0140798679934442,0.114972528709628
2034,"usa",1.61070046675822,94685.4899530704,37.2957684069107,11.0579225200692,10.447951213289,1216.21340141557,27052.2358075678,6.96747361895883,225.138897,1.894587,6.28263438,80.4852597,135.1224697533,328.751325418288,123.590081157106,90.3716004067707,6.2210017710952,59.03774,51.6294072727273,24.0311108227788,351.081223340057,40.8034202111953,1057.91355112888,5.27810704194066,-17.8687742435179,46.7809854127868,288.729078320887,49.9179998506119,519.971433634244,1460.99777187872,6.64191402029194,714.389670133932,24.3370678915716,0,75.2413085404965,-3.97238730519875,774.999090606617,0.00805436418195426,0.208826146673817,0.00104186845335733,0.00923430171674417,0.0569934857097679,0.0098535306097025,0.102639417701411,0.288392690191846,0.00131107623105529,0.141016477082138,0.00480399944183799,0,0.014852208402512,0.152980433603857
2036,"usa",1.48968806605612,95798.588133524,36.5794868605113,9.3460386287413,11.2482820449596,1166.09566168893,24765.3850557838,6.6096584199171,221.717397,1.894587,6.73960198,80.5475077,155.052699476221,383.767953319011,126.364407071649,90.3716004067707,6.2210017710952,54.41374,57.1792827272727,25.7321154224651,438.118819744301,38.8293421402779,899.157548449627,5.23937984256753,-27.2889007729381,50.1836017894088,288.977397556346,48.5279998547717,602.205449958532,1615.89094930513,5.5516475318197,714.389670133932,24.3396437226498,0.389572323831514,82.3702925340829,-5.08079897969788,953.763480536557,0.00728530634405764,0.168703300930571,0.000983032034590937,0.00941563498972599,0.0542190197325719,0.00910500476493179,0.112988037993517,0.303179501258317,0.00104162086592716,0.134036460807233,0.00456669495414363,7.30930158957026e-05,0.0154546222439849,0.178948670064534
