Plant Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Number,Sector Name,Generator Id,January,February,March,April,May,June,July,August,September,October,November,December,Yearly_generation,BA_CODE,YEAR
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,-261,-157,-128,-130,"6,450","20,634","9,559",-318,-264,-140,"3,065","10,841",49151.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,-473,-433,-500,-428,"6,474","21,053","9,985",-234,"1,084",-81,"4,583","11,550",52580.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,4,"96,956","17,213","-1,772","-1,016","-1,006","-1,107","-1,432","-1,564",-879,-637,"12,024","92,767",209547.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,"128,872","372,798","384,292","214,492","354,163","415,881","415,662","281,516","188,616","234,881","273,900","164,242",3429315.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT,"126,871","93,342","109,087","109,447","78,828","120,306","113,082","121,616","113,757","127,544","105,074","121,074",1340028.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT2,"122,204","98,686","113,801","113,943","79,535","122,644","118,096","119,770","114,370","127,764","104,777","121,189",1356779.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1ST,"129,460","102,477","118,849","120,281","83,172","128,905","126,222","130,970","123,848","136,674","111,018","128,596",1440472.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C1,"119,818","96,201","114,463","108,712","92,643","120,643","99,488","120,350","116,590","130,480","85,010","115,456",1319854.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C2,"126,824","90,778","106,098","110,093","89,319","121,703","110,205","115,763","117,316","132,142","82,012","117,229",1319482.00,SOCO,2022
3,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2ST,"129,296","99,528","117,154","117,076","95,500","128,013","113,095","125,750","121,603","129,332","82,475","118,389",1377211.00,SOCO,2022
7,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,-72,-123,-117,-106,-102,-127,-107,-98,-127,-181,"1,180",-234,-214.00,SOCO,2022
7,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,-782,-643,-543,-218,-185,-149,-180,-170,-147,-151,-219,-221,-3608.00,SOCO,2022
10,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,"53,866","24,163","4,636",-971,"63,738","86,596","93,484","68,080","43,196","40,119","50,534","59,034",586475.00,SOCO,2022
10,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,"51,042","19,229","4,454","33,807","43,965","62,471","77,297","55,761","47,397","49,656","53,725","63,133",561937.00,SOCO,2022
26,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,-554,-670,0,-591,"50,908","59,735","55,698","64,142","24,427","25,949","21,964","26,501",327509.00,SOCO,2022
26,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,-286,-262,-361,"34,054","45,263","56,841","48,846","47,568","34,313","33,241","4,721","27,176",331114.00,SOCO,2022
26,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,3,-457,-521,-763,"3,819","55,332","83,424","63,473","31,072","54,834","51,946","2,186","23,795",368140.00,SOCO,2022
26,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,"268,060","211,447","92,530","138,606","359,928","337,851","376,224","364,158","310,253","-5,670","16,645","274,521",2744553.00,SOCO,2022
