"","COBRA_SOURCEINDX","FIPS","ST_FIPS","CY_FIPS","ST_NAME","CY_NAME","5_digit_FIPS","2_digit_ST_FIPS","3_digit_CY_FIPS","State Abbr","ReEDS BA","Cambium GEA","eGRID_subregion","NERC_Acronym","BA_Code","BA_Name","AVERT_region","PADD","Urban","ZEV"
"1",1,1001,1,1,"Alabama","Autauga","01001","01","001","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,1,0
"2",2,1003,1,3,"Alabama","Baldwin","01003","01","003","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,1,0
"3",3,1005,1,5,"Alabama","Barbour","01005","01","005","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"4",4,1007,1,7,"Alabama","Bibb","01007","01","007","AL","p89","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,1,0
"5",5,1009,1,9,"Alabama","Blount","01009","01","009","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,1,0
"6",6,1011,1,11,"Alabama","Bullock","01011","01","011","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"7",7,1013,1,13,"Alabama","Butler","01013","01","013","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"8",8,1015,1,15,"Alabama","Calhoun","01015","01","015","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,1,0
"9",9,1017,1,17,"Alabama","Chambers","01017","01","017","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"10",10,1019,1,19,"Alabama","Cherokee","01019","01","019","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"11",11,1021,1,21,"Alabama","Chilton","01021","01","021","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,1,0
"12",12,1023,1,23,"Alabama","Choctaw","01023","01","023","AL","p89","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"13",13,1025,1,25,"Alabama","Clarke","01025","01","025","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"14",14,1027,1,27,"Alabama","Clay","01027","01","027","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
"15",15,1029,1,29,"Alabama","Cleburne","01029","01","029","AL","p90","SRSOc","SRSO","SERC","SOCO","Southern Company Services, Inc. - Trans","Southeast",3,0,0
