Year,Source,Fuel,ModelYr,TotalEnergy
2022,21,1,1992,1.7968E+16
2022,21,1,1993,2.16557E+16
2022,21,1,1994,2.70184E+16
2022,21,1,1995,3.01131E+16
2022,21,1,1996,3.71284E+16
2022,21,1,1997,4.23186E+16
2022,21,1,1998,5.0362E+16
2022,21,1,1999,7.41278E+16
2022,21,1,2000,8.1859E+16
2022,21,1,2001,9.2468E+16
2022,21,1,2002,1.05568E+17
2022,21,1,2003,1.156E+17
2022,21,1,2004,1.341E+17
2022,21,1,2005,1.58657E+17
2022,21,1,2006,1.71952E+17
2022,21,1,2007,2.02021E+17
2022,21,1,2008,1.93796E+17
2022,21,1,2009,1.57561E+17
2022,21,1,2010,2.01173E+17
2022,21,1,2011,2.63428E+17
2022,21,1,2012,2.94884E+17
2022,21,1,2013,3.18928E+17
2022,21,1,2014,3.70135E+17
2022,21,1,2015,3.34781E+17
2022,21,1,2016,4.17421E+17
2022,21,1,2017,4.0007E+17
2022,21,1,2018,3.9769E+17
2022,21,1,2019,3.50951E+17
2022,21,1,2020,2.35831E+17
2022,21,1,2021,3.20548E+17
2022,21,1,2022,3.3137E+17
2022,21,2,1992,1.76423E+13
2022,21,2,1993,1.03646E+13
2022,21,2,1994,1.62975E+13
2022,21,2,1995,1.7665E+14
2022,21,2,1996,4.99147E+13
2022,21,2,1997,4.98045E+13
2022,21,2,1998,8.16447E+13
2022,21,2,1999,1.38482E+14
2022,21,2,2000,2.36705E+14
2022,21,2,2001,1.73302E+14
2022,21,2,2002,4.02307E+14
2022,21,2,2003,4.2627E+14
2022,21,2,2004,3.49869E+14
2022,21,2,2005,5.22208E+14
2022,21,2,2006,8.01413E+14
2022,21,2,2007,1.54834E+14
2022,21,2,2008,1.54488E+14
2022,21,2,2009,4.00652E+15
2022,21,2,2010,3.02783E+15
2022,21,2,2011,2.04977E+15
2022,21,2,2012,3.74208E+15
2022,21,2,2013,3.91873E+15
2022,21,2,2014,7.03473E+15
2022,21,2,2015,5.81065E+15
2022,21,2,2016,3.77129E+14
2022,21,2,2017,7.74671E+13
2022,21,2,2018,3.11844E+14
2022,21,2,2019,7.97333E+13
2022,21,2,2020,4.26255E+12
2022,21,2,2021,5.31317E+12
2022,21,2,2022,5.09888E+12
2022,21,5,1995,2.43089E+11
2022,21,5,1996,3.0246E+11
2022,21,5,1997,1.20692E+12
2022,21,5,1998,4.36775E+12
2022,21,5,1999,1.1908E+13
2022,21,5,2000,1.53807E+13
2022,21,5,2001,2.03108E+13
2022,21,5,2002,2.32193E+13
2022,21,5,2003,2.42886E+13
2022,21,5,2004,3.29762E+13
2022,21,5,2005,4.65425E+13
2022,21,5,2006,6.32657E+13
2022,21,5,2007,1.36152E+14
2022,21,5,2008,2.36566E+14
2022,21,5,2009,1.75486E+14
2022,21,5,2010,1.2765E+14
2022,21,5,2011,3.0288E+14
2022,21,5,2012,2.51352E+14
2022,21,5,2013,2.80821E+14
2022,21,5,2014,2.73252E+14
2022,21,5,2015,2.42798E+14
2022,21,5,2016,3.83882E+14
2022,21,5,2017,2.15383E+14
2022,21,5,2018,2.0268E+14
2022,21,5,2019,1.15337E+14
2022,21,5,2020,7.80973E+13
2022,21,5,2021,1.05423E+14
2022,21,5,2022,1.09102E+14
2022,21,9,1998,5.18882E+12
2022,21,9,1999,5.57705E+12
2022,21,9,2000,5.11344E+12
2022,21,9,2001,3.02665E+12
2022,21,9,2002,1.01571E+12
2022,21,9,2003,9.44376E+11
2022,21,9,2004,4.29603E+11
2022,21,9,2005,2.0954E+11
2022,21,9,2006,5.01338E+11
2022,21,9,2007,1.40253E+12
2022,21,9,2008,1.211E+12
2022,21,9,2009,2.57797E+12
2022,21,9,2010,1.71335E+13
2022,21,9,2011,2.47403E+14
2022,21,9,2012,4.19455E+14
2022,21,9,2013,4.89455E+14
2022,21,9,2014,3.1402E+15
2022,21,9,2015,4.29783E+15
2022,21,9,2016,2.10375E+15
2022,21,9,2017,4.40281E+15
2022,21,9,2018,8.52535E+15
2022,21,9,2019,1.02318E+16
2022,21,9,2020,5.6664E+15
2022,21,9,2021,6.61646E+15
2022,21,9,2022,6.80632E+15
2022,31,1,1992,4.07738E+16
2022,31,1,1993,4.82286E+16
2022,31,1,1994,5.65476E+16
2022,31,1,1995,6.33846E+16
2022,31,1,1996,6.98543E+16
2022,31,1,1997,8.26015E+16
2022,31,1,1998,1.05868E+17
