state,country,t,co2_gen_mmt,nuclear_MWh,coal_MWh,o-g-s_MWh,gas-cc_MWh,gas-ct_MWh,hydro_MWh,canada_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,battery_MWh,curtailment_MWh,nuclear_MW,coal_MW,o-g-s_MW,gas-cc_MW,gas-ct_MW,hydro_MW,geothermal_MW,biomass_MW,wind-ons_MW,wind-ofs_MW,csp_MW,upv_MW,distpv_MW,battery_MW,nuclear_gen_frac,canada_gen_frac,o-g-s_gen_frac,biomass_gen_frac,gas-ct_gen_frac,wind-ofs_gen_frac,upv_gen_frac,wind-ons_gen_frac,coal_gen_frac,geothermal_gen_frac,distpv_gen_frac,gas-cc_gen_frac,csp_gen_frac,hydro_gen_frac,water_consumption,water_withdrawal,generation_MWh
AL,usa,2010,0.055472208,40.05001359,26.8777933,0,72.14407819,0.157198737,9.990048996,0,0,2.172456782,8.41E-05,0,0,0,0,0,0,5.0664,11.4685,0.0266,9.265,2.5414,3.04256,0,0.29494,3.20E-05,0,0,0,0,0,0.264545682,0,0,0.014349909,0.001038358,0,0,5.55E-07,0.177538121,0,0,0.476539273,0,0.065988101,43.49227918,1828.449147,151.3916737
AR,usa,2010,0.019025823,14.38398167,10.07480393,0,20.3124944,0.037541762,3.915276806,0,0,0.069741514,0,0,0,0,0,-0.002208752,0,1.8196,4.513401,2.273,4.8755,0.7876,1.3549,0,0.0128,0,0,0,0,0,0.028,0.294790934,0,0,0.00142931,0.000769396,0,0,0,0.206476963,0,0,0.416292187,0,0.080241211,19.18333796,72.99968881,48.79384008
AZ,usa,2010,0.051707345,31.12207949,45.60163007,0,12.60853773,0.014034702,6.514742699,0,0,0.222359372,0.165564,0,0.003735739,0.098555068,0.00803869,0,0,3.937,6.17,1.32,9.8649,1.920329,2.170496,0,0.03524,0.063,0,0.0015,0.037766364,0.009856677,0.2163,0.322979585,0,0,0.002307607,0.00014565,0,0.001022788,0.001718195,0.473245869,0,8.34E-05,0.130849235,3.88E-05,0.067608879,53.26138298,112.1723492,96.35927756
CA,usa,2010,0.058259857,35.9678592,2.672392176,4.17259416,127.1397375,0.284232895,31.47356558,0,15.21233165,5.393776935,8.3863422,0,1.078093382,0.900495255,0.678313472,-0.044611483,0,4.55,0.3606,15.16497,18.29415093,7.320556,10.207425,2.043,0.838978,3.19115,0,0.41764,0.3322,0.976147905,3.866,0.154130529,0,0.017880523,0.023113572,0.001218003,0,0.003858829,0.0359374,0.011451814,0.065188331,0.002906729,0.544822944,0.004619877,0.134871449,39.20127159,1963.402484,233.3597344
CO,usa,2010,0.043318835,0,41.27152366,0,0.375073774,0,1.721162502,0,0,0.086808679,3.4284888,0,0.002176382,0.070846511,0.00236085,0,0,0,5.6749,0.2549,2.52724,2.7052,0.664115,0,0.013,1.3046,0,0.001,0.028389091,0.00307624,0.5625,0,0,0,0.001848628,0,0,0.001508707,0.073011129,0.87889467,0,5.03E-05,0.007987356,4.63E-05,0.036652888,26.79624686,77.84005635,46.95844116
CT,usa,2010,0.005221618,16.56779198,0.967897573,0,10.24265006,0.045347939,0.479685087,0,0,0.85148249,0,0,0,0.000752423,0.000608694,0,0,2.095856,0.564426,2.211922,1.812123,1.132761,0.123654,0,0.186031,0,0,0,0.000402727,0.001238371,0.0294,0.568242183,0,0,0.029204149,0.001555344,0,2.58E-05,0,0.033196954,0,2.09E-05,0.351302445,0,0.016452241,6.432680586,772.1203227,29.15621625
DE,usa,2010,0.005110442,0,4.866666876,0,0.895089333,0.0157916,0,0,0,0.0366168,0.005256,0,0,0,0.00054793,0,0,0,0.67,0.9188,1.13,0.407,0,0,0.008,0.002,0,0,0,0.000861488,0,0,0,0,0.00629158,0.002713348,0,0,0.000903098,0.836201578,0,9.41E-05,0.153796249,0,0,2.776367554,65.8268748,5.819968538
FL,usa,2010,0.107988081,30.57792926,59.63664619,0,120.0328089,0.741448503,0.192511724,0,0,3.545052114,0,0,0,0.095261494,0.00896655,0,0,3.868164,10.683,9.1036,24.64729922,10.9647,0.0545,0,0.65002,0,0,0,0.045290909,0.01263486,0,0.142335057,0,0,0.016501614,0.003451317,0,0.000443426,0,0.277598439,0,4.17E-05,0.558732299,0,0.000896109,66.59372174,2140.578268,214.8306248
GA,usa,2010,0.065230671,32.10269772,58.18603629,0,20.60324543,0.33818468,3.905372198,0,0,0.932163694,0,0,0,0,0.000514604,-0.004363452,0,4.06105,13.1577,0.2415,5.44,8.7161,2.27538,0,0.129766,0,0,0,0,0.000793358,1.861502,0.276584747,0,0,0.008031171,0.002913672,0,0,0,0.501308963,0,4.43E-06,0.177509799,0,0.033647215,61.20105757,507.8710229,116.0682146
IA,usa,2010,0.047217286,4.893209856,45.85027613,0,0.606107586,0.01210172,0.968943171,0,0,0.05126352,9.675355176,0,0,1.24E-05,0,0,0,0.619,6.327202,0.65023,1.1046,1.6333,0.145475,0,0.0112,3.681642,0,0,6.36E-06,0,0,0.078849906,0,0,0.000826068,0.000195009,0,2.00E-07,0.155910101,0.738838116,0,0,0.009766907,0,0.015613693,21.85977849,956.3479801,62.05726956
