Region,State,Plant,ORSPL,Unit,Full Name,County,Generation
Southeast,AL,Barry,3,1,Barry 1,Mobile County,12915.25
Southeast,AL,Barry,3,2,Barry 2,Mobile County,14038.25
Southeast,AL,Barry,3,4,Barry 4,Mobile County,772728
Southeast,AL,Barry,3,5,Barry 5,Mobile County,2937099.75
Southeast,AL,Barry,3,6A,Barry 6A,Mobile County,2147496.75
Southeast,AL,Barry,3,6B,Barry 6B,Mobile County,2138222.5
Southeast,AL,Barry,3,7A,Barry 7A,Mobile County,2131897.5
Southeast,AL,Barry,3,7B,Barry 7B,Mobile County,2138966.5
Southeast,AL,Gadsden,7,1,Gadsden 1,Etowah County,0
Southeast,AL,Gadsden,7,2,Gadsden 2,Etowah County,0
Southeast,AL,Gorgas,8,8,Gorgas 8,Walker County,315249
Southeast,AL,Gorgas,8,9,Gorgas 9,Walker County,736192
Southeast,AL,Gorgas,8,10,Gorgas 10,Walker County,3816113.25
Southwest,TX,Copper Station,9,CTG-1,Copper Station CTG-1,El Paso County,19064.38
Southeast,AL,Greene County,10,1,Greene County 1,Greene County,350762
Southeast,AL,Greene County,10,2,Greene County 2,Greene County,541064
Southeast,AL,Greene County,10,CT10,Greene County CT10,Greene County,7406
Southeast,AL,Greene County,10,CT2,Greene County CT2,Greene County,6719.25
Southeast,AL,Greene County,10,CT3,Greene County CT3,Greene County,2205
Southeast,AL,Greene County,10,CT4,Greene County CT4,Greene County,12553.25
Southeast,AL,Greene County,10,CT5,Greene County CT5,Greene County,7266.5
Southeast,AL,Greene County,10,CT6,Greene County CT6,Greene County,12884.25
Southeast,AL,Greene County,10,CT7,Greene County CT7,Greene County,13063.75
Southeast,AL,Greene County,10,CT8,Greene County CT8,Greene County,4266.25
Southeast,AL,Greene County,10,CT9,Greene County CT9,Greene County,2275.75
Southeast,AL,E C Gaston,26,1,E C Gaston 1,Shelby County,294770.25
Southeast,AL,E C Gaston,26,2,E C Gaston 2,Shelby County,433512.25
Southeast,AL,E C Gaston,26,3,E C Gaston 3,Shelby County,437672.5
Southeast,AL,E C Gaston,26,4,E C Gaston 4,Shelby County,365215.75
Southeast,AL,E C Gaston,26,5,E C Gaston 5,Shelby County,3816734.75
Tennessee,AL,Colbert,47,CCT1,Colbert CCT1,Colbert County,1677
Tennessee,AL,Colbert,47,CCT2,Colbert CCT2,Colbert County,1664
Tennessee,AL,Colbert,47,CCT3,Colbert CCT3,Colbert County,2110
Tennessee,AL,Colbert,47,CCT4,Colbert CCT4,Colbert County,1840
Tennessee,AL,Colbert,47,CCT5,Colbert CCT5,Colbert County,2402
Tennessee,AL,Colbert,47,CCT6,Colbert CCT6,Colbert County,2444
Tennessee,AL,Colbert,47,CCT7,Colbert CCT7,Colbert County,2140
Tennessee,AL,Colbert,47,CCT8,Colbert CCT8,Colbert County,2110
Midwest,LA,Dolet Hills Power Station,51,1,Dolet Hills Power Station 1,De Soto Parish,2167932.07
Mid-Atlantic,KY,Smith Generating Facility,54,SCT1,Smith Generating Facility SCT1,Clark County,9303.48
Mid-Atlantic,KY,Smith Generating Facility,54,SCT10,Smith Generating Facility SCT10,Clark County,27922.13
Mid-Atlantic,KY,Smith Generating Facility,54,SCT2,Smith Generating Facility SCT2,Clark County,10340.79
Mid-Atlantic,KY,Smith Generating Facility,54,SCT3,Smith Generating Facility SCT3,Clark County,10202.15
Mid-Atlantic,KY,Smith Generating Facility,54,SCT4,Smith Generating Facility SCT4,Clark County,21176.28
Mid-Atlantic,KY,Smith Generating Facility,54,SCT5,Smith Generating Facility SCT5,Clark County,21471.36
