Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
California,CA,Moss Landing,260,1A,Moss Landing 1A,Monterey County,260|1A|California,1624176.63,11495170.49,0.006393446,0.002069999,0.00646
California,CA,Moss Landing,260,2A,Moss Landing 2A,Monterey County,260|2A|California,1293198.2,9107040.384,0.006393446,0.00207,0.006460001
California,CA,Moss Landing,260,3A,Moss Landing 3A,Monterey County,260|3A|California,1271751.99,9109613.185,0.006393446,0.00207,0.006459999
California,CA,Moss Landing,260,4A,Moss Landing 4A,Monterey County,260|4A|California,1281379.36,9162589.172,0.006393446,0.00207,0.00646
California,CA,Cabrillo Power I Encina Power Station,302,1,Cabrillo Power I Encina Power Station 1,San Diego County,302|1|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,2,Cabrillo Power I Encina Power Station 2,San Diego County,302|2|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,3,Cabrillo Power I Encina Power Station 3,San Diego County,302|3|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,4,Cabrillo Power I Encina Power Station 4,San Diego County,302|4|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,5,Cabrillo Power I Encina Power Station 5,San Diego County,302|5|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,6,Cabrillo Power I Encina Power Station 6,San Diego County,302|6|California,88709.68,949581.319,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,7,Cabrillo Power I Encina Power Station 7,San Diego County,302|7|California,95784.09,1027755.898,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,8,Cabrillo Power I Encina Power Station 8,San Diego County,302|8|California,85964.55,919351.865,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,9,Cabrillo Power I Encina Power Station 9,San Diego County,302|9|California,89968.17,965512.37,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,10,Cabrillo Power I Encina Power Station 10,San Diego County,302|10|California,60828.84,609971.151,0.007622007,0.002998507,0.006576566
California,CA,AES Alamitos,315,1,AES Alamitos 1,Los Angeles County,315|1|California,0,0,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,2,AES Alamitos 2,Los Angeles County,315|2|California,0,0,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,3,AES Alamitos 3,Los Angeles County,315|3|California,170973,2209739.4,0.001173455,0.000548254,0.001806458
California,CA,AES Alamitos,315,4,AES Alamitos 4,Los Angeles County,315|4|California,196324,2557780,0.007615165,0.004861847,0.003281659
California,CA,AES Alamitos,315,5,AES Alamitos 5,Los Angeles County,315|5|California,192929,2413404.1,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,6,AES Alamitos 6,Los Angeles County,315|6|California,0,0,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,CT1,AES Alamitos CT1,Los Angeles County,315|CT1|California,1469013.75,10134971.37,0.000422,0.0021,0.000480392
California,CA,AES Alamitos,315,CT2,AES Alamitos CT2,Los Angeles County,315|CT2|California,1540371.06,10604105.46,0.000422,0.0021,0.000480392
California,CA,El Segundo,330,5,El Segundo 5,Los Angeles County,330|5|California,96289.18,831091.287,0.001857922,0.001409315,0.022548811
California,CA,El Segundo,330,7,El Segundo 7,Los Angeles County,330|7|California,116488.41,970605.368,0.001730612,0.00127612,0.019124186
California,CA,Etiwanda Generating Station,331,3,Etiwanda Generating Station 3,San Bernardino County,331|3|California,0,0,0,0,0
California,CA,Etiwanda Generating Station,331,4,Etiwanda Generating Station 4,San Bernardino County,331|4|California,0,0,0,0,0
California,CA,AES Huntington Beach,335,1,AES Huntington Beach 1,Orange County,335|1|California,0,0,0.002228117,0.000953324,0.001702387
California,CA,AES Huntington Beach,335,2,AES Huntington Beach 2,Orange County,335|2|California,89388,1011180.2,0.007452579,0.005675623,0.00308022
California,CA,AES Huntington Beach,335,CT1,AES Huntington Beach CT1,Orange County,335|CT1|California,1978686.16,13416463.96,0.000422,0.0021,0.000480392
California,CA,AES Huntington Beach,335,CT2,AES Huntington Beach CT2,Orange County,335|CT2|California,1965110.87,13297828.72,0.000422,0.0021,0.000480392
California,CA,Long Beach Generating Station,341,1,Long Beach Generating Station 1,Los Angeles County,341|1|California,4006.23,62884.565,0.01460844,0.004558125,0.020197051
California,CA,Long Beach Generating Station,341,2,Long Beach Generating Station 2,Los Angeles County,341|2|California,3602.69,57976.16,0.016080803,0.004987842,0.022435522
California,CA,Long Beach Generating Station,341,3,Long Beach Generating Station 3,Los Angeles County,341|3|California,3890.66,66458.915,0.011207842,0.00366429,0.015666672
California,CA,Long Beach Generating Station,341,4,Long Beach Generating Station 4,Los Angeles County,341|4|California,4053.11,71258.949,0.010362307,0.003298697,0.014283633
California,CA,Mandalay Generating Station,345,1,Mandalay Generating Station 1,Ventura County,345|1|California,0,0,0,0,0
California,CA,Mandalay Generating Station,345,2,Mandalay Generating Station 2,Ventura County,345|2|California,0,0,0,0,0
California,CA,Ormond Beach Generating Station,350,1,Ormond Beach Generating Station 1,Ventura County,350|1|California,146964.04,1724519.402,0.00707991,0.00396475,0.002265571
California,CA,Ormond Beach Generating Station,350,2,Ormond Beach Generating Station 2,Ventura County,350|2|California,302745.32,3366035.947,0.002507305,0.001404083,0.00270789
California,CA,AES Redondo Beach,356,5,AES Redondo Beach 5,Los Angeles County,356|5|California,44848,743055.1,0.000407471,0.002619458,0.001650331
California,CA,AES Redondo Beach,356,6,AES Redondo Beach 6,Los Angeles County,356|6|California,60754,1134967.5,0.00174707,0.003452043,0.004728478
California,CA,AES Redondo Beach,356,7,AES Redondo Beach 7,Los Angeles County,356|7|California,0,0,0.002781933,0.026699327,0.009409092
California,CA,AES Redondo Beach,356,8,AES Redondo Beach 8,Los Angeles County,356|8|California,145521,1691265.4,0.001337214,0.010008844,0.004039136
