state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-css_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind-ofs_MWh,wind-ons_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,31.2,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33847487,0,32943,0,41397631,1778417,0,9703494,44519210,0,1337358,0,0,0,1188992,0,0,133834946,53239404.6,53539861.1,4371,623.4,6703,39182.9,3700865.3,8806420,170992,36.6,0,397.8,400.04,32.66,4.66,50.08,292.77,27.65,65.8,1277.63,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,62.4,0,11004,927.1,0,3334,5544.5,0,557.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,32842649,0,84581,0,60852782,1872474,0,9703210,44519210,0,594895,0,0,0,1618404,0,0,152117620,59157399,59455358.3,4366.3,614.8,5417.9,27602.9,4465997,10634966.6,206665.9,37.8,0,388.89,390.85,28.7,4.04,35.62,181.46,29.36,69.91,1358.59,0.25
AL,2026,0,0,0,0,0,6.4,0,0,5790.7,0,0,153.2,0,11004,927.1,0,3419,5544.5,0,557.1,0,0,0,1077.4,0,0,0,0,0,0,0,29415,0,0,0,31648185,0,159621,0,49714563,2285973,0,10005146,44519210,0,594895,0,0,0,2072461,0,0,141029470,53599593.6,53883065.1,4143.3,586.1,5226.4,26221.4,3916517.7,9330111.1,181340.6,35.3,0,380.06,382.07,29.38,4.16,37.06,185.93,27.77,66.16,1285.83,0.25
AL,2028,0,0.3,78.2,0,0,6.4,0,0,5790.7,0,0,373.6,0,11004,927.1,0,3449,5544.5,0,557.1,0,0,0,1911.4,0,0,0,621,211323,0,0,29415,0,0,0,24962791,0,359013,0,35234141,2479545,0,10103033,44519210,0,1100086,0,0,0,3814309,0,0,122813488,41578231.7,41802535.3,3269.4,464.7,5135,31178.9,3109256.5,7237459.1,138250.4,30.5,0,338.55,340.37,26.62,3.78,41.81,253.87,25.32,58.93,1125.69,0.25
AL,2030,0,112.2,470.2,0,0,6.4,0,0,5790.7,0,0,770.5,0,10964,927.1,0,3471,5544.5,0,557.1,0,0,0,4342.1,0,0,0,252363,1135083,0,0,29415,0,0,0,21362894,0,591573,0,27619137,3619192,0,10148927,44519210,0,1136111,0,0,0,9387694,0,0,119801597,35536440.9,35728827.1,2801.9,398.9,4711.2,29976.5,2717799.5,6235455.6,117787.9,27.8,0,296.63,298.23,23.39,3.33,39.32,250.22,22.69,52.05,983.19,0.23
AL,2032,0,143.3,652.3,0,0,6.4,0,0,5790.7,0,0,1137.3,0,10964,927.1,0,3471,5544.5,0,557.1,0,0,0,5001.8,0,0,0,230624,1262856,0,0,29415,0,0,0,19642247,0,1458782,0,22538958,3319210,0,10146046,44519210,0,1135954,0,0,0,11472975,0,0,115756278,31524849.6,31700658.1,2555.8,365,4468.7,28850.5,2398238.6,5450843.5,102199.1,25.9,0,272.34,273.86,22.08,3.15,38.6,249.24,20.72,47.09,882.88,0.22
AL,2034,0,147.3,702.1,3.8,0,6.4,0,0,5790.7,0,0,1376.7,0,10964,927.1,0,3471,5544.5,0,557.1,0,0,0,5456.3,0,0,0,224653,1343380,13081,0,29415,0,0,0,14766878,0,2053871,0,13892494,2083642,0,10137527,44519210,0,599084,0,0,0,12277882,0,0,101941115,21890903.5,22020251.2,1877.6,268.9,2929.6,16974.8,1682133.9,3722474.6,68280.2,20.5,0,214.74,216.01,18.42,2.64,28.74,166.52,16.5,36.52,669.8,0.2
AL,2036,0,148.8,712.4,16.9,0,6.4,0,0,5790.7,0,0,1470.8,0,10964,927.1,0,3471,5544.5,0,256,0,0,0,6519,0,0,0,205219,1268446,52594,0,29415,0,0,0,12316852,0,1846811,0,12476890,1883650,0,10150097,44519210,0,0,0,0,0,14326160,0,0,99075344,18175722.7,18282132,1549.9,220.6,1634.7,5695.1,1445458.8,3173840.6,57837.5,17.7,0,183.45,184.53,15.64,2.23,16.5,57.48,14.59,32.03,583.77,0.18
AL,2038,0,188.8,735.8,16.9,0,6.4,0,0,5790.7,0,0,1592,0,10964,927.1,0,3471,5544.5,0,0,0,0,0,7294.1,0,0,0,293128,1336016,38497,0,29415,0,0,0,12641048,0,2409634,0,12056476,1511146,0,10139822,44519210,0,0,0,0,0,15992549,0,0,100966941,18090230.6,18198838,1580.1,225.4,1672.7,5722.2,1406477.9,3091478.2,56381.9,17.7,0,179.17,180.25,15.65,2.23,16.57,56.67,13.93,30.62,558.42,0.17
AL,2040,0.4,347.9,737.2,16.9,0,6.4,0,0,5790.7,0,0,1755.5,0,10964,927.1,0,3471,5544.5,0,0,0,0,0,7710.8,0,0,518,557627,1376369,41446,0,29415,0,0,0,12580078,0,2658024,0,11724617,1276381,0,10137807,44519210,0,0,0,0,0,17181562,0,0,102083054,17760636.3,17868322.6,1566,223.5,1660.3,5639,1374687.1,3015721.9,54907.9,17.5,0,173.98,175.04,15.34,2.19,16.26,55.24,13.47,29.54,537.88,0.17
