state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-ccs_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind_ofs_MWh,wind_ons_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,31.2,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33847487,0,32943,0,41397631,1778417,0,9703494,44519210,0,1337358,0,0,0,1188992,0,0,133834946,53239404.6,53539861.1,4371,623.4,6703,39182.9,3700865.3,8806420,170992,36.6,0,397.8,400.04,32.66,4.66,50.08,292.77,27.65,65.8,1277.63,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,62.4,0,11004,927.1,0,3334,5544.5,0,629.3,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,32152301,0,84759,0,62455439,1999886,0,9703303,44519210,0,671935,0,0,0,1618227,0,0,153234475,59252368.9,59545723.9,4302,605,5460.7,28832.1,4541147.1,10784043.7,209145.5,38,0,386.68,388.59,28.07,3.95,35.64,188.16,29.64,70.38,1364.87,0.25
AL,2026,0,0,0,0,0,6.4,0,0,5790.7,0,0,153.2,0,11004,927.1,0,3435,5544.5,0,629.3,0,0,0,832,0,0,0,0,0,0,0,29415,0,0,0,27139053,0,232189,0,50392667,2340149,0,10057448,44519210,0,671935,0,0,0,1737500,0,0,137119567,49355634.8,49602581.4,3618.4,509.6,4770.8,25961,3822316.3,8990165.9,173112.4,33.3,0,359.95,361.75,26.39,3.72,34.79,189.33,27.88,65.56,1262.49,0.24
AL,2028,0,0,22.6,0,0,6.4,0,0,5790.7,0,0,373.6,2030.1,8973.9,927.1,0,3449,5544.5,0,629.3,0,0,0,1932.2,0,0,0,0,64252,0,0,29415,0,0,0,21046224,0,458030,15580341,12621860,1634990,0,10103280,44519210,0,879966,0,0,0,3904350,0,0,110841918,28447706.2,28635401.2,2732.7,389.2,4192.9,24096.7,2545106.3,5853241.3,110767.7,26.6,0,256.65,258.34,24.65,3.51,37.83,217.4,22.96,52.81,999.33,0.24
AL,2030,0,78.1,394.3,0,0,6.4,0,0,5790.7,0,0,770.5,2030.1,8973.9,927.1,0,3462,5544.5,0,629.3,0,0,0,4182.7,0,0,0,185407,1019818,0,0,29415,0,0,0,17963015,0,653752,15258119,8533145,2216127,0,10129993,44519210,0,1193570,0,0,0,9116519,0,0,110818089,24248761,24410349.3,2350.1,335.4,4287,28033.4,2325100.8,5231889.6,97313.8,25,0,218.82,220.27,21.21,3.03,38.68,252.97,20.98,47.21,878.14,0.23
AL,2032,0,97.3,399.5,0,0,6.4,0,0,5790.7,0,0,1137.3,3132.1,7871.9,927.1,0,3462,5544.5,0,629.3,0,0,0,5124.5,0,0,0,155830,737450,0,0,29415,0,0,0,12653931,0,1245287,23333634,4982071,2437706,0,10117967,44214110,0,453736,0,0,0,11615898,0,0,111977036,17390401.1,17508014.6,1729.5,242,2392.7,13302.6,2284032.1,5083730,93752,21.6,0,155.3,156.35,15.45,2.16,21.37,118.8,20.4,45.4,837.24,0.19
AL,2034,0,870.4,399.5,961.7,0,6.4,1253.7,0,1062.7,0,0,1376.7,3132.1,7871.9,927.1,0,3471,5544.5,0,629.3,0,0,0,8649.7,0,0,0,1384781,624514,2665929,0,29415,9234525,0,0,0,0,1169908,20033451,1615267,750335,0,10150097,44299366,0,0,0,0,0,19280781,0,0,111238371,-6349214.9,-6339911.8,162.9,16.3,17.4,429.2,1742606.7,3134299.6,46570.8,14.2,0,-57.08,-56.99,1.46,0.15,0.16,3.86,15.67,28.18,418.66,0.13
AL,2036,0,870.4,420.3,961.7,0,6.4,2568.1,0,0,0,0,1470.8,3132.1,9337.3,604.1,0,3471,5544.5,0,0,0,0,323,8686.6,0,0,0,1359027,846550,2329365,0,29415,18915090,0,0,0,0,2222910,5645182,5838185,851348,0,10150097,44301291,0,0,0,0,0,20102290,0,0,112590751,-13768811.6,-13763724.3,89.1,8.9,30.7,614.3,1625029.9,2418632.8,26501.9,14.1,0,-122.29,-122.25,0.79,0.08,0.27,5.46,14.43,21.48,235.38,0.13
AL,2038,0,870.9,420.9,961.7,0,6.4,2568.1,0,0,0,0,1592,3132.1,9352.4,460,0,3471,5544.5,0,0,0,0,467.1,8687.8,0,0,0,1218726,811036,2090932,0,29415,18915090,0,0,0,0,2404659,11726916,4396748,851348,0,10139827,44519210,0,0,0,0,0,19844129,0,0,116948037,-14052020.1,-14045009.5,122.8,12.3,26.4,567.3,1838036.1,2910457.6,35850.7,14.9,0,-120.16,-120.1,1.05,0.1,0.23,4.85,15.72,24.89,306.55,0.13
AL,2040,0,870.9,420.9,961.7,0,6.4,2568.1,0,0,0,0,1755.5,3132.1,9354.5,460,0,3471,5544.5,0,0,0,0,467.1,8687.8,0,0,0,1271172,787954,2167576,0,29415,18915090,0,0,0,0,2658041,12712476,4910999,642204,0,10150097,44214110,0,0,0,0,0,19577240,0,0,118036373,-13946983.2,-13939531.8,130.5,13.1,27,592.4,1883748.8,3019842.5,37986.3,15,0,-118.16,-118.1,1.11,0.11,0.23,5.02,15.96,25.58,321.82,0.13
