state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-ccs_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind_ofs_MWh,wind_ons_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,31.2,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33947848,0,32255,0,42696494,1868654,0,9703434,44519210,0,1233751,0,0,0,1186886,0,0,135217948,53833006.4,54134547.1,4389.4,625.4,6550,37548.4,3758995.2,8954677.4,174015.6,36.7,0,398.12,400.35,32.46,4.63,48.44,277.69,27.8,66.22,1286.93,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,62.4,0,11004,927.1,0,3334,5544.5,0,473.5,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,32284631,0,89465,0,62180321,2321397,0,9703714,44519210,0,505591,0,0,0,1615676,0,0,153249420,59371901.2,59665869.8,4312.5,606.1,5207.3,26055.6,4539056.9,10799652,209741.5,37.7,0,387.42,389.34,28.14,3.95,33.98,170.02,29.62,70.47,1368.63,0.25
AL,2026,0,0,0,0,0,6.4,0,0,5790.7,0,0,153.2,0,11004,927.1,0,3419,5544.5,0,473.5,0,0,0,1136.9,0,0,0,0,0,0,0,29415,0,0,0,28800276,0,165205,0,51847617,2545127,0,10005531,44519210,0,831621,0,0,0,2177753,0,0,140921755,51925638.7,52187466.6,3833.8,540.6,5247.1,29431.5,3982959.8,9387815.8,181052,34.8,0,368.47,370.33,27.2,3.84,37.23,208.85,28.26,66.62,1284.77,0.25
AL,2028,0,0.2,295.9,0,0,6.4,0,0,5790.7,0,0,373.6,2249.6,8754.4,927.1,0,3462,5544.5,0,473.5,0,0,0,2088.3,0,0,0,526,790012,0,0,29415,0,0,0,21703197,0,410516,17264979,11432965,1181409,0,10130417,44519210,0,1012329,0,0,0,4285791,0,0,112760765,28528670.9,28722042.4,2813,401.3,4482.9,26423.3,2569770.7,5913236.6,111948.2,27.1,0,253,254.72,24.95,3.56,39.76,234.33,22.79,52.44,992.79,0.24
AL,2030,0,52,675.7,0,0,6.4,0,0,5790.7,0,0,770.5,2249.6,8754.4,927.1,0,3471,5544.5,0,473.5,0,0,0,4333.5,0,0,0,123027,1491686,0,0,29415,0,0,0,17437681,0,633234,17039289,8996361,1480147,0,10135118,44495625,0,958845,0,0,0,9311964,0,0,112132392,23311520,23468641.4,2289,325.7,3838.1,23785.2,2325470.2,5244882.5,97742.7,24.5,0,207.89,209.29,20.41,2.9,34.23,212.12,20.74,46.77,871.67,0.22
AL,2032,0,116.6,675.7,134.4,0,6.4,0,0,5790.7,0,0,1137.3,3681.3,7322.7,927.1,0,3471,5544.5,0,473.5,0,0,0,6269.2,0,0,0,216295,1429953,418117,0,29415,0,0,0,10338662,0,1062322,27073257,3170761,1179834,0,10126054,44214110,0,626914,0,0,0,14053496,0,0,113939189,13833866.5,13932952.4,1461.5,203.4,2359.9,15115.6,2227255.6,4875990.3,88693.8,20.7,0,121.41,122.28,12.83,1.79,20.71,132.66,19.55,42.79,778.43,0.18
AL,2034,0,117.4,767,866.2,0,6.4,2513.1,0,3203.7,0,0,1376.7,3681.3,7322.7,927.1,0,3471,5544.5,0,473.5,0,0,0,9259.4,0,0,0,191951,1695414,2691203,0,29415,18509980,0,0,0,0,1105360,24186374,88628,686647,0,10142342,43563488,0,0,0,0,0,21101468,0,0,123992272,-14897054.1,-14886673.4,181.8,18.2,12.5,347.9,2187147.1,3746756.4,52189.1,16,0,-120.15,-120.06,1.47,0.15,0.1,2.81,17.64,30.22,420.91,0.13
AL,2036,0,119.4,1330.9,866.2,0,6.4,2560.9,0,0,0,0,1470.8,3681.3,10768.1,460,0,3471,5544.5,0,0,0,0,467.1,10722.8,0,0,0,163376,3065202,2403699,0,29415,18862719,0,0,0,0,1682552,17405351,1127271,851348,0,10134472,43647646,0,0,0,0,0,24476725,0,0,123849777,-15005097.1,-14997010.6,141.6,14.2,16.4,374.6,1948652.5,3176365.7,41059.5,15.2,0,-121.16,-121.09,1.14,0.11,0.13,3.02,15.73,25.65,331.53,0.12
AL,2038,13.3,122.6,1330.9,866.2,0,6.4,2560.9,0,0,0,0,1592,3681.3,10768.1,460,0,3471,5544.5,0,0,0,0,467.8,10729.1,0,0,9250,172512,2670667,2338583,0,29415,18862719,0,0,0,0,2408185,18216226,509231,851348,0,10132593,44214110,0,0,0,0,0,24606343,0,0,125021182,-15194677.7,-15186500.4,143.2,14.3,14.5,335.3,1963606.1,3204885,41513.3,15.3,0,-121.54,-121.47,1.15,0.11,0.12,2.68,15.71,25.63,332.05,0.12
AL,2040,22,122.6,1330.9,866.2,0,6.4,2560.9,0,0,0,0,1755.5,3681.3,11229.1,460,0,3471,5544.5,0,0,0,0,467.8,10729.1,0,0,16559,186028,3038669,2498544,0,29415,18862719,0,0,0,0,2658041,14756237,0,642204,0,10150097,43758167,0,0,0,0,0,24273583,0,0,120870263,-15624500.8,-15618111,111.9,11.2,12,232.7,1763397.1,2745346,32818.4,14.5,0,-129.27,-129.21,0.93,0.09,0.1,1.93,14.59,22.71,271.52,0.12
