state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-css_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind-ofs_MWh,wind-ons_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,31.2,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33947848,0,32255,0,42696494,1868654,0,9703434,44519210,0,1233751,0,0,0,1186886,0,0,135217948,53833006.4,54134547.1,4389.4,625.4,6550,37548.4,3758995.2,8954677.4,174015.6,36.7,0,398.12,400.35,32.46,4.63,48.44,277.69,27.8,66.22,1286.93,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,62.4,0,11004,927.1,0,3334,5544.5,0,338,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,33101628,0,84587,0,60693752,2213665,0,9703073,44519210,0,377500,0,0,0,1620554,0,0,152343384,59417562.5,59717137.1,4391.9,617.9,5099.3,24009.3,4466688.9,10665793.3,207679.4,37.6,0,390.02,391.99,28.83,4.06,33.47,157.6,29.32,70.01,1363.23,0.25
AL,2026,0,30.8,0,0,0,6.4,0,0,5790.7,0,0,153.2,0,11004,927.1,0,3435,5544.5,0,338,0,0,0,1312.3,0,0,0,73255,0,0,0,29415,0,0,0,32637770,0,158659,0,49611158,2275738,0,10056862,44519210,0,433952,0,0,0,2393586,0,0,142189605,54423637.8,54714620.8,4252.5,601.7,5090.8,23805.3,3920614.2,9381164.5,182915,35.5,0,382.75,384.8,29.91,4.23,35.8,167.42,27.57,65.98,1286.42,0.25
AL,2028,0,48.4,186.5,0,0,6.4,0,0,5790.7,0,0,373.6,4353.1,6650.9,927.1,0,3471,5544.5,0,338,0,0,0,2183.5,0,0,0,63768,517813,0,0,29415,0,0,0,21405172,0,357245,33408844,11266601,1549040,0,10148994,44519210,0,941157,0,0,0,4430846,0,0,128638106,28942536.1,29140152.4,2896.2,407.7,4330.2,25304.9,3309655.7,7629861.6,144701.9,29.6,0,224.99,226.53,22.51,3.17,33.66,196.71,25.73,59.31,1124.88,0.23
AL,2030,0,89.5,528.7,0,0,6.4,0,0,5790.7,0,0,770.5,4353.1,6650.9,927.1,0,3471,5544.5,0,338,0,0,0,4240.2,0,0,0,170169,1172139,0,0,29415,0,0,0,19299200,0,710713,33408844,9064555,1832443,0,10136205,44488208,0,850143,0,0,0,9273194,0,0,130435229,26032456.3,26211722.1,2630.6,369.5,3904.7,22835.6,3151794.7,7220478.9,136275.9,28.1,0,199.58,200.96,20.17,2.83,29.94,175.07,24.16,55.36,1044.78,0.22
AL,2032,0,151.3,825.9,0,0,6.4,0,0,5790.7,0,0,1137.3,4353.1,6650.9,927.1,0,3471,5544.5,0,338,0,0,0,5400.8,0,0,0,251723,1777018,0,0,29415,0,0,0,15108457,0,1263181,33408844,6388861,421142,0,10142601,44519210,0,933009,0,0,0,12281448,0,0,126524909,19902123.4,20044781.8,2097.1,293.6,3474.5,22294.5,2810833,6313939.2,117322.2,25.3,0,157.3,158.43,16.57,2.32,27.46,176.21,22.22,49.9,927.27,0.2
AL,2034,0,162.7,825.9,373.9,0,6.4,0,0,5790.7,0,0,1376.7,4353.1,6650.9,927.1,0,3471,5544.5,0,338,0,0,0,7584.3,0,0,0,248790,1684660,1142119,0,29415,0,0,0,15170204,0,1453503,33122615,1878029,211160,0,10150097,44519210,0,164716,0,0,0,17022013,0,0,126796531,17608600.5,17747181.5,2038.3,285.1,2221.4,8828.8,2500433.5,5674711.6,106309.4,22.9,0,138.87,139.97,16.08,2.25,17.52,69.63,19.72,44.75,838.43,0.18
AL,2036,0,162.8,1331.6,373.9,0,6.4,0,0,5790.7,0,0,1470.8,4353.1,6650.9,927.1,0,3471,5544.5,0,84,0,0,0,9020.3,0,0,0,243963,3014739,1028501,0,29415,0,0,0,12641048,0,1861775,33370372,1127656,219774,0,10148744,44214110,0,0,0,0,0,20303976,0,0,128204073,14653139.2,14770404.7,1732.4,240.4,1628.9,5052.4,2378436.8,5349165.5,99494.9,21.2,0,114.3,115.21,13.51,1.88,12.71,39.41,18.55,41.72,776.07,0.17
AL,2038,2.9,236.4,1331.6,373.9,0,6.4,0,1950.5,3840.2,0,0,1592,4353.1,6650.9,1015.1,0,3471,5544.5,0,0,0,0,0,9220.5,0,0,2841,386212,2884957,1006318,0,29415,0,0,13833189,11351868,0,2357601,33378113,0,166958,0,10134272,44214110,0,0,0,0,0,21066505,0,0,140812358,14240484.4,14453675,3111,441.3,1459.4,9322.1,2698997.3,6387143.5,123516.3,27,0,101.13,102.64,22.09,3.13,10.36,66.2,19.17,45.36,877.17,0.19
AL,2040,2.9,707,1331.6,373.9,0,6.4,0,1950.5,3840.2,0,0,1755.5,4353.1,6650.9,1015.1,0,3471,5544.5,0,0,0,0,0,10457.1,0,0,1483,1297886,2701175,1027774,0,29415,0,0,13833189,11397732,0,2517642,3420938,11483850,495752,0,10133369,44519210,0,0,0,0,0,23211556,0,0,126070971,17431423.5,17637030.5,2977.3,428.1,1500.9,9947.8,1838206.9,4387575.7,85330.8,23.9,0,138.27,139.9,23.62,3.4,11.91,78.91,14.58,34.8,676.85,0.19
AL,2042,32,687.9,1331.6,373.9,0,6.4,0,1950.5,3840.2,0,0,1931.7,4353.1,6650.9,1015.1,0,3471,5544.5,0,0,0,0,0,11487.6,0,0,39716,1003277,2730812,1014840,0,29415,0,0,13833189,10580085,0,2925614,3420938,10325340,448168,0,10138506,44340819,0,0,0,0,0,25223404,0,0,126054125,16158828.6,16357257.9,2872.6,413.3,1391.7,9554.5,1759433.9,4186274.7,81225,23.2,0,128.19,129.76,22.79,3.28,11.04,75.8,13.96,33.21,644.37,0.18
