state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-ccs_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind_offshore_MWh,wind_onshore_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,31.2,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33610628,0,40473,0,45241773,1778417,0,9704035,44519210,0,1364702,0,0,0,1179001,0,0,137467655,54585022.2,54885300.3,4373.5,622.5,6730.6,39911.3,3881991.2,9217800.8,178713,37.2,0,397.08,399.26,31.81,4.53,48.96,290.33,28.24,67.05,1300.04,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,62.4,0,11004,927.1,0,3334,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,27993072,0,94462,0,77049329,1624461,0,9703479,44519210,0,1640248,0,0,0,1607980,0,0,164261657,61621765.3,61890242.8,3956.1,551.6,6568.1,45412.1,5226107.7,12165773.4,232504.4,40.4,0,375.14,376.78,24.08,3.36,39.99,276.46,31.82,74.06,1415.45,0.25
AL,2026,0,1.6,0,0,0,6.4,0,0,5790.7,0,0,153.2,0,11004,927.1,0,3334,5544.5,0,1536.1,0,0,0,1253.2,0,0,0,3973,0,0,0,29415,0,0,0,23067860,0,216091,0,69763732,2284077,0,9701033,44519210,0,1655280,0,0,0,2522512,0,0,153763183,54007328,54232811.5,3328.7,462.6,5937.5,43310.4,4765718.3,10973205.6,207967.5,36.8,0,351.24,352.7,21.65,3.01,38.61,281.67,30.99,71.36,1352.52,0.24
AL,2028,0,134.8,13.4,0,0,6.4,0,0,5790.7,0,0,373.6,8936.3,2067.7,927.1,0,3449,5544.5,0,1536.1,0,0,0,2786.1,0,0,0,328294,43977,0,0,29415,0,0,0,6418558,0,51720,68584089,11403385,1085751,0,10100025,44519210,0,1607645,0,0,0,5228823,0,0,149400892,15218690,15309949.1,1405.7,180.8,3504.7,31850.7,4502633.6,9951103,182566.5,29.3,0,101.86,102.48,9.41,1.21,23.46,213.19,30.14,66.61,1221.99,0.2
AL,2030,0,134.8,653.9,0,0,6.4,0,0,5790.7,0,0,770.5,8936.3,2067.7,927.1,0,3449,5544.5,0,1536.1,0,0,0,7464.9,0,0,0,185960,1749748,0,0,29415,0,0,0,11137361,0,827547,68584089,9417209,1517903,0,10103283,44519210,0,1480089,0,0,0,16488584,0,0,166040399,19473370,19602203.4,1945.8,259.5,3885.6,31145,4581498.6,10265719.8,190460.1,31.2,0,117.28,118.06,11.72,1.56,23.4,187.57,27.59,61.83,1147.07,0.19
AL,2032,0,135.2,657.6,0,0,6.4,0,0,5790.7,0,0,1137.3,8936.3,2067.7,927.1,0,3462,5544.5,0,1536.1,0,0,0,7482,0,0,0,219962,1353782,0,0,29415,0,0,0,12821408,0,1719345,68584089,5639266,411166,0,10127032,44353372,0,1682814,0,0,0,17303353,0,0,164245003,19267343.5,19408135.3,2109.4,285.5,4405.5,34720.5,4414471.8,9900445.1,183804.5,31.5,0,117.31,118.17,12.84,1.74,26.82,211.39,26.88,60.28,1119.09,0.19
AL,2034,0,135.8,658.1,0,0,6.4,0,0,5790.7,0,0,1376.7,8936.3,2067.7,927.1,0,3462,5544.5,0,1536.1,0,0,0,7484.8,0,0,0,213041,1377622,0,0,29415,0,0,0,12449183,0,2083248,68584089,6195795,303412,0,10127032,44519210,0,1265803,0,0,0,17071670,0,0,164219522,18694581.9,18831122.3,2052,276.2,3679.8,27464.9,4368642.1,9826540.6,182871.2,30.5,0,113.84,114.67,12.5,1.68,22.41,167.25,26.6,59.84,1113.58,0.19
AL,2036,0,169.1,821.1,0,0,6.4,0,0,5790.7,0,0,1470.8,8936.3,2067.7,927.1,0,3471,5544.5,0,772.1,0,0,0,8092.6,0,0,0,277890,1847561,0,0,29415,0,0,0,12641048,0,2195762,68584089,5062298,391120,0,10145857,44519210,0,518152,0,0,0,17991025,0,0,164203426,17972113,18107519.7,2040.4,273.3,2492.5,14718.4,4242526.3,9616557,180071.4,28.9,0,109.45,110.27,12.43,1.66,15.18,89.64,25.84,58.56,1096.64,0.18
AL,2038,0.5,169.7,1014.6,269,0,6.4,0,0,5790.7,0,0,1592,8936.3,2067.7,927.1,0,3471,5544.5,0,516.1,0,0,0,10021.3,0,0,601,250865,2349178,858117,0,29415,0,0,0,12641048,0,2212719,68584089,6121444,323984,0,10148776,44519210,0,135092,0,0,0,21976128,0,0,170150667,18001512.3,18135972.3,2031,270.8,1869.3,8207.2,4234946.3,9638839.3,181079.5,28.3,0,105.8,106.59,11.94,1.59,10.99,48.24,24.89,56.65,1064.23,0.17
AL,2040,0.5,177.6,1014.6,269,0,6.4,0,0,5790.7,0,0,1755.5,8936.3,4756.9,927.1,0,3471,5544.5,0,258.3,0,0,0,10042.5,0,0,538,270288,2064885,661989,0,29415,0,0,0,12580078,0,2658041,4810917,34527218,1422326,0,10147553,44519210,0,498740,0,0,0,22553625,0,0,136744822,26623836.5,26744077.5,1776.7,246.5,2555.8,16182.4,2636048.1,5889318,108959.7,23,0,194.7,195.58,12.99,1.8,18.69,118.34,19.28,43.07,796.81,0.17
