state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-ccs_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind_ofs_MWh,wind_ons_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,11.6,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33676953,0,17082,0,40782537,1719578,0,9703434,44519210,0,1281433,0,0,0,1221684,0,0,132951328,52747537.8,53046145.8,4343.9,619.6,6586.7,38088.7,3655891.9,8703829,169061.5,36.3,0,396.74,398.99,32.67,4.66,49.54,286.49,27.5,65.47,1271.6,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,15,0,11004,953.7,0,3334,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,32576085,0,22747,0,63477004,1008843,0,9703607,44519210,0,1219804,0,0,0,1610243,0,0,154166959,59916661.7,60215058,4369.4,616.1,6415.9,38445.8,4598871.5,10870680.7,210104,39.2,0,388.65,390.58,28.34,4,41.62,249.38,29.83,70.51,1362.83,0.25
AL,2026,0,0,0,0,0,6.4,0,0,5790.7,0,0,20.9,0,11004,953.7,0,3419,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,33412041,0,31726,0,52892085,1286614,0,10004817,44519210,0,1162398,0,0,0,1647372,0,0,144985678,56547297.1,56847815.7,4386.4,622,6393.8,36855.5,4124967.4,9797908.6,190021.6,37.7,0,390.02,392.09,30.25,4.29,44.1,254.2,28.45,67.58,1310.62,0.26
AL,2028,0,0,0,0,0,6.4,0,0,5790.7,0,0,33.9,0,11004,953.7,0,3435,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,33767183,0,51447,0,40976454,1262869,0,10056719,44519210,0,1005590,0,0,0,1624358,0,0,133293245,51967961.1,52265693.1,4331.3,617.8,6143.3,33249,3547528.3,8483405.9,165308.5,35.5,0,389.88,392.11,32.49,4.63,46.09,249.44,26.61,63.64,1240.19,0.27
AL,2030,0,0,0,0,0,6.4,0,0,5790.7,0,0,58.7,0,10964,953.7,0,3444,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,34344939,0,89027,0,30053303,1881131,0,10086530,44519210,0,972884,0,0,0,1601762,0,0,123578202,48609759.5,48907946.2,4325,620.2,6122.2,31941.8,3097240.6,7457408.9,146003.1,34,0,393.35,395.77,35,5.02,49.54,258.47,25.06,60.35,1181.46,0.27
AL,2032,0,0,0,0,0,6.4,0,0,5790.7,0,0,88.4,0,10964,953.7,0,3444,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,34795928,0,133897,0,24778430,2000446,0,10087203,44519210,0,928762,0,0,0,1579405,0,0,118852697,47035679.2,47335344.4,4339.8,624,6092.6,30914.6,2868650.5,6943223.6,136426.1,33.2,0,395.75,398.27,36.51,5.25,51.26,260.11,24.14,58.42,1147.86,0.28
AL,2034,0,0,0,0,0,6.4,0,0,5790.7,0,0,123.5,0,10964,953.7,0,3444,5544.5,0,1536.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,35989782,0,187152,0,18804524,1404393,0,10087056,44519210,0,295758,0,0,0,1557381,0,0,112874672,45013852.3,45318288.5,4404.2,634.4,5194.7,19924.3,2503872.5,6192645.9,123497.2,31.3,0,398.79,401.49,39.02,5.62,46.02,176.52,22.18,54.86,1094.11,0.28
AL,2036,0,0,0,0,0,6.4,0,0,5790.7,0,0,165.9,0,10964,953.7,0,3444,5544.5,0,772.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,36318953,0,251258,0,18395258,1258823,0,10086519,44519210,0,78102,0,0,0,1535561,0,0,112473100,44947700.7,45253892,4430.4,638,4881.2,16264.7,2459810.8,6121401.9,122588.6,31,0,399.63,402.35,39.39,5.67,43.4,144.61,21.87,54.43,1089.94,0.28
AL,2038,0,0,0,0,0,6.4,0,0,5790.7,0,0,218.5,0,10964,953.7,0,3444,5544.5,0,516.1,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,36012469,0,330744,0,18248289,1057593,0,10086651,44519210,0,0,0,0,0,1514175,0,0,111798546,44375317.4,44678510.6,4387.2,631.7,4712.5,14770.9,2417439,6023502.7,120728.9,30.6,0,396.92,399.63,39.24,5.65,42.15,132.12,21.62,53.88,1079.88,0.27
AL,2040,0,0,0,0,0,6.4,0,0,5790.7,0,0,284.4,0,10964,953.7,0,3444,5544.5,0,258.3,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,36286689,0,430411,0,17666104,806815,0,10086805,44519210,0,0,0,0,0,1493038,0,0,111318487,44239737.1,44544727.4,4411.7,635.6,4744.3,14780.2,2376966.3,5936453,119166.3,30.5,0,397.42,400.16,39.63,5.71,42.62,132.77,21.35,53.33,1070.5,0.27
