stateID,stateName,stateAbbr,PADD,
1,ALABAMA,AL,3,
4,ARIZONA,AZ,5,
5,ARKANSAS,AR,3,
6,CALIFORNIA,CA,5,
8,COLORADO,CO,4,
9,CONNECTICUT,CT,1,
10,DELAWARE,DE,1,
11,DISTRICT OF COLUMBIA,DC,1,
12,FLORIDA,FL,1,
13,GEORGIA,GA,1,
16,IDAHO,ID,4,
17,ILLINOIS,IL,2,
18,INDIANA,IN,2,
19,IOWA,IA,2,
20,KANSAS,KS,2,
21,KENTUCKY,KY,2,
22,LOUISIANA,LA,3,
23,MAINE,ME,1,
24,MARYLAND,MD,1,
25,MASSACHUSETTS,MA,1,
26,MICHIGAN,MI,2,
27,MINNESOTA,MN,2,
28,MISSISSIPPI,MS,3,
29,MISSOURI,MO,2,
30,MONTANA,MT,4,
31,NEBRASKA,NE,2,
32,NEVADA,NV,5,
33,NEW HAMPSHIRE,NH,1,
34,NEW JERSEY,NJ,1,
35,NEW MEXICO,NM,3,
36,NEW YORK,NY,1,
37,NORTH CAROLINA,NC,1,
38,NORTH DAKOTA,ND,2,
39,OHIO,OH,2,
40,OKLAHOMA,OK,2,
41,OREGON,OR,5,
42,PENNSYLVANIA,PA,1,
44,RHODE ISLAND,RI,1,
45,SOUTH CAROLINA,SC,1,
46,SOUTH DAKOTA,SD,2,
47,TENNESSEE,TN,2,
48,TEXAS,TX,3,
49,UTAH,UT,4,
50,VERMONT,VT,1,
51,VIRGINIA,VA,1,
53,WASHINGTON,WA,5,
54,WEST VIRGINIA,WV,1,
55,WISCONSIN,WI,2,
56,WYOMING,WY,4,
