X,Y,OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,Link_Imports
-93.88847,29.9604600000001,132,83,TOTALENERGIES PETROCHEM & REFG USA,TOTALENERGIES SE,PORT ARTHUR,Texas,3,,117,80,,,43,15.3,274.5,60,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.9605,-93.8885,
-101.415073,32.270992,133,84,ALON USA ENERGY INC,DELEK GROUP LTD,BIG SPRING,Texas,3,,28,23.5,,,21.5,5,60.8,,7.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.271,-101.4151,
-82.5964079999999,38.376602,134,87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CATLETTSBURG,Kentucky,2,,134,104,,,58,41.5,280,,35.4,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.3766,-82.5964,
-81.413878,40.772929,135,89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CANTON,Ohio,2,,35,24,,,23.5,8.5,96,,17,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.7729,-81.4139,
-92.994345,44.851007,136,92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,SAINT PAUL,Minnesota,2,,50,33.5,,,23.5,22.5,113.5,,17,EIA-820 Refinery Capacity Report,"As of January 1, 2023",44.851,-92.9943,
-118.236677,33.8185780000001,137,97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,CARSON,California,5,,205,102.5,99.5,,83,71.5,305,109.1,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.8186,-118.2367,
-122.734766,48.884624,138,98,BP PRODUCTS NORTH AMERICA INC,BP PLC,FERNDALE,Washington,5,,139,,65,,65,26,181.2,61.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.8846,-122.7348,
-149.604069,70.3248320000001,139,99,CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,PRUDHOE BAY,Alaska,5,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",70.3248,-149.6041,
-148.37813,70.253586,140,100,HILCORP NORTH SLOPE LLC,HILCORP ENERGY CO,PRUDHOE BAY,Alaska,5,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",70.2536,-148.3781,
-93.511874,32.5910700000001,141,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",PRINCETON,Louisiana,3,,7,,,,,,,,2,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.5911,-93.5119,
-93.411128,32.798531,142,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",COTTON VALLEY,Louisiana,3,,,,,,,0.5,6.5,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.7985,-93.4111,
-97.67768,38.3416280000001,143,115,CHS MCPHERSON REFINERY INC,CHS INC,MCPHERSON,Kansas,2,,51.5,25.3,43,,27.5,24.5,89.4,27.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.3416,-97.6777,
-108.7681,45.658374,144,116,CENEX HARVEST STATES COOP,CHS INC,LAUREL,Montana,4,,32.2,16.5,,,12.5,5.3,62,16,19.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",45.6584,-108.7681,
-118.410994,33.9114220000001,145,119,CHEVRON USA INC,CHEVRON CORP,EL SEGUNDO,California,5,,169.1,73.8,55,,49,66.1,243.5,76.7,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.9114,-118.411,
-122.398665,37.94978,146,120,CHEVRON USA INC,CHEVRON CORP,RICHMOND,California,5,,123.5,90,103.4,,71.3,85.9,382.2,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.9498,-122.3987,
-106.395613,31.7675120000001,147,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,EL PASO,Texas,3,,55.5,35,,,29.5,16.5,127,,4,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.7675,-106.3956,
-111.923936,40.8247440000001,148,124,CHEVRON USA INC,CHEVRON CORP,SALT LAKE CITY,Utah,4,,27.9,15.5,,,9.1,6.6,50.3,10,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8247,-111.9239,
-88.4899139999999,30.344744,149,125,CHEVRON USA INC,CHEVRON CORP,PASCAGOULA,Mississippi,3,,330,88,119,,101.6,22,284.3,104,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.3447,-88.4899,
-95.281964,32.3604320000001,150,147,DELEK REFINING LTD,DELEK GROUP LTD,TYLER,Texas,3,,28,20.3,,,17.5,4.7,77,7.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.3604,-95.282,
