STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geoid,ssp12020,ssp22020,ssp32020,ssp42020,ssp52020,ssp12025,ssp22025,ssp32025,ssp42025,ssp52025,ssp12030,ssp22030,ssp32030,ssp42030,ssp52030,ssp12035,ssp22035,ssp32035,ssp42035,ssp52035,ssp12040,ssp22040,ssp32040,ssp42040,ssp52040,ssp12045,ssp22045,ssp32045,ssp42045,ssp52045,ssp12050,ssp22050,ssp32050,ssp42050,ssp52050,ssp12055,ssp22055,ssp32055,ssp42055,ssp52055,ssp12060,ssp22060,ssp32060,ssp42060,ssp52060,ssp12065,ssp22065,ssp32065,ssp42065,ssp52065,ssp12070,ssp22070,ssp32070,ssp42070,ssp52070,ssp12075,ssp22075,ssp32075,ssp42075,ssp52075,ssp12080,ssp22080,ssp32080,ssp42080,ssp52080,ssp12085,ssp22085,ssp32085,ssp42085,ssp52085,ssp12090,ssp22090,ssp32090,ssp42090,ssp52090,ssp12095,ssp22095,ssp32095,ssp42095,ssp52095,ssp12100,ssp22100,ssp32100,ssp42100,ssp52100,age,state,county
02,013,01419964,02013,Aleutians East,Aleutians East Borough,04,H1,G4020,,,,A,18083148800.00000000000,20792209033.00000000000,+55.2437223,-161.9507485,02013,158.4926,160.5125,144.9213,150.1790,176.6415,147.1951,150.1930,126.5413,135.7733,173.9490,135.5003,139.4340,108.7978,120.3823,169.4630,124.8894,128.1334,98.0263,109.9905,159.4843,132.7717,135.8257,101.2500,114.6793,174.5487,134.8048,138.2390,98.5772,113.3052,185.7815,123.4282,127.3226,85.2881,100.2241,180.5256,120.9065,125.7251,79.6747,96.1206,185.6191,125.4061,131.2865,78.9516,97.6498,200.5471,130.1546,136.5671,79.0377,99.5184,214.9606,135.5445,142.1944,80.0223,101.8236,230.6962,135.4399,142.1920,77.5270,99.6056,239.1646,134.9027,142.0802,74.3321,96.7371,248.8582,138.6034,146.6505,73.2581,96.8663,266.9997,148.0816,157.2728,75.2016,101.0064,296.2003,155.9712,165.8829,76.4781,103.9080,322.2265,165.0438,175.3932,78.4661,107.2891,351.6634,1.00000000000,02,013
02,016,01419965,02016,Aleutians West,Aleutians West Census Area,05,H5,G4020,,,,S,11370762625.00000000000,25190643524.00000000000,+51.9594469,+178.3388130,02016,316.0188,320.0463,288.9589,299.4423,352.2059,337.3247,344.1947,289.9923,311.1492,398.6362,367.2255,377.8863,294.8578,326.2535,459.2692,408.2651,418.8696,320.4492,359.5605,521.3563,459.7937,470.3699,350.6327,397.1390,604.4691,498.4960,511.1957,364.5299,418.9928,687.0035,523.7544,540.2801,361.9111,425.2905,766.0412,558.8221,581.0936,368.2518,444.2638,857.9195,608.0865,636.6005,382.8318,473.4983,972.4403,659.7276,692.2321,400.6268,504.4396,1089.5927,700.3415,734.7010,413.4658,526.1105,1191.9782,734.3337,770.9432,420.3403,540.0466,1296.7130,764.9210,805.6193,421.4764,548.5166,1411.0672,793.9095,840.0033,419.6176,554.8433,1529.3533,820.6851,871.6251,416.7771,559.7902,1641.5761,845.4757,899.2058,414.5675,563.2570,1746.6987,869.3723,923.8889,413.3228,565.1485,1852.3949,1.00000000000,02,016
28,107,00695776,28107,Panola,Panola County,06,H1,G4020,,,,A,1774515519.00000000000,51767046.00000000000,+34.3652052,-089.9630654,28107,2125.3869,2152.4745,1943.3967,2013.9029,2368.7641,2028.8615,2070.1827,1744.1808,1871.4301,2397.6234,1915.5340,1971.1441,1538.0489,1701.8159,2395.6555,1807.0310,1853.9683,1418.3474,1591.4607,2307.5866,1700.5022,1739.6175,1296.7804,1468.7822,2235.5701,1554.3405,1593.9398,1136.6260,1306.4466,2142.1182,1424.7600,1469.7154,984.5007,1156.9125,2083.8485,1317.6170,1370.1307,868.2828,1047.5081,2022.8427,1207.9687,1264.6132,760.4994,940.6101,1931.7604,1090.1971,1143.9117,662.0353,833.5861,1800.5473,1006.4985,1055.8796,594.2153,756.1034,1713.0562,921.1479,967.0720,527.2759,677.4357,1626.5963,832.0561,876.3275,458.4694,596.6596,1534.9130,750.1881,793.7446,396.5100,524.2887,1445.1303,676.3815,718.3658,343.4950,461.3617,1352.9326,610.0938,648.8666,299.1522,406.4463,1260.4149,548.5741,582.9751,260.8076,356.6096,1168.8616,1.00000000000,28,107
28,101,00695773,28101,Newton,Newton County,06,H1,G4020,,,,A,1497282694.00000000000,3879399.00000000000,+32.4019702,-089.1184115,28101,1305.6229,1322.2628,1193.8265,1237.1384,1455.1292,1277.1981,1303.2104,1097.9874,1178.0928,1509.3391,1238.8977,1274.8642,994.7540,1100.6726,1549.4228,1191.6793,1222.6330,935.3549,1049.5176,1521.7798,1159.2469,1185.9121,884.0263,1001.2814,1524.0072,1101.7017,1129.7692,805.6296,925.9968,1518.3128,1078.4320,1112.4597,745.1901,875.6923,1577.3105,1026.3290,1067.2334,676.3299,815.9335,1575.6492,969.7415,1015.2149,610.5190,755.1095,1550.7921,921.5877,966.9949,559.6453,704.6641,1522.0755,890.2161,933.8921,525.5647,668.7496,1515.1441,852.9247,895.4475,488.2241,627.2626,1506.1253,810.0996,853.2027,446.3712,580.9148,1494.4093,770.0960,814.8084,407.0323,538.2019,1483.4801,732.7841,778.2694,372.1386,499.8340,1465.7519,697.6229,741.9583,342.0710,464.7584,1441.2444,660.1723,701.5716,313.8646,429.1558,1406.6470,1.00000000000,28,101
28,027,00695738,28027,Coahoma,Coahoma County,06,H1,G4020,,17260,,A,1430818231.00000000000,79539470.00000000000,+34.2286699,-090.6031650,28027,1545.9321,1565.6346,1413.5588,1464.8426,1722.9561,1398.5640,1427.0482,1202.3239,1290.0412,1652.7643,1251.5266,1287.8598,1004.8942,1111.8925,1565.2171,1107.7002,1136.4725,869.4392,975.5568,1414.5381,996.5953,1019.5192,759.9903,860.7936,1310.1769,871.6074,893.8130,637.3710,732.5992,1201.2079,770.5960,794.9105,532.4772,625.7279,1127.0707,696.2553,724.0045,458.8180,553.5243,1068.9107,629.8910,659.4281,396.5598,490.4779,1007.3097,567.7478,595.7210,344.7717,434.1111,937.6806,528.8003,554.7445,312.1925,397.2463,900.0160,494.0033,518.6320,282.7733,363.3026,872.3289,463.3461,487.9995,255.3073,332.2612,854.7452,439.5263,465.0456,232.3105,307.1745,846.6847,421.8490,448.0340,214.2327,287.7444,843.8038,409.7337,435.7732,200.9080,272.9658,846.4838,401.1280,426.2826,190.7075,260.7598,854.6942,1.00000000000,28,027
22,065,00558088,22065,Madison,Madison Parish,15,H1,G4020,,45260,,A,1617283455.00000000000,68538668.00000000000,+32.3658243,-091.2407290,22065,682.0899,690.7829,623.6846,646.3119,760.1957,673.4082,687.1233,578.9186,621.1545,795.8056,658.1559,677.2629,528.4563,584.7248,823.1203,634.2189,650.6926,497.8015,558.5595,809.9003,622.7910,637.1166,474.9322,537.9260,818.7540,581.2581,596.0666,425.0504,488.5562,801.0623,544.0985,561.2664,375.9688,441.8108,795.7964,518.2862,538.9425,341.5401,412.0385,795.6876,491.4655,514.5114,309.4113,382.6899,785.9422,464.8344,487.7371,282.2763,355.4215,767.7110,450.9553,473.0802,266.2344,338.7674,767.5240,433.6975,455.3196,248.2535,318.9522,765.8387,414.0191,436.0478,228.1277,296.8892,763.7505,396.0839,419.0809,209.3492,276.8137,762.9991,379.7966,403.3713,192.8767,259.0603,759.6884,366.3845,389.6690,179.6523,244.0865,756.9271,354.5476,376.7812,168.5619,230.4795,755.4442,1.00000000000,22,065
51,540,01789068,51540,Charlottesville,Charlottesville city,25,C7,G4020,,16820,,F,26517362.00000000000,52974.00000000000,+38.0376579,-078.4853806,51540,3498.2628,3542.8475,3198.7176,3314.7669,3898.8475,3465.7827,3536.3695,2979.4799,3196.8523,4095.7167,3310.4141,3406.5191,2658.0466,2941.0679,4140.1571,3174.3079,3256.7602,2491.5297,2795.6280,4053.6053,2920.1351,2987.3047,2226.8563,2522.2212,3838.9640,3175.7092,3256.6154,2322.2669,2669.2316,4376.6115,3281.5507,3385.0933,2267.5322,2664.6362,4799.5835,3313.3191,3445.3716,2183.4100,2634.0954,5086.7009,3336.2246,3492.6679,2100.3831,2597.8214,5335.2264,3334.1392,3498.4144,2024.6964,2549.3485,5506.5963,3255.3726,3415.0889,1921.9030,2445.5067,5540.6307,3171.9714,3330.1109,1815.6739,2332.7488,5601.1817,3087.6835,3251.9706,1701.3378,2214.1491,5695.9204,3010.0566,3184.8231,1590.9581,2103.6575,5798.4443,2957.4932,3141.0708,1501.9398,2017.3145,5915.7281,2874.6719,3057.3637,1409.5613,1915.1151,5938.8888,2774.1568,2948.1237,1318.9127,1803.3863,5910.9704,1.00000000000,51,540
51,510,01498415,51510,Alexandria,Alexandria city,25,C7,G4020,548,47900,47894,F,38919733.00000000000,1140371.00000000000,+38.8183429,-077.0820263,51510,13081.5118,13248.2324,11961.3819,12395.3397,14579.4702,13498.0516,13772.9621,11604.0647,12450.6571,15951.4313,13585.9459,13980.3604,10908.6277,12070.1472,16991.2125,13752.9137,14110.1433,10794.7285,12112.2547,17562.5316,14349.1711,14679.2336,10942.4877,12393.8713,18864.1791,14926.3052,15306.5756,10914.9998,12545.7832,20570.7241,15312.6661,15795.8249,10580.9615,12433.9622,22396.2473,15741.4301,16368.8046,10373.2811,12514.4662,24166.6872,16097.6392,16852.4934,10134.5706,12534.7620,25743.0359,16299.8647,17102.9673,9898.2880,12463.1942,26920.5234,16355.9142,17158.3709,9656.1825,12286.9147,27837.6978,16346.0608,17160.9961,9356.6755,12021.3078,28864.4647,16263.2722,17128.5931,8961.1875,11662.2380,30001.2309,16154.4369,17092.3742,8538.3846,11289.9515,31119.2162,16015.5515,17009.6649,8133.3687,10924.2493,32035.1191,15824.7775,16830.4720,7759.4876,10542.5108,32692.9798,15573.5279,16550.1370,7404.0922,10123.8246,33182.9351,1.00000000000,51,510
51,530,01498417,51530,Buena Vista,Buena Vista city,25,C7,G4020,,,,F,17362236.00000000000,223855.00000000000,+37.7316634,-079.3563746,51530,363.3688,367.9999,332.2547,344.3088,404.9780,368.2672,375.7675,316.5936,339.6911,435.2027,374.2702,385.1357,300.5146,332.5125,468.0796,383.5330,393.4952,301.0369,337.7793,489.7733,388.1335,397.0614,295.9854,335.2442,510.2608,399.0424,409.2086,291.8035,335.4012,549.9413,407.7797,420.6463,281.7733,331.1192,596.4170,402.5905,418.6357,265.2989,320.0602,618.0682,399.0629,417.7759,251.2376,310.7387,638.1738,388.8215,407.9789,236.1165,297.3005,642.1696,393.2884,412.5840,232.1891,295.4468,669.3752,395.1723,414.8738,226.2013,290.6198,697.8096,391.7611,412.6056,215.8634,280.9282,722.6907,387.4404,409.9355,204.7807,270.7729,746.3487,383.8030,407.6264,194.9113,261.7931,767.7022,378.9305,403.0124,185.8041,252.4446,782.8463,371.9679,395.2940,176.8440,241.8039,792.5621,1.00000000000,51,530
51,600,01789070,51600,Fairfax,Fairfax city,25,C7,G4020,548,47900,47894,F,16159465.00000000000,95054.00000000000,+38.8531833,-077.2990252,51600,1423.7310,1441.8760,1301.8211,1349.0510,1586.7618,1427.2646,1456.3332,1226.9970,1316.5145,1686.6815,1437.5523,1479.2859,1154.2605,1277.1629,1797.8694,1460.3572,1498.2897,1146.2414,1286.1433,1864.8827,1509.8834,1544.6140,1151.4171,1304.1379,1984.9726,1575.2522,1615.3841,1151.9178,1324.0229,2170.9377,1579.9989,1629.8523,1091.7698,1282.9668,2310.9003,1606.0256,1670.0336,1058.3379,1276.7931,2465.6158,1628.3299,1704.6858,1025.1455,1267.9327,2603.9940,1608.3202,1687.5628,976.6715,1229.7526,2656.2688,1610.0838,1689.0778,950.5588,1209.5293,2740.3559,1608.5472,1688.7413,920.7509,1182.9661,2840.4308,1595.7078,1680.6105,879.2469,1144.2666,2943.6388,1579.3991,1671.0997,834.7868,1103.8041,3042.4869,1561.6507,1658.5847,793.0713,1065.2056,3123.6931,1537.5577,1635.2719,753.9223,1024.3248,3176.4962,1510.2138,1604.9182,717.9976,981.7386,3217.8532,1.00000000000,51,600
