STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geoid,ssp12020,ssp22020,ssp32020,ssp42020,ssp52020,ssp12025,ssp22025,ssp32025,ssp42025,ssp52025,ssp12030,ssp22030,ssp32030,ssp42030,ssp52030,ssp12035,ssp22035,ssp32035,ssp42035,ssp52035,ssp12040,ssp22040,ssp32040,ssp42040,ssp52040,ssp12045,ssp22045,ssp32045,ssp42045,ssp52045,ssp12050,ssp22050,ssp32050,ssp42050,ssp52050,ssp12055,ssp22055,ssp32055,ssp42055,ssp52055,ssp12060,ssp22060,ssp32060,ssp42060,ssp52060,ssp12065,ssp22065,ssp32065,ssp42065,ssp52065,ssp12070,ssp22070,ssp32070,ssp42070,ssp52070,ssp12075,ssp22075,ssp32075,ssp42075,ssp52075,ssp12080,ssp22080,ssp32080,ssp42080,ssp52080,ssp12085,ssp22085,ssp32085,ssp42085,ssp52085,ssp12090,ssp22090,ssp32090,ssp42090,ssp52090,ssp12095,ssp22095,ssp32095,ssp42095,ssp52095,ssp12100,ssp22100,ssp32100,ssp42100,ssp52100,age,state,county
02,013,01419964,02013,Aleutians East,Aleutians East Borough,04,H1,G4020,,,,A,18083148800.00000000000,20792209033.00000000000,+55.2437223,-161.9507485,02013,39.7657,38.0914,36.4274,38.0914,39.7657,48.1751,44.5137,41.1919,44.5137,48.1751,70.8082,63.1924,56.1891,63.1923,70.8160,97.4894,83.8508,71.5453,83.8502,97.5296,136.6403,113.3322,92.5269,113.3298,136.8042,192.4534,153.6506,119.8308,153.6478,192.9221,258.2048,197.6351,146.9554,197.6296,259.3977,297.1907,217.2969,152.7787,217.2948,299.8357,331.6044,233.2144,155.5834,233.2185,336.6424,385.8264,263.5255,167.3115,263.5563,395.1879,471.0470,316.6296,192.6492,315.3958,487.6234,542.2571,358.1009,206.4717,354.4726,569.3416,616.2759,401.6383,218.3861,394.6543,655.9046,664.8288,429.1759,218.5642,419.1801,717.2591,734.2724,473.9008,231.3974,460.7221,798.8075,793.8193,522.3294,247.4387,506.1644,868.3811,801.1335,546.1695,243.7931,521.7764,896.8916,18.00000000000,02,013
02,016,01419965,02016,Aleutians West,Aleutians West Census Area,05,H5,G4020,,,,S,11370762625.00000000000,25190643524.00000000000,+51.9594469,+178.3388130,02016,11.6128,11.1089,10.6192,11.1089,11.6128,20.1478,18.5436,17.1343,18.5436,20.1478,32.1861,28.5871,25.3111,28.5870,32.1899,96.7107,82.8479,70.3212,82.8473,96.7515,175.2875,144.6736,117.3164,144.6707,175.5008,276.4363,219.4941,169.9890,219.4913,277.1149,382.4363,291.0559,214.9648,291.0495,384.2146,489.7535,356.2064,249.1287,356.2082,494.1488,603.2996,421.9829,280.2583,422.0004,612.5319,741.9714,503.9250,318.6477,504.0040,760.0619,930.9002,622.3258,377.1191,619.7670,963.7205,1145.5983,752.6993,432.2848,744.7435,1202.8868,1385.6085,898.1360,486.6025,882.0303,1474.7952,1575.3957,1011.3785,513.6279,987.3513,1699.7124,1776.0817,1147.1264,560.2818,1115.2841,1932.1786,1947.1833,1293.3633,614.7841,1254.1013,2130.1199,2039.5879,1415.7060,636.2604,1354.2470,2283.4516,18.00000000000,02,016
28,107,00695776,28107,Panola,Panola County,06,H1,G4020,,,,A,1774515519.00000000000,51767046.00000000000,+34.3652052,-089.9630654,28107,622.3711,596.1464,570.0979,596.1464,622.3711,620.7070,573.4748,530.6604,573.4748,620.7070,633.0536,565.3095,502.9288,565.3080,633.1223,669.8274,576.8670,493.0345,576.8622,670.1013,697.3603,578.9728,473.3227,578.9609,698.1941,722.2272,577.2488,450.8222,577.2377,723.9835,721.7919,553.3378,412.1988,553.3217,725.1208,661.5631,485.0796,342.0049,485.0712,667.4246,619.7134,437.5146,292.7888,437.5149,629.0805,594.1202,408.0885,260.1339,408.1200,608.4651,617.9650,418.4080,255.9288,416.8962,639.6570,658.2605,438.7636,254.7764,434.6657,691.0668,698.8273,462.2878,253.8124,454.9329,743.6419,681.4303,450.3296,232.0014,440.7184,735.0282,670.8297,450.5183,223.3323,439.2027,729.7386,672.1289,467.3231,225.7013,454.4415,735.3469,656.9656,478.8169,219.0427,459.6017,735.5841,18.00000000000,28,107
28,101,00695773,28101,Newton,Newton County,06,H1,G4020,,,,A,1497282694.00000000000,3879399.00000000000,+32.4019702,-089.1184115,28101,444.9212,426.1927,407.5758,426.1927,444.9212,450.3414,416.1178,385.0671,416.1178,450.3414,506.4832,452.1251,402.1095,452.1238,506.5385,662.8336,570.4592,487.1333,570.4545,663.1057,780.5997,647.4486,528.5960,647.4354,781.5357,920.4277,735.0918,573.5313,735.0782,922.6685,995.8268,762.6570,567.4648,762.6356,1000.4248,1043.6086,764.5879,538.6410,764.5764,1052.8670,1119.9437,790.3361,528.7167,790.3382,1136.8815,1165.0288,799.7322,509.5594,799.7975,1193.1736,1263.5818,855.8563,523.6455,852.7764,1307.9307,1374.2763,917.0128,532.9149,908.5322,1442.7498,1473.8972,976.5791,536.7286,961.1962,1568.3877,1358.7831,900.6369,464.6578,881.6346,1465.6219,1401.2606,946.1050,469.9307,922.6763,1524.2980,1464.5089,1027.0549,497.4683,999.2700,1602.2855,1461.1811,1075.7765,493.8706,1033.3150,1636.0719,18.00000000000,28,101
28,027,00695738,28027,Coahoma,Coahoma County,06,H1,G4020,,17260,,A,1430818231.00000000000,79539470.00000000000,+34.2286699,-090.6031650,28027,444.0896,425.4615,406.8957,425.4615,444.0896,416.1568,384.7865,356.1634,384.7865,416.1568,400.0883,357.6276,318.4417,357.6267,400.1309,391.6706,337.5940,288.8433,337.5911,391.8299,399.1540,331.7150,271.5459,331.7082,399.6298,407.6054,326.1793,255.1317,326.1727,408.5949,390.1632,299.5037,223.4565,299.4947,391.9599,343.1013,251.9844,177.9473,251.9789,346.1333,314.7287,222.6507,149.2457,222.6489,319.4728,307.4973,211.6591,135.1218,211.6723,314.9081,320.7188,217.7004,133.4061,216.9353,331.9669,333.2518,222.9227,129.7926,220.9080,349.8463,343.6593,228.9942,126.3095,225.5139,365.6680,334.9849,224.3844,116.3484,219.8424,361.2923,333.9651,229.3277,114.6079,223.9023,363.2779,343.9113,246.5675,120.2991,240.2157,376.2840,347.4526,262.8997,121.8208,252.9835,389.0609,18.00000000000,28,027
22,065,00558088,22065,Madison,Madison Parish,15,H1,G4020,,45260,,A,1617283455.00000000000,68538668.00000000000,+32.3658243,-091.2407290,22065,218.3634,209.1630,200.0238,209.1630,218.3634,214.4498,198.1316,183.3396,198.1316,214.4498,216.8195,193.5859,172.1994,193.5853,216.8430,227.3908,195.8041,167.3173,195.8025,227.4838,236.2107,196.0208,160.1511,196.0167,236.4934,233.3239,186.4073,145.5026,186.4038,233.8916,216.8360,166.0709,123.5728,166.0663,217.8372,187.6321,137.4129,96.7680,137.4110,189.2978,174.8488,123.2474,82.3727,123.2484,177.4973,167.2044,114.6110,72.9509,114.6215,171.2488,169.5281,114.6702,70.0905,114.2515,175.4809,176.8916,117.9672,68.5263,116.8705,185.7065,197.2136,130.9194,72.0410,128.8817,209.8524,207.6873,138.3651,71.5607,135.5034,224.0079,219.3263,149.5946,74.5791,145.9897,238.5798,230.5642,164.3179,80.0140,160.0279,252.2640,235.3615,176.4065,81.4822,169.6465,263.5416,18.00000000000,22,065
51,540,01789068,51540,Charlottesville,Charlottesville city,25,C7,G4020,,16820,,F,26517362.00000000000,52974.00000000000,+38.0376579,-078.4853806,51540,409.1981,391.9298,374.7969,391.9298,409.1981,188.8183,174.0502,160.9156,174.0502,188.8183,163.7803,145.5764,128.9803,145.5759,163.7996,372.6339,319.0770,270.6737,319.0747,372.7916,975.5685,806.0479,654.5973,806.0318,976.7516,1736.4706,1381.5121,1072.6373,1381.4913,1740.7213,2535.0323,1933.7006,1432.0277,1933.6536,2546.7899,3341.2400,2436.8660,1709.0424,2436.8594,3371.0961,4209.5910,2955.9309,1969.4576,2956.0030,4273.6797,5544.7361,3785.8762,2403.0670,3786.3276,5679.3101,7759.6352,5223.8741,3181.9741,5203.8316,8032.5569,10480.5366,6953.7640,4023.7705,6886.0963,11003.4362,11073.7410,7270.0895,3972.0215,7148.9756,11784.8708,11611.6540,7583.5803,3884.4533,7414.3304,12526.1919,12385.6844,8173.2517,4025.1151,7958.3575,13473.7470,13315.9191,9064.8171,4346.4256,8803.3940,14567.6991,13875.5025,9883.5360,4484.5324,9471.8547,15535.2857,18.00000000000,51,540
51,510,01498415,51510,Alexandria,Alexandria city,25,C7,G4020,548,47900,47894,F,38919733.00000000000,1140371.00000000000,+38.8183429,-077.0820263,51510,2184.4565,2092.8213,2001.4961,2092.8214,2184.4565,2337.7575,2160.6423,1999.6052,2160.6423,2337.7575,3320.7956,2965.0527,2637.5675,2965.0447,3321.1565,5210.7924,4485.7988,3831.8897,4485.7619,5212.9277,7150.2297,5933.6373,4847.8214,5933.5160,7158.7901,9254.5501,7391.2404,5766.9425,7391.1030,9277.0794,11804.1566,9035.9675,6719.5947,9035.7178,11858.6886,14507.5302,10617.5961,7472.1591,10617.4665,14636.4509,17776.7608,12526.9681,8370.5189,12527.0793,18046.1295,22301.2553,15278.7469,9721.5579,15280.2031,22840.9296,29561.7494,19965.6007,12190.2319,19891.5192,30600.3351,36201.7856,24076.9694,13957.3345,23847.5667,38006.9592,41637.7588,27460.1730,15047.0159,27015.0278,44309.4185,45383.2126,29891.0588,15374.1638,29244.8286,48954.1992,49402.7542,33050.7753,16360.6793,32212.1907,53741.4224,53689.3992,37229.7249,17964.4164,36197.5457,58738.8809,56471.9834,41127.6523,18809.5569,39475.1454,63229.8484,18.00000000000,51,510
51,530,01498417,51530,Buena Vista,Buena Vista city,25,C7,G4020,,,,F,17362236.00000000000,223855.00000000000,+37.7316634,-079.3563746,51530,99.5976,95.3982,91.2290,95.3982,99.5976,105.6627,97.4571,90.1232,97.4571,105.6627,122.5756,109.0641,96.7194,109.0638,122.5897,194.1357,166.5684,141.6722,166.5671,194.2169,230.2031,190.3130,154.6796,190.3091,230.4818,254.6729,202.4796,157.0762,202.4767,255.2969,255.9262,194.7263,143.7765,194.7220,257.1165,257.2874,186.6355,130.1853,186.6378,259.6060,224.3737,155.9865,103.0765,155.9972,227.8346,231.5543,156.3720,98.4721,156.4028,237.2274,235.4932,156.5672,94.4876,155.8893,243.8114,263.6327,172.2078,98.4521,170.3007,276.8343,247.2881,159.9879,86.5717,157.0887,263.2105,262.9617,169.2784,86.0863,165.2959,283.7061,297.7602,194.5365,95.4394,189.2897,323.9235,329.2727,223.1102,106.8039,216.6123,360.2228,354.3168,254.5072,115.8292,244.0489,396.7065,18.00000000000,51,530
51,600,01789070,51600,Fairfax,Fairfax city,25,C7,G4020,548,47900,47894,F,16159465.00000000000,95054.00000000000,+38.8531833,-077.2990252,51600,844.7454,809.1781,773.8293,809.1781,844.7454,1084.3768,1001.8793,927.0872,1001.8793,1084.3768,1386.3130,1237.8265,1101.1288,1237.8231,1386.4636,1835.8203,1580.4494,1350.1202,1580.4364,1836.5725,2183.4607,1811.8101,1480.1037,1811.7731,2186.0754,2649.0995,2115.6490,1650.6341,2115.6098,2655.5488,3145.8829,2409.1345,1792.4172,2409.0670,3160.4095,3439.2782,2518.3343,1773.1455,2518.3001,3469.8173,3715.3548,2618.6257,1750.0266,2618.6469,3771.6391,4071.7581,2790.0518,1775.4621,2790.3145,4170.2775,4664.4642,3149.7063,1922.8188,3137.9956,4828.3507,5296.9229,3518.9995,2038.2530,3485.1422,5561.1186,5686.8722,3741.1776,2046.7131,3679.6110,6051.9333,5970.9527,3916.5000,2010.3612,3830.4931,6440.9982,6209.2733,4128.2627,2038.8109,4021.8004,6754.6602,6435.2191,4430.6657,2132.7403,4305.9302,7040.3416,6618.9292,4783.7663,2181.9347,4589.1456,7410.8906,18.00000000000,51,600
