state,t,battery_2_MW,battery_4_MW,battery_6_MW,battery_8_MW,battery_10_MW,bio_MW,bio-ccs_MW,coal_ccs_MW,coal_MW,csp_MW,dac_MW,distpv_MW,gas_cc_ccs_MW,gas_cc_MW,gas_ct_MW,geo_MW,hydro_MW,nuclear_MW,nuclear_smr_MW,o-g-s_MW,pumped-hydro_MW,pvb_MW,re_ct_MW,upv_MW,wind_offshore_MW,wind_onshore_MW,battery_2_MWh,battery_4_MWh,battery_6_MWh,battery_8_MWh,battery_10_MWh,biomass_MWh,biomass-css_MWh,canada_MWh,coal_ccs_MWh,coal_MWh,csp_MWh,distpv_MWh,gas_cc_ccs_MWh,gas_cc_MWh,gas_ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,nuclear_smr_MWh,o-g-s_MWh,phs_MWh,battery_pv_MWh,biomass_re_ct_MWh,upv_MWh,wind-ofs_MWh,wind-ons_MWh,generation,co2_c_mt,co2e_c_mt,ch4_c_mt,n2o_c_mt,so2_c_mt,nox_c_mt,co2_p_mt,co2e_p_mt,ch4_p_mt,n2o_p_mt,dac_co2_capture_mt,co2_c_kg_per_mwh,co2e_c_kg_per_mwh,ch4_c_g_per_mwh,n2o_c_g_per_mwh,so2_c_g_per_mwh,nox_c_g_per_mwh,co2_p_kg_per_mwh,co2e_p_kg_per_mwh,ch4_p_g_per_mwh,n2o_p_g_per_mwh
AL,2022,0,0,0,0,0,6.4,0,0,5790.7,0,0,31.2,0,9689,2618.2,0,3334,5544.5,0,1738.7,0,0,0,673.9,0,0,0,0,0,0,0,29415,0,0,0,33847487,0,32943,0,41397631,1778417,0,9703494,44519210,0,1337358,0,0,0,1188992,0,0,133834946,53239404.6,53539861.1,4371,623.4,6703,39182.9,3700865.3,8806420,170992,36.6,0,397.8,400.04,32.66,4.66,50.08,292.77,27.65,65.8,1277.63,0.27
AL,2024,0,0,0,0,0,6.4,0,0,5790.7,0,0,62.4,0,11004,927.1,0,3334,5544.5,0,562.4,0,0,0,753.6,0,0,0,0,0,0,0,29415,0,0,0,32822383,0,94580,0,60886968,1872474,0,9703197,44519210,0,600524,0,0,0,1608405,0,0,152137156,59155883.8,59453710.9,4364.4,614.5,5424.6,27695.1,4467802,10638060,206709.1,37.8,0,388.83,390.79,28.69,4.04,35.66,182.04,29.37,69.92,1358.7,0.25
AL,2026,0,0,0,0,0,6.4,0,0,5790.7,0,0,153.2,0,11004,927.1,0,3419,5544.5,0,562.4,0,0,0,1062.9,0,0,0,0,0,0,0,29415,0,0,0,31487474,0,205898,0,49708510,2365105,0,10005531,44519210,0,700854,0,0,0,2013843,0,0,141035840,53562971.2,53845486.7,4128.9,584.2,5377,27976.9,3930144.2,9346615.8,181435.7,35.5,0,379.78,381.79,29.28,4.14,38.12,198.37,27.87,66.27,1286.45,0.25
AL,2028,0,41.3,221.5,0,0,6.4,0,0,5790.7,0,0,373.6,2610.7,8393.3,927.1,0,3449,5544.5,0,562.4,0,0,0,1959.6,0,0,0,88318,597295,0,0,29415,0,0,0,22012617,0,381337,20036907,11834149,1699782,0,10103280,44519210,0,1103739,0,0,0,4038266,0,0,116444317,29501036.7,29698886.1,2881.9,410.1,4676.1,28245.7,2774629.8,6386586.4,120948.6,28.2,0,253.35,255.05,24.75,3.52,40.16,242.57,23.83,54.85,1038.68,0.24
AL,2030,0,97.8,559.7,0,0,6.4,0,0,5790.7,0,0,770.5,2610.7,8393.3,927.1,0,3462,5544.5,0,562.4,0,0,0,3120,0,0,0,184334,1288870,0,0,29415,0,0,0,17977470,0,931005,19565571,8065315,2316392,0,10117451,44492456,0,1140185,0,0,0,6761896,0,0,112870359,24309340.4,24472790.1,2382.5,338.6,4203.9,27149.1,2504425.3,5654932.9,105486.9,25.6,0,215.37,216.82,21.11,3,37.25,240.53,22.19,50.1,934.58,0.23
AL,2032,0,220.7,559.7,0,0,6.4,0,0,5790.7,0,0,1137.3,2610.7,8393.3,927.1,0,3462,5544.5,0,562.4,0,0,0,3359.3,0,0,0,366940,1110540,0,0,29415,0,0,0,14105370,0,1683166,20036907,8887284,2437635,0,10115752,44395702,0,1140027,0,0,0,7547834,0,0,111856574,20692223.1,20824169.9,1931.2,272.5,3703.5,25819.1,2445684.2,5421625.1,99645.1,23.9,0,184.99,186.17,17.26,2.44,33.11,230.82,21.86,48.47,890.83,0.21
AL,2034,0,221.5,574.1,8.9,0,6.4,0,0,5790.7,0,0,1376.7,2610.7,8393.3,927.1,0,3471,5544.5,0,562.4,0,0,0,3596.8,0,0,0,339458,1136413,30599,0,29415,0,0,0,12674765,0,2007167,20036907,2397952,963863,0,10127684,44519210,0,285499,0,0,0,8108080,0,0,102657011,15309861.9,15423769.8,1667.5,235.2,2104.2,9990.4,1913391.4,4238175.8,77829.8,20,0,149.14,150.25,16.24,2.29,20.5,97.32,18.64,41.28,758.15,0.19
AL,2036,0,227.1,574.1,372.1,0,6.4,0,0,5790.7,0,0,1470.8,2610.7,8393.3,927.1,0,3471,5544.5,0,256,0,0,0,5197.9,0,0,0,340317,1141587,1141128,0,29415,0,0,0,12641048,0,1849188,19990758,2154263,762625,0,10129897,44153657,0,46282,0,0,0,11385303,0,0,105765467,14869965.4,14982633.2,1650.7,232.5,1711.8,5853.4,1851271.3,4122231.1,76029.9,19.3,0,140.59,141.66,15.61,2.2,16.18,55.34,17.5,38.98,718.85,0.18
AL,2038,0,302.5,660.2,372.1,0,6.4,0,1118.5,4672.2,0,0,1592,2610.7,8393.3,927.1,0,3471,5544.5,0,0,0,0,0,5521.4,0,0,0,467894,1445225,1017802,0,29415,0,0,7932542,11992195,0,2409794,20036907,1320709,491414,0,10127406,43563488,0,0,0,0,0,12382695,0,0,113217485,14479344.8,14647359.6,2445.9,348.5,1548.4,7495.2,2004501.7,4659852,88900.9,22.4,0,127.89,129.37,21.6,3.08,13.68,66.2,17.7,41.16,785.22,0.2
AL,2040,0,306.8,660.2,372.1,0,6.4,0,1118.5,4672.2,0,0,1755.5,2610.7,8393.3,927.1,0,3471,5544.5,0,0,0,0,0,5530.7,0,0,0,463361,1212026,842490,0,29415,0,0,7932542,11992195,0,2656969,1505565,12594294,824672,0,10150097,44519210,0,0,0,0,0,12432625,0,0,107155460,17997859.2,18162658.1,2389.7,342.8,1584.1,8215.1,1663550.1,3858280.3,73453.9,21.3,0,167.96,169.5,22.3,3.2,14.78,76.67,15.52,36.01,685.49,0.2
AL,2042,1.6,306.8,660.2,372.1,0,6.4,0,1118.5,4672.2,0,0,1931.7,2610.7,8393.3,2538.7,0,3471,5544.5,0,0,0,0,0,5530.7,0,0,967,415493,1272110,868996,0,29415,0,0,7932542,11786580,0,2925614,1505565,12890320,3351451,0,10148776,44519210,0,0,0,0,0,12265101,0,0,109912141,19442413.1,19607650.2,2401.4,343.1,1577.5,8507.9,1848330,4283052.3,81501.6,21.9,0,176.89,178.39,21.85,3.12,14.35,77.41,16.82,38.97,741.52,0.2
