SITE  NAME,EIS Facility ID,STATE,State-County,Pollutant,Pollutant Type,Emissions,Facility Type,Street Address,NAICS,EPA Region,FIPS,Latitude,Longitude
Hyundai Motor Manufacturing Alabama LLC.,10553111,Alabama,AL - Montgomery,Volatile Organic Compounds,CAP,341.63,Automobile/Truck or Parts Plant,700 Hyundai Blvd,Automobile and Light Duty Motor Vehicle Manufacturing,4,1101,32.287594,-86.331777
Hyundai Motor Manufacturing Alabama LLC.,10553111,Alabama,AL - Montgomery,Nitrogen Oxides,CAP,31.38,Automobile/Truck or Parts Plant,700 Hyundai Blvd,Automobile and Light Duty Motor Vehicle Manufacturing,4,1101,32.287594,-86.331777
Hyundai Motor Manufacturing Alabama LLC.,10553111,Alabama,AL - Montgomery,PM2.5 Primary (Filt + Cond),CAP,17.22,Automobile/Truck or Parts Plant,700 Hyundai Blvd,Automobile and Light Duty Motor Vehicle Manufacturing,4,1101,32.287594,-86.331777
Hyundai Motor Manufacturing Alabama LLC.,10553111,Alabama,AL - Montgomery,Sulfur Dioxide,CAP,0.14,Automobile/Truck or Parts Plant,700 Hyundai Blvd,Automobile and Light Duty Motor Vehicle Manufacturing,4,1101,32.287594,-86.331777
"Honda Development & Manufacturing of America, LLC",999811,Alabama,AL - Talladega,Volatile Organic Compounds,CAP,532.8,Automobile/Truck or Parts Plant,1800 Honda Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1121,33.610505,-86.143028
"Honda Development & Manufacturing of America, LLC",999811,Alabama,AL - Talladega,Nitrogen Oxides,CAP,68.4,Automobile/Truck or Parts Plant,1800 Honda Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1121,33.610505,-86.143028
"Honda Development & Manufacturing of America, LLC",999811,Alabama,AL - Talladega,PM2.5 Primary (Filt + Cond),CAP,15.24,Automobile/Truck or Parts Plant,1800 Honda Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1121,33.610505,-86.143028
"Honda Development & Manufacturing of America, LLC",999811,Alabama,AL - Talladega,Sulfur Dioxide,CAP,12.3,Automobile/Truck or Parts Plant,1800 Honda Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1121,33.610505,-86.143028
"Mercedes-Benz US International, INC.",950011,Alabama,AL - Tuscaloosa,Volatile Organic Compounds,CAP,363.15,Automobile/Truck or Parts Plant,1 Mercedes Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1125,33.182954,-87.261739
"Mercedes-Benz US International, INC.",950011,Alabama,AL - Tuscaloosa,Nitrogen Oxides,CAP,27.9,Automobile/Truck or Parts Plant,1 Mercedes Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1125,33.182954,-87.261739
"Mercedes-Benz US International, INC.",950011,Alabama,AL - Tuscaloosa,PM2.5 Primary (Filt + Cond),CAP,21.91,Automobile/Truck or Parts Plant,1 Mercedes Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1125,33.182954,-87.261739
"Mercedes-Benz US International, INC.",950011,Alabama,AL - Tuscaloosa,Sulfur Dioxide,CAP,0.27,Automobile/Truck or Parts Plant,1 Mercedes Dr,Automobile and Light Duty Motor Vehicle Manufacturing,4,1125,33.182954,-87.261739
Kia Motors Manufacturing Georgia Inc,15040111,Georgia,GA - Troup,Volatile Organic Compounds,CAP,204.58,Automobile/Truck or Parts Plant,7777 KIA Parkway,Automobile and Light Duty Motor Vehicle Manufacturing,4,13285,32.9172,-85.1253
Kia Motors Manufacturing Georgia Inc,15040111,Georgia,GA - Troup,PM2.5 Primary (Filt + Cond),CAP,16.08,Automobile/Truck or Parts Plant,7777 KIA Parkway,Automobile and Light Duty Motor Vehicle Manufacturing,4,13285,32.9172,-85.1253
Kia Motors Manufacturing Georgia Inc,15040111,Georgia,GA - Troup,Nitrogen Oxides,CAP,12.35,Automobile/Truck or Parts Plant,7777 KIA Parkway,Automobile and Light Duty Motor Vehicle Manufacturing,4,13285,32.9172,-85.1253
Kia Motors Manufacturing Georgia Inc,15040111,Georgia,GA - Troup,Sulfur Dioxide,CAP,0.11,Automobile/Truck or Parts Plant,7777 KIA Parkway,Automobile and Light Duty Motor Vehicle Manufacturing,4,13285,32.9172,-85.1253
FCA US LLC,930911,Illinois,IL - Boone,Volatile Organic Compounds,CAP,229.82,Automobile/Truck or Parts Plant,3000 W Chrysler Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,17007,42.236391,-88.869135
FCA US LLC,930911,Illinois,IL - Boone,Nitrogen Oxides,CAP,48.91,Automobile/Truck or Parts Plant,3000 W Chrysler Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,17007,42.236391,-88.869135
FCA US LLC,930911,Illinois,IL - Boone,PM2.5 Primary (Filt + Cond),CAP,3.8,Automobile/Truck or Parts Plant,3000 W Chrysler Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,17007,42.236391,-88.869135
FCA US LLC,930911,Illinois,IL - Boone,Sulfur Dioxide,CAP,0.29,Automobile/Truck or Parts Plant,3000 W Chrysler Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,17007,42.236391,-88.869135
Ford Motor Co,7317011,Illinois,IL - Cook,Volatile Organic Compounds,CAP,406.54,Automobile/Truck or Parts Plant,12600 S Torrence Ave,Automobile and Light Duty Motor Vehicle Manufacturing,5,17031,41.663722,-87.561409
Ford Motor Co,7317011,Illinois,IL - Cook,Nitrogen Oxides,CAP,48.23,Automobile/Truck or Parts Plant,12600 S Torrence Ave,Automobile and Light Duty Motor Vehicle Manufacturing,5,17031,41.663722,-87.561409
Ford Motor Co,7317011,Illinois,IL - Cook,PM2.5 Primary (Filt + Cond),CAP,27.27,Automobile/Truck or Parts Plant,12600 S Torrence Ave,Automobile and Light Duty Motor Vehicle Manufacturing,5,17031,41.663722,-87.561409
Ford Motor Co,7317011,Illinois,IL - Cook,Sulfur Dioxide,CAP,0.31,Automobile/Truck or Parts Plant,12600 S Torrence Ave,Automobile and Light Duty Motor Vehicle Manufacturing,5,17031,41.663722,-87.561409
General Motors LLC Fort Wayne Assembly,8186411,Indiana,IN - Allen,Volatile Organic Compounds,CAP,1457.85,Automobile/Truck or Parts Plant,12200 Lafayette Center Rd,Automobile and Light Duty Motor Vehicle Manufacturing,5,18003,40.964311,-85.302752
General Motors LLC Fort Wayne Assembly,8186411,Indiana,IN - Allen,Nitrogen Oxides,CAP,86.67,Automobile/Truck or Parts Plant,12200 Lafayette Center Rd,Automobile and Light Duty Motor Vehicle Manufacturing,5,18003,40.964311,-85.302752
General Motors LLC Fort Wayne Assembly,8186411,Indiana,IN - Allen,PM2.5 Primary (Filt + Cond),CAP,50.55,Automobile/Truck or Parts Plant,12200 Lafayette Center Rd,Automobile and Light Duty Motor Vehicle Manufacturing,5,18003,40.964311,-85.302752
General Motors LLC Fort Wayne Assembly,8186411,Indiana,IN - Allen,Sulfur Dioxide,CAP,0.34,Automobile/Truck or Parts Plant,12200 Lafayette Center Rd,Automobile and Light Duty Motor Vehicle Manufacturing,5,18003,40.964311,-85.302752
TOYOTA MOTOR MANUFACTURING INDIANA INCO,7363211,Indiana,IN - Gibson,Volatile Organic Compounds,CAP,841.04,Automobile/Truck or Parts Plant,4000 Tulip Tree Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,18051,38.2931,-87.5598
TOYOTA MOTOR MANUFACTURING INDIANA INCO,7363211,Indiana,IN - Gibson,PM2.5 Primary (Filt + Cond),CAP,79.64,Automobile/Truck or Parts Plant,4000 Tulip Tree Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,18051,38.2931,-87.5598
TOYOTA MOTOR MANUFACTURING INDIANA INCO,7363211,Indiana,IN - Gibson,Nitrogen Oxides,CAP,48.29,Automobile/Truck or Parts Plant,4000 Tulip Tree Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,18051,38.2931,-87.5598
TOYOTA MOTOR MANUFACTURING INDIANA INCO,7363211,Indiana,IN - Gibson,Sulfur Dioxide,CAP,0.29,Automobile/Truck or Parts Plant,4000 Tulip Tree Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,18051,38.2931,-87.5598
SUBARU OF INDIANA AUTOMOTIVE  INC  SIA,8186811,Indiana,IN - Tippecanoe,Volatile Organic Compounds,CAP,749.26,Automobile/Truck or Parts Plant,5500 SR 38 E,Automobile and Light Duty Motor Vehicle Manufacturing,5,18157,40.3791,-86.7994
SUBARU OF INDIANA AUTOMOTIVE  INC  SIA,8186811,Indiana,IN - Tippecanoe,Nitrogen Oxides,CAP,44.75,Automobile/Truck or Parts Plant,5500 SR 38 E,Automobile and Light Duty Motor Vehicle Manufacturing,5,18157,40.3791,-86.7994
