"Year","DestinationID","FIPS","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","rowid"
"2050",1,1001,568.03938,568.03938,568.03938,568.03938,568.03938,619.84268,619.84268,619.84268,619.84268,619.84268,673.14886,673.14886,673.14886,673.14886,673.14886,576.95284,576.95284,576.95284,576.95284,576.95284,477.64566,477.64566,477.64566,477.64566,477.64566,575.22206,575.22206,575.22206,575.22206,575.22206,643.50798,643.50798,643.50798,643.50798,643.50798,615.64556,615.64556,615.64556,615.64556,615.64556,707.19656,707.19656,707.19656,707.19656,707.19656,693.66118,693.66118,693.66118,693.66118,693.66118,692.8673,692.8673,692.8673,692.8673,692.8673,745.50094,745.50094,745.50094,745.50094,745.50094,634.21782,634.21782,634.21782,634.21782,634.21782,580.54032,580.54032,580.54032,580.54032,580.54032,502.55334,502.55334,502.55334,502.55334,502.55334,535.94742,535.94742,535.94742,535.94742,535.94742,401.43508,401.43508,401.43508,401.43508,401.43508,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,122.81152,31
"2050",2,1003,3376.24404,3376.24404,3376.24404,3376.24404,3376.24404,3543.50676,3543.50676,3543.50676,3543.50676,3543.50676,3717.93444,3717.93444,3717.93444,3717.93444,3717.93444,3348.89244,3348.89244,3348.89244,3348.89244,3348.89244,3023.09452,3023.09452,3023.09452,3023.09452,3023.09452,3475.33304,3475.33304,3475.33304,3475.33304,3475.33304,3682.03906,3682.03906,3682.03906,3682.03906,3682.03906,3815.67472,3815.67472,3815.67472,3815.67472,3815.67472,4233.79486,4233.79486,4233.79486,4233.79486,4233.79486,4176.51302,4176.51302,4176.51302,4176.51302,4176.51302,4258.52244,4258.52244,4258.52244,4258.52244,4258.52244,4549.4361,4549.4361,4549.4361,4549.4361,4549.4361,4506.72044,4506.72044,4506.72044,4506.72044,4506.72044,4590.23052,4590.23052,4590.23052,4590.23052,4590.23052,4168.37352,4168.37352,4168.37352,4168.37352,4168.37352,3801.12908,3801.12908,3801.12908,3801.12908,3801.12908,2986.34506,2986.34506,2986.34506,2986.34506,2986.34506,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,1732.89408,62
"2050",3,1005,143.03474,143.03474,143.03474,143.03474,143.03474,159.90058,159.90058,159.90058,159.90058,159.90058,175.97758,175.97758,175.97758,175.97758,175.97758,160.4681,160.4681,160.4681,160.4681,160.4681,233.0478,233.0478,233.0478,233.0478,233.0478,320.67014,320.67014,320.67014,320.67014,320.67014,338.04084,338.04084,338.04084,338.04084,338.04084,310.54212,310.54212,310.54212,310.54212,310.54212,336.06638,336.06638,336.06638,336.06638,336.06638,308.97278,308.97278,308.97278,308.97278,308.97278,257.3936,257.3936,257.3936,257.3936,257.3936,227.97338,227.97338,227.97338,227.97338,227.97338,179.7134,179.7134,179.7134,179.7134,179.7134,170.23582,170.23582,170.23582,170.23582,170.23582,140.14526,140.14526,140.14526,140.14526,140.14526,147.95662,147.95662,147.95662,147.95662,147.95662,104.40438,104.40438,104.40438,104.40438,104.40438,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,27.2748933333333,93
"2050",4,1007,163.34642,163.34642,163.34642,163.34642,163.34642,162.63024,162.63024,162.63024,162.63024,162.63024,164.4799,164.4799,164.4799,164.4799,164.4799,161.521,161.521,161.521,161.521,161.521,180.4614,180.4614,180.4614,180.4614,180.4614,259.3099,259.3099,259.3099,259.3099,259.3099,292.00464,292.00464,292.00464,292.00464,292.00464,282.39648,282.39648,282.39648,282.39648,282.39648,274.14134,274.14134,274.14134,274.14134,274.14134,297.39284,297.39284,297.39284,297.39284,297.39284,287.20488,287.20488,287.20488,287.20488,287.20488,277.14752,277.14752,277.14752,277.14752,277.14752,239.37424,239.37424,239.37424,239.37424,239.37424,196.88104,196.88104,196.88104,196.88104,196.88104,174.73288,174.73288,174.73288,174.73288,174.73288,178.5601,178.5601,178.5601,178.5601,178.5601,114.25846,114.25846,114.25846,114.25846,114.25846,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,32.89432,124
"2050",5,1009,610.48344,610.48344,610.48344,610.48344,610.48344,643.27496,643.27496,643.27496,643.27496,643.27496,664.35844,664.35844,664.35844,664.35844,664.35844,556.18418,556.18418,556.18418,556.18418,556.18418,470.88978,470.88978,470.88978,470.88978,470.88978,547.46144,547.46144,547.46144,547.46144,547.46144,562.70578,562.70578,562.70578,562.70578,562.70578,585.91654,585.91654,585.91654,585.91654,585.91654,641.47052,641.47052,641.47052,641.47052,641.47052,640.557,640.557,640.557,640.557,640.557,678.66148,678.66148,678.66148,678.66148,678.66148,759.29482,759.29482,759.29482,759.29482,759.29482,676.77354,676.77354,676.77354,676.77354,676.77354,699.20508,699.20508,699.20508,699.20508,699.20508,624.39558,624.39558,624.39558,624.39558,624.39558,570.79138,570.79138,570.79138,570.79138,570.79138,432.77292,432.77292,432.77292,432.77292,432.77292,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,104.447133333333,155
"2050",6,1011,59.80774,59.80774,59.80774,59.80774,59.80774,55.66164,55.66164,55.66164,55.66164,55.66164,62.29168,62.29168,62.29168,62.29168,62.29168,58.7138,58.7138,58.7138,58.7138,58.7138,81.37842,81.37842,81.37842,81.37842,81.37842,118.89866,118.89866,118.89866,118.89866,118.89866,127.32414,127.32414,127.32414,127.32414,127.32414,130.22386,130.22386,130.22386,130.22386,130.22386,151.48332,151.48332,151.48332,151.48332,151.48332,133.771,133.771,133.771,133.771,133.771,122.2551,122.2551,122.2551,122.2551,122.2551,110.90502,110.90502,110.90502,110.90502,110.90502,88.80342,88.80342,88.80342,88.80342,88.80342,80.26558,80.26558,80.26558,80.26558,80.26558,58.76328,58.76328,58.76328,58.76328,58.76328,53.90818,53.90818,53.90818,53.90818,53.90818,29.03228,29.03228,29.03228,29.03228,29.03228,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,13.0797066666667,186
"2050",7,1013,166.25782,166.25782,166.25782,166.25782,166.25782,176.93206,176.93206,176.93206,176.93206,176.93206,183.19418,183.19418,183.19418,183.19418,183.19418,158.20912,158.20912,158.20912,158.20912,158.20912,139.74712,139.74712,139.74712,139.74712,139.74712,157.01326,157.01326,157.01326,157.01326,157.01326,155.1422,155.1422,155.1422,155.1422,155.1422,170.17048,170.17048,170.17048,170.17048,170.17048,193.5416,193.5416,193.5416,193.5416,193.5416,176.05072,176.05072,176.05072,176.05072,176.05072,191.6475,191.6475,191.6475,191.6475,191.6475,193.7356,193.7356,193.7356,193.7356,193.7356,186.86624,186.86624,186.86624,186.86624,186.86624,193.54054,193.54054,193.54054,193.54054,193.54054,155.1249,155.1249,155.1249,155.1249,155.1249,126.3234,126.3234,126.3234,126.3234,126.3234,88.96908,88.96908,88.96908,88.96908,88.96908,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,29.02002,217
"2050",8,1015,894.38742,894.38742,894.38742,894.38742,894.38742,925.38244,925.38244,925.38244,925.38244,925.38244,944.52462,944.52462,944.52462,944.52462,944.52462,1090.37506,1090.37506,1090.37506,1090.37506,1090.37506,1037.08482,1037.08482,1037.08482,1037.08482,1037.08482,938.20334,938.20334,938.20334,938.20334,938.20334,937.72442,937.72442,937.72442,937.72442,937.72442,931.10642,931.10642,931.10642,931.10642,931.10642,1037.50366,1037.50366,1037.50366,1037.50366,1037.50366,1036.7327,1036.7327,1036.7327,1036.7327,1036.7327,1007.67594,1007.67594,1007.67594,1007.67594,1007.67594,1124.84818,1124.84818,1124.84818,1124.84818,1124.84818,1338.771,1338.771,1338.771,1338.771,1338.771,1190.16304,1190.16304,1190.16304,1190.16304,1190.16304,1010.54506,1010.54506,1010.54506,1010.54506,1010.54506,838.89532,838.89532,838.89532,838.89532,838.89532,585.02532,585.02532,585.02532,585.02532,585.02532,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,137.910233333333,248
"2050",9,1017,320.71668,320.71668,320.71668,320.71668,320.71668,343.4835,343.4835,343.4835,343.4835,343.4835,348.17062,348.17062,348.17062,348.17062,348.17062,300.25896,300.25896,300.25896,300.25896,300.25896,284.35524,284.35524,284.35524,284.35524,284.35524,345.29144,345.29144,345.29144,345.29144,345.29144,357.16014,357.16014,357.16014,357.16014,357.16014,396.38738,396.38738,396.38738,396.38738,396.38738,381.53992,381.53992,381.53992,381.53992,381.53992,372.95778,372.95778,372.95778,372.95778,372.95778,447.53384,447.53384,447.53384,447.53384,447.53384,500.35516,500.35516,500.35516,500.35516,500.35516,431.55966,431.55966,431.55966,431.55966,431.55966,371.06338,371.06338,371.06338,371.06338,371.06338,311.20718,311.20718,311.20718,311.20718,311.20718,303.98178,303.98178,303.98178,303.98178,303.98178,229.12928,229.12928,229.12928,229.12928,229.12928,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,79.728,279
"2050",10,1019,195.32656,195.32656,195.32656,195.32656,195.32656,214.6246,214.6246,214.6246,214.6246,214.6246,227.31302,227.31302,227.31302,227.31302,227.31302,200.25788,200.25788,200.25788,200.25788,200.25788,174.44674,174.44674,174.44674,174.44674,174.44674,200.7391,200.7391,200.7391,200.7391,200.7391,211.5001,211.5001,211.5001,211.5001,211.5001,205.36422,205.36422,205.36422,205.36422,205.36422,248.04992,248.04992,248.04992,248.04992,248.04992,261.60762,261.60762,261.60762,261.60762,261.60762,283.8394,283.8394,283.8394,283.8394,283.8394,320.63616,320.63616,320.63616,320.63616,320.63616,290.76222,290.76222,290.76222,290.76222,290.76222,271.86582,271.86582,271.86582,271.86582,271.86582,263.23376,263.23376,263.23376,263.23376,263.23376,256.56904,256.56904,256.56904,256.56904,256.56904,177.41914,177.41914,177.41914,177.41914,177.41914,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,38.4812133333333,310
"2050",11,1021,377.57358,377.57358,377.57358,377.57358,377.57358,407.56498,407.56498,407.56498,407.56498,407.56498,438.7652,438.7652,438.7652,438.7652,438.7652,360.2169,360.2169,360.2169,360.2169,360.2169,317.9941,317.9941,317.9941,317.9941,317.9941,395.95222,395.95222,395.95222,395.95222,395.95222,418.08358,418.08358,418.08358,418.08358,418.08358,472.91686,472.91686,472.91686,472.91686,472.91686,472.21144,472.21144,472.21144,472.21144,472.21144,476.7835,476.7835,476.7835,476.7835,476.7835,495.01698,495.01698,495.01698,495.01698,495.01698,562.4601,562.4601,562.4601,562.4601,562.4601,524.59766,524.59766,524.59766,524.59766,524.59766,464.52652,464.52652,464.52652,464.52652,464.52652,446.28806,446.28806,446.28806,446.28806,446.28806,425.1908,425.1908,425.1908,425.1908,425.1908,336.86076,336.86076,336.86076,336.86076,336.86076,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,180.149046666667,341
"2050",12,1023,93.85552,93.85552,93.85552,93.85552,93.85552,101.696,101.696,101.696,101.696,101.696,104.11188,104.11188,104.11188,104.11188,104.11188,88.73162,88.73162,88.73162,88.73162,88.73162,76.44054,76.44054,76.44054,76.44054,76.44054,82.34626,82.34626,82.34626,82.34626,82.34626,93.43782,93.43782,93.43782,93.43782,93.43782,93.32826,93.32826,93.32826,93.32826,93.32826,99.4821,99.4821,99.4821,99.4821,99.4821,114.0033,114.0033,114.0033,114.0033,114.0033,134.23498,134.23498,134.23498,134.23498,134.23498,137.81602,137.81602,137.81602,137.81602,137.81602,118.4878,118.4878,118.4878,118.4878,118.4878,116.55436,116.55436,116.55436,116.55436,116.55436,105.6925,105.6925,105.6925,105.6925,105.6925,98.4395,98.4395,98.4395,98.4395,98.4395,75.06976,75.06976,75.06976,75.06976,75.06976,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,16.9281666666667,372
"2050",13,1025,198.61234,198.61234,198.61234,198.61234,198.61234,208.59042,208.59042,208.59042,208.59042,208.59042,223.30554,223.30554,223.30554,223.30554,223.30554,188.0635,188.0635,188.0635,188.0635,188.0635,160.53256,160.53256,160.53256,160.53256,160.53256,196.23504,196.23504,196.23504,196.23504,196.23504,213.3807,213.3807,213.3807,213.3807,213.3807,207.09822,207.09822,207.09822,207.09822,207.09822,217.94784,217.94784,217.94784,217.94784,217.94784,241.615,241.615,241.615,241.615,241.615,272.44078,272.44078,272.44078,272.44078,272.44078,307.03552,307.03552,307.03552,307.03552,307.03552,218.11382,218.11382,218.11382,218.11382,218.11382,203.79308,203.79308,203.79308,203.79308,203.79308,191.21854,191.21854,191.21854,191.21854,191.21854,167.36016,167.36016,167.36016,167.36016,167.36016,118.67,118.67,118.67,118.67,118.67,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,32.2164266666667,403
"2050",14,1027,92.80696,92.80696,92.80696,92.80696,92.80696,100.89764,100.89764,100.89764,100.89764,100.89764,108.79232,108.79232,108.79232,108.79232,108.79232,96.0829,96.0829,96.0829,96.0829,96.0829,87.89724,87.89724,87.89724,87.89724,87.89724,94.2667,94.2667,94.2667,94.2667,94.2667,101.54964,101.54964,101.54964,101.54964,101.54964,105.58614,105.58614,105.58614,105.58614,105.58614,122.90344,122.90344,122.90344,122.90344,122.90344,118.45748,118.45748,118.45748,118.45748,118.45748,145.53634,145.53634,145.53634,145.53634,145.53634,144.09066,144.09066,144.09066,144.09066,144.09066,140.48772,140.48772,140.48772,140.48772,140.48772,128.86402,128.86402,128.86402,128.86402,128.86402,120.45494,120.45494,120.45494,120.45494,120.45494,120.52942,120.52942,120.52942,120.52942,120.52942,92.98154,92.98154,92.98154,92.98154,92.98154,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,21.5717066666667,434
"2050",15,1029,145.4805,145.4805,145.4805,145.4805,145.4805,148.69654,148.69654,148.69654,148.69654,148.69654,166.03082,166.03082,166.03082,166.03082,166.03082,140.16786,140.16786,140.16786,140.16786,140.16786,108.91518,108.91518,108.91518,108.91518,108.91518,128.83166,128.83166,128.83166,128.83166,128.83166,128.53418,128.53418,128.53418,128.53418,128.53418,163.67944,163.67944,163.67944,163.67944,163.67944,183.6606,183.6606,183.6606,183.6606,183.6606,169.83626,169.83626,169.83626,169.83626,169.83626,166.19592,166.19592,166.19592,166.19592,166.19592,193.13264,193.13264,193.13264,193.13264,193.13264,161.7648,161.7648,161.7648,161.7648,161.7648,154.5746,154.5746,154.5746,154.5746,154.5746,116.19404,116.19404,116.19404,116.19404,116.19404,134.20084,134.20084,134.20084,134.20084,134.20084,92.6864,92.6864,92.6864,92.6864,92.6864,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,52.54172,465
"2050",16,1031,568.27066,568.27066,568.27066,568.27066,568.27066,589.96676,589.96676,589.96676,589.96676,589.96676,636.05018,636.05018,636.05018,636.05018,636.05018,564.29316,564.29316,564.29316,564.29316,564.29316,504.66586,504.66586,504.66586,504.66586,504.66586,586.2352,586.2352,586.2352,586.2352,586.2352,537.5232,537.5232,537.5232,537.5232,537.5232,551.09222,551.09222,551.09222,551.09222,551.09222,657.84144,657.84144,657.84144,657.84144,657.84144,630.86364,630.86364,630.86364,630.86364,630.86364,658.82076,658.82076,658.82076,658.82076,658.82076,687.39924,687.39924,687.39924,687.39924,687.39924,663.55336,663.55336,663.55336,663.55336,663.55336,747.21104,747.21104,747.21104,747.21104,747.21104,664.7875,664.7875,664.7875,664.7875,664.7875,600.83106,600.83106,600.83106,600.83106,600.83106,433.23182,433.23182,433.23182,433.23182,433.23182,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,191.72618,496
"2050",17,1033,529.0502,529.0502,529.0502,529.0502,529.0502,575.46902,575.46902,575.46902,575.46902,575.46902,610.52178,610.52178,610.52178,610.52178,610.52178,530.27704,530.27704,530.27704,530.27704,530.27704,451.20828,451.20828,451.20828,451.20828,451.20828,545.26682,545.26682,545.26682,545.26682,545.26682,570.51444,570.51444,570.51444,570.51444,570.51444,628.25874,628.25874,628.25874,628.25874,628.25874,678.04632,678.04632,678.04632,678.04632,678.04632,608.92628,608.92628,608.92628,608.92628,608.92628,695.01586,695.01586,695.01586,695.01586,695.01586,741.97056,741.97056,741.97056,741.97056,741.97056,688.98624,688.98624,688.98624,688.98624,688.98624,587.59744,587.59744,587.59744,587.59744,587.59744,465.41076,465.41076,465.41076,465.41076,465.41076,377.49832,377.49832,377.49832,377.49832,377.49832,301.2302,301.2302,301.2302,301.2302,301.2302,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,158.466353333333,527
"2050",18,1035,85.1376,85.1376,85.1376,85.1376,85.1376,87.85636,87.85636,87.85636,87.85636,87.85636,95.85066,95.85066,95.85066,95.85066,95.85066,83.33232,83.33232,83.33232,83.33232,83.33232,70.55588,70.55588,70.55588,70.55588,70.55588,78.83256,78.83256,78.83256,78.83256,78.83256,86.07294,86.07294,86.07294,86.07294,86.07294,96.99208,96.99208,96.99208,96.99208,96.99208,107.13162,107.13162,107.13162,107.13162,107.13162,103.67412,103.67412,103.67412,103.67412,103.67412,112.50806,112.50806,112.50806,112.50806,112.50806,146.35868,146.35868,146.35868,146.35868,146.35868,112.0016,112.0016,112.0016,112.0016,112.0016,102.71118,102.71118,102.71118,102.71118,102.71118,86.48034,86.48034,86.48034,86.48034,86.48034,87.0469,87.0469,87.0469,87.0469,87.0469,59.22068,59.22068,59.22068,59.22068,59.22068,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,15.48226,558
"2050",19,1037,52.30148,52.30148,52.30148,52.30148,52.30148,55.87862,55.87862,55.87862,55.87862,55.87862,55.63792,55.63792,55.63792,55.63792,55.63792,49.95652,49.95652,49.95652,49.95652,49.95652,44.57144,44.57144,44.57144,44.57144,44.57144,47.44378,47.44378,47.44378,47.44378,47.44378,50.46788,50.46788,50.46788,50.46788,50.46788,43.61628,43.61628,43.61628,43.61628,43.61628,48.73746,48.73746,48.73746,48.73746,48.73746,51.31254,51.31254,51.31254,51.31254,51.31254,62.66734,62.66734,62.66734,62.66734,62.66734,80.4741,80.4741,80.4741,80.4741,80.4741,74.8023,74.8023,74.8023,74.8023,74.8023,72.98584,72.98584,72.98584,72.98584,72.98584,68.27754,68.27754,68.27754,68.27754,68.27754,66.62254,66.62254,66.62254,66.62254,66.62254,41.34478,41.34478,41.34478,41.34478,41.34478,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,9.49390666666667,589
"2050",20,1039,358.4082,358.4082,358.4082,358.4082,358.4082,376.09068,376.09068,376.09068,376.09068,376.09068,390.11232,390.11232,390.11232,390.11232,390.11232,334.56556,334.56556,334.56556,334.56556,334.56556,294.51356,294.51356,294.51356,294.51356,294.51356,337.70942,337.70942,337.70942,337.70942,337.70942,346.37238,346.37238,346.37238,346.37238,346.37238,409.03028,409.03028,409.03028,409.03028,409.03028,432.25328,432.25328,432.25328,432.25328,432.25328,431.2786,431.2786,431.2786,431.2786,431.2786,457.13346,457.13346,457.13346,457.13346,457.13346,507.5204,507.5204,507.5204,507.5204,507.5204,457.93842,457.93842,457.93842,457.93842,457.93842,434.50396,434.50396,434.50396,434.50396,434.50396,359.98096,359.98096,359.98096,359.98096,359.98096,327.3607,327.3607,327.3607,327.3607,327.3607,218.83658,218.83658,218.83658,218.83658,218.83658,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,71.2788933333333,620
