eGRID_subregion,NERC_Acronym,BA_Code,BA_Name,STATE_FIPS,COUNTY_FIPS
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,073
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,099
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,099
SRTV,SERC,TVA,Tennessee Valley Authority,01,095
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,121
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,015
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,125
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,097
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,081
SRTV,SERC,TVA,Tennessee Valley Authority,01,071
SRTV,SERC,TVA,Tennessee Valley Authority,01,083
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,015
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,001
SRTV,SERC,TVA,Tennessee Valley Authority,01,033
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,069
SRTV,SERC,TVA,Tennessee Valley Authority,01,083
SRTV,SERC,TVA,Tennessee Valley Authority,01,103
SRTV,SERC,TVA,Tennessee Valley Authority,01,103
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,001
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,117
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,045
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,055
SRSO,SERC,AEC,PowerSouth Energy Cooperative,01,039
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,053
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,023
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,081
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,063
SRTV,SERC,TVA,Tennessee Valley Authority,01,095
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,015
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,111
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,123
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,097
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,125
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,131
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,001
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,047
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,073
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,001
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,051
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,069
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,097
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,017
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,021
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,127
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,121
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,051
SRSO,SERC,AEC,PowerSouth Energy Cooperative,01,129
SRSO,SERC,AEC,PowerSouth Energy Cooperative,01,039
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,131
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,037
SRTV,SERC,TVA,Tennessee Valley Authority,01,103
SRTV,SERC,TVA,Tennessee Valley Authority,01,033
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,025
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,081
SRSO,SERC,AEC,PowerSouth Energy Cooperative,01,039
SRTV,SERC,TVA,Tennessee Valley Authority,01,089
SRTV,SERC,TVA,Tennessee Valley Authority,01,077
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,085
SRTV,SERC,TVA,Tennessee Valley Authority,01,049
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,073
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,001
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,097
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,051
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,121
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,097
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,051
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,081
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,129
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,019
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,065
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,113
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,091
SRTV,SERC,TVA,Tennessee Valley Authority,01,079
SRTV,SERC,TVA,Tennessee Valley Authority,01,077
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,051
SRSO,SERC,SOCO,"Southern Company Services, Inc. - Trans",01,097
AKGD,AK,NA,No balancing authority,02,122
AKMS,AK,NA,No balancing authority,02,270
AKMS,AK,NA,No balancing authority,02,261
AKMS,AK,NA,No balancing authority,02,188
AKMS,AK,NA,No balancing authority,02,105
AKMS,AK,NA,No balancing authority,02,050
AKMS,AK,NA,No balancing authority,02,110
AKMS,AK,NA,No balancing authority,02,110
AKGD,AK,NA,No balancing authority,02,090
AKMS,AK,NA,No balancing authority,02,185
AKGD,AK,NA,No balancing authority,02,090
AKMS,AK,NA,No balancing authority,02,130
AKGD,AK,CEA,Chugach Electric Assn Inc,02,122
AKGD,AK,NA,No balancing authority,02,122
AKMS,AK,NA,No balancing authority,02,050
AKMS,AK,NA,No balancing authority,02,198
AKMS,AK,NA,No balancing authority,02,220
AKGD,AK,NA,No balancing authority,02,122
AKMS,AK,NA,No balancing authority,02,180
AKMS,AK,NA,No balancing authority,02,198
AKMS,AK,NA,No balancing authority,02,198
AKMS,AK,NA,No balancing authority,02,050
AKGD,AK,CEA,Chugach Electric Assn Inc,02,122
AKMS,AK,NA,No balancing authority,02,198
AKGD,AK,NA,No balancing authority,02,240
AKGD,AK,NA,No balancing authority,02,240
AKMS,AK,NA,No balancing authority,02,070
AKMS,AK,NA,No balancing authority,02,016
AKGD,AK,NA,No balancing authority,02,090
AKGD,AK,NA,No balancing authority,02,020
AKGD,AK,CEA,Chugach Electric Assn Inc,02,170
AKMS,AK,NA,No balancing authority,02,180
AKMS,AK,NA,No balancing authority,02,270
