Fuel,st_id,cnt_id,Annual_generation,Nox_emissions,SO2_emissions,Latitude,Longitude
GAS,02,122,,,,60.67,-151.38
OIL,02,270,0,,,62.68,-164.65
HYDRO,02,261,17551,,,61.08,-146.35
OIL,02,188,1298,22.29,1.95,67.09,-157.86
OIL,02,105,1742,28.78,2.6,57.5,-134.59
OIL,02,050,2282,45.21,3.87,61.58,-159.54
HYDRO,02,110,25983,,,58.32,-134.1
OIL,02,110,-354,1.15,0.33,58.39,-134.64
COAL,02,090,177115,285.19,167.35,64.85,-147.74
GAS,02,185,47331,119.71,1.2,71.29,-156.78
OTHF,02,090,-3433,,,64.82,-147.73
HYDRO,02,130,48192,,,55.38,-131.47
GAS,02,122,2049,22.12,0.22,61.19,-151.04
GAS,02,122,785,7.07,0.07,60.69,-151.39
OIL,02,050,43094,673.64,58.8,60.79,-161.79
HYDRO,02,198,22727,,,55.48,-133.15
HYDRO,02,220,77838,,,57.05,-135.23
HYDRO,02,122,391018,,,59.78,-150.94
OIL,02,180,1261,20.24,1.77,65.33,-166.48
OIL,02,198,760,16.94,1.53,55.12,-131.56
HYDRO,02,198,3601,,,55.12,-131.55
OIL,02,050,2561,38.34,3.35,61.53,-165.59
HYDRO,02,122,36381,,,60.39,-149.67
OIL,02,198,324,7.79,0.71,55.48,-133.15
OIL,02,240,-121,0.48,0.16,64.03,-145.72
WIND,02,240,3654,,,64.01,-145.6
OIL,02,070,18553,283.32,25.7,59.04,-158.47
OIL,02,016,45654,662.4,59.29,53.89,-166.54
COAL,02,090,73952,51.79,69.66,64.67,-147.08
GAS,02,020,678552,8110.93,9.39,61.46,-149.35
HYDRO,02,170,139994,,,61.48,-149.15
OIL,02,180,1353,19.69,1.72,64.62,-162.26
OIL,02,270,5929,85.19,7.44,62.78,-164.53
OTHF,02,150,-246,,,57.8,-152.4
WIND,02,068,56648,,,64.06,-148.9
OTHF,02,261,-85,,,60.54,-145.74
OIL,02,090,9024,81.32,26.76,64.85,-147.72
OIL,02,198,696,11.13,1.01,55.49,-133.13
WIND,02,020,41759,,,61.13,-150.24
OTHF,02,150,-291,,,57.78,-152.44
OIL,02,240,59.78,0.92,0.08,63.97,-145.72
OIL,02,290,4955,87.04,8.26,64.74,-156.87
OIL,02,180,2176,36.33,3.17,63.78,-171.71
GAS,02,020,761372,948.59,9.47,61.23,-149.72
OIL,02,261,8490,141.66,12.78,62.11,-145.53
HYDRO,02,230,14473,,,59.54,-135.21
HYDRO,02,110,5424,0.08,0.01,58.31,-134.42
HYDRO,02,220,41550,,,56.99,-135.12
OIL,02,,469,8.33,0.75,58.42,-135.71
OIL,02,290,2546,49.7,4.49,66.57,-145.25
OIL,02,100,1390,26.63,2.41,59.24,-135.45
GAS,02,020,2252,17.72,0.18,61.22,-149.87
COAL,02,068,373973,254.99,5.75,63.85,-148.95
HYDRO,02,198,1663,,,55.22,-132.6
OIL,02,105,3418,53.09,5.12,58.11,-135.43
OIL,02,050,3638,54.13,4.73,61.53,-166.1
HYDRO,02,261,3248,,,60.61,-145.68
OIL,02,198,12,0.79,0.07,55.2,-132.82
OIL,02,110,-125,1.07,0.36,58.37,-134.61
GAS,02,020,0,,,61.17,-149.91
OIL,02,220,-795,3.29,0.3,57.05,-135.31
BIOMASS,02,020,38093,0,6.65,61.29,-149.61
OIL,02,195,1367,22.22,2.01,56.96,-133.92
HYDRO,02,230,6902,,,59.41,-135.34
OIL,02,050,2737,42.44,3.7,60.87,-162.52
HYDRO,02,130,23221,,,55.34,-131.63
OIL,02,188,1670,30.97,2.7,66.97,-160.43
HYDRO,02,013,4329,13.07,1.14,55.06,-162.31
OIL,02,188,1828,26.83,2.34,67.73,-164.54
OIL,02,198,600,10.46,0.95,55.55,-133.09
OIL,02,150,0,,,57.79,-152.4
OIL,02,270,2137,32.45,2.83,63.03,-163.55
OIL,02,188,18753,270.46,24.74,66.84,-162.56
OIL,02,180,1265,18.39,1.61,64.93,-161.17
HYDRO,02,110,87446,,,58.23,-134.05
OIL,02,110,-844,4.05,0.59,58.35,-134.5
OIL,02,270,1537,24.1,2.1,61.88,-162.09
OIL,02,290,1900,33.99,2.91,62.96,-155.59
OIL,02,050,805,16.74,1.46,62.09,-163.73
OIL,02,060,23770,202.09,18.24,58.73,-157.01
