Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Plant FIPS state code,Plant FIPS county code,Plant county name,Plant annual net generation (MWh)
AK,Sand Point,1,2,13,Aleutians East,2863.00
AL,Bankhead Dam,2,1,125,Tuscaloosa,215446.00
AL,Barry,3,1,97,Mobile,11792286.00
AL,Walter Bouldin Dam,4,1,51,Elmore,392134.00
AL,Gadsden,7,1,55,Etowah,-5901.00
TX,Copper Station,9,48,141,El Paso,28972.00
AL,Greene County,10,1,63,Greene,750420.00
AL,H Neely Henry Dam,11,1,15,Calhoun,257981.00
AL,Holt Dam,12,1,125,Tuscaloosa,218024.00
AL,Jordan Dam,13,1,51,Elmore,570572.00
AL,Logan Martin Dam,14,1,121,Talladega,458371.00
AL,Lay Dam,15,1,21,Chilton,719765.00
AL,Martin Dam,16,1,51,Elmore,393715.00
AL,Mitchell Dam,17,1,37,Coosa,585826.00
AL,Lewis Smith Dam,18,1,127,Walker,387891.00
AL,Thurlow Dam,19,1,51,Elmore,259462.00
AL,Weiss Dam,20,1,19,Cherokee,276815.00
AL,Yates Dam,21,1,51,Elmore,154511.00
AL,E C Gaston,26,1,117,Shelby,4335978.00
MN,Madelia,30,27,165,Watonwan,-200.00
CA,Rollins,34,6,61,Placer,32423.00
AL,Millers Ferry,38,1,131,Wilcox,428681.00
AL,Browns Ferry,46,1,83,Limestone,31053552.00
AL,Colbert,47,1,33,Colbert,1997.00
AL,Guntersville,48,1,95,Marshall,599319.00
AL,Wheeler Dam,49,1,79,Lawrence,1611099.00
LA,Dolet Hills Power Station,51,22,31,DeSoto,1077152.00
AL,Gantt,53,1,39,Covington,6019.00
KY,Smith Generating Facility,54,21,49,Clark,584332.00
AL,Point A,55,1,39,Covington,19189.00
NE,Platte,59,31,79,Hall,422232.00
NE,Gerald Whelan Energy Center,60,31,1,Adams,1299367.00
AK,Annex Creek,62,2,110,Juneau,25983.00
AK,Gold Creek,63,2,110,Juneau,5424.00
AK,Lemon Creek,64,2,110,Juneau,-844.00
AK,Salmon Creek 1,65,2,110,Juneau,24590.00
AK,Skagway,66,2,230,Skagway,3928.00
AK,Haines,69,2,100,Haines,1390.00
AK,Swan Lake,70,2,130,Ketchikan Gateway,81117.00
AK,Terror Lake Microgrid,71,2,150,Kodiak Island,132333.00
CA,Venice Hydro,72,6,37,Los Angeles,0.00
AK,Hank Nikkels Plant 1,75,2,20,Anchorage,2252.00
AK,Eklutna Hydro Project,77,2,170,Matanuska Susitna,139994.00
AK,Snettisham,78,2,110,Juneau,289785.00
AK,Aurora Energy LLC Chena,79,2,90,Fairbanks North Star,177115.00
AK,Ketchikan,84,2,130,Ketchikan Gateway,23221.00
AK,S W Bailey,85,2,130,Ketchikan Gateway,-106.00
NY,Ashokan,88,36,111,Ulster,7104.00
AK,Snake River,90,2,180,Nome,33504.00
AK,Petersburg,91,2,195,Petersburg,14383.00
AK,Seward (AK),92,2,122,Kenai Peninsula,335.00
AK,Blue Lake Hydro,93,2,220,Sitka,77838.00
AK,Wrangell,95,2,275,Wrangell,520.00
AK,Beluga,96,2,122,Kenai Peninsula,2049.00
WA,Frederickson,99,53,53,Pierce,54103.00
AZ,South Consolidated,100,4,13,Maricopa,0.00
CA,J S Eastwood,104,6,19,Fresno,39744.00
KS,Holcomb,108,20,55,Finney,1599571.00
AK,Dillingham,109,2,70,Dillingham,18553.00
AZ,Cholla,113,4,17,Navajo,1926547.00
AZ,Douglas,114,4,3,Cochise,62.00
AZ,Ocotillo Power Plant,116,4,13,Maricopa,668400.00
AZ,APS West Phoenix Power Plant,117,4,13,Maricopa,2856546.00
AZ,APS Saguaro Power Plant,118,4,21,Pinal,84782.00
AZ,Yucca Power Plant,120,4,27,Yuma,340590.00
AZ,De Moss Petrie Generating Station,124,4,19,Pima,735.00
AZ,Irvington Generating Station,126,4,19,Pima,818629.00
SC,Cross,130,45,15,Berkeley,7356688.00
FL,Seminole (136),136,12,107,Putnam,6550658.00
AZ,Agua Fria Generating Station,141,4,13,Maricopa,123379.00
AZ,Crosscut,143,4,13,Maricopa,
AZ,Horse Mesa,145,4,13,Maricopa,79532.00
AZ,Kyrene Generating Station,147,4,13,Maricopa,1406034.00
AZ,Mormon Flat,148,4,13,Maricopa,38200.00
AZ,Roosevelt,149,4,13,Maricopa,64165.00
AZ,Stewart Mountain,150,4,13,Maricopa,26612.00
CA,McClure,151,6,99,Stanislaus,2447.00
AZ,Davis Dam,152,4,15,Mohave,1115621.00
AZ,Glen Canyon Dam,153,4,5,Coconino,3086694.00
NV,Hoover Dam (NV),154,32,3,Clark,1905145.00
UT,Lake Creek Dam,159,49,51,Wasatch,1742.00
AZ,Apache Station,160,4,3,Cochise,1995504.00
CA,Turlock Lake,161,6,99,Stanislaus,-52.00
CA,Hickman,162,6,99,Stanislaus,2427.00
OK,Grand River Dam Authority,165,40,97,Mayes,3009932.00
AR,Carpenter,166,5,51,Garland,138495.00
AR,Lake Catherine,170,5,59,Hot Spring,196186.00
AR,Osceola (AR),172,5,93,Mississippi,0.00
AR,Remmel,174,5,59,Hot Spring,39430.00
CA,Volta 2,180,6,89,Shasta,2616.00
AR,Beaver Dam,182,5,15,Carroll,155521.00
AR,Degray,187,5,19,Clark,171350.00
AR,Greers Ferry Lake,188,5,23,Cleburne,206245.00
AR,Municipal Light,193,5,21,Clay,126.00
AR,Narrows (AR),195,5,109,Pike,45175.00
AR,Norfork,196,5,5,Baxter,279161.00
AR,Blakely Mountain,197,5,51,Garland,241456.00
AR,Bull Shoals,198,5,89,Marion,1070984.00
AR,Dardanelle,199,5,115,Pope,639209.00
AR,Thomas Fitzhugh,201,5,47,Franklin,242326.00
AR,Carl Bailey,202,5,147,Woodruff,
AR,McClellan,203,5,103,Ouachita,13684.00
IL,Clinton Power Station,204,17,39,DeWitt,8348706.00
KS,Wolf Creek Generating Station,210,20,31,Coffey,8574732.00
CA,Alta Powerhouse,214,6,61,Placer,3807.00
CA,Angels,215,6,9,Calaveras,3507.00
CA,Balch 1,217,6,19,Fresno,36687.00
CA,Balch 2,218,6,19,Fresno,120507.00
CA,Belden,219,6,63,Plumas,145216.00
CA,Bucks Creek,220,6,63,Plumas,18425.00
CA,Butt Valley,221,6,63,Plumas,19146.00
CA,Caribou 1,222,6,63,Plumas,35589.00
CA,Caribou 2,223,6,63,Plumas,158880.00
CA,Centerville PH,224,6,7,Butte,
CA,Chili Bar,225,6,17,El Dorado,7188.00
CA,Coleman PH,227,6,89,Shasta,26724.00
CA,Cow Creek,229,6,89,Shasta,3769.00
CA,Cresta,231,6,7,Butte,124158.00
CA,De Sabla,232,6,7,Butte,37475.00
CA,Deer Creek PH,233,6,57,Nevada,18173.00
CA,Drum 1,235,6,61,Placer,43384.00
CA,Drum 2,236,6,61,Placer,163533.00
CA,Dutch Flat,237,6,61,Placer,64161.00
CA,El Dorado,238,6,17,El Dorado,28753.00
CA,Electra,239,6,5,Amador,171176.00
CA,Haas,240,6,19,Fresno,98992.00
CA,Halsey,241,6,61,Placer,26504.00
CA,Hamilton Branch,242,6,63,Plumas,
CA,Hat Creek 1,243,6,89,Shasta,27916.00
CA,Hat Creek 2,244,6,89,Shasta,21026.00
CA,Humboldt Bay,246,6,23,Humboldt,546228.00
CA,Inskip,248,6,103,Tehama,
CA,James B Black,249,6,89,Shasta,367761.00
CA,Kerckhoff,250,6,19,Fresno,
CA,Kilarc,253,6,89,Shasta,0.00
CA,Kings River PH,254,6,19,Fresno,32203.00
CA,Lime Saddle,255,6,7,Butte,
CA,Merced Falls,258,6,47,Merced,6349.00
CA,Moss Landing Power Plant,260,6,53,Monterey,5322552.00
CA,Murphys,261,6,9,Calaveras,10040.00
CA,Narrows PH,262,6,57,Nevada,71030.00
CA,Phoenix,264,6,109,Tuolumne,5344.00
CA,Pit 1,265,6,89,Shasta,142099.00
CA,Pit 3,266,6,89,Shasta,188394.00
CA,Pit 4,267,6,89,Shasta,186986.00
CA,Pit 5,268,6,89,Shasta,465090.00
CA,Pit 6,269,6,89,Shasta,229588.00
CA,Pit 7,270,6,89,Shasta,280981.00
CA,Poe,272,6,7,Butte,226461.00
CA,Potter Valley,274,6,45,Mendocino,2664.00
CA,Rock Creek,275,6,63,Plumas,228174.00
CA,San Joaquin 2,276,6,39,Madera,0.00
CA,San Joaquin 3,277,6,39,Madera,
CA,Salt Springs,279,6,5,Amador,69590.00
CA,South,280,6,103,Tehama,16290.00
CA,Spaulding 1,281,6,57,Nevada,15234.00
CA,Spaulding 2,282,6,57,Nevada,6078.00
CA,Spaulding 3,283,6,57,Nevada,5665.00
CA,Spring Gap,284,6,109,Tuolumne,14213.00
CA,Stanislaus,285,6,109,Tuolumne,130746.00
CA,Geysers Unit 5-20,286,6,97,Sonoma,4580405.00
CA,Tiger Creek,287,6,5,Amador,143610.00
CA,Tule River,289,6,107,Tulare,
CA,Volta 1,290,6,89,Shasta,23440.00
CA,West Point PH,291,6,5,Amador,38612.00
CA,Wise,292,6,61,Placer,39509.00
CA,A G Wishon,293,6,39,Madera,19186.00
CA,Copco 1,294,6,93,Siskiyou,62388.00
CA,Copco 2,295,6,93,Siskiyou,78903.00
CA,Fall Creek,296,6,93,Siskiyou,8223.00
CA,Iron Gate,297,6,93,Siskiyou,75595.00
TX,Limestone,298,48,293,Limestone,5702129.00
UT,Blundell,299,49,1,Beaver,211226.00
CA,Cabrillo Power I Encina Power Station,302,6,73,San Diego,394864.00
AK,Green Lake,313,2,220,Sitka,41550.00
CA,Drop 5,314,6,25,Imperial,11617.00
CA,AES Alamitos,315,6,37,Los Angeles,536845.00
CA,Sepulveda Canyon,316,6,37,Los Angeles,0.00
CA,Big Creek 1,317,6,19,Fresno,165701.00
CA,Big Creek 2,318,6,19,Fresno,100850.00
CA,Big Creek 3,319,6,19,Fresno,336277.00
CA,Big Creek 4,320,6,39,Madera,155216.00
CA,Big Creek 8,321,6,19,Fresno,67191.00
CA,Big Creek 2A,322,6,19,Fresno,243825.00
CA,Bishop Creek 2,323,6,27,Inyo,18037.00
CA,Bishop Creek 3,324,6,27,Inyo,19001.00
CA,Bishop Creek 4,325,6,27,Inyo,32547.00
CA,Bishop Creek 5,326,6,27,Inyo,8733.00
CA,Bishop Creek 6,327,6,27,Inyo,7322.00
CA,El Segundo,330,6,37,Los Angeles,202972.00
CA,Fontana,332,6,71,San Bernardino,3357.00
CA,AES Huntington Beach,335,6,59,Orange,83905.00
CA,Kaweah 2,336,6,107,Tulare,2359.00
CA,Kaweah 1,337,6,107,Tulare,
CA,Kaweah 3,338,6,107,Tulare,-78.00
CA,Kern River 3,339,6,29,Kern,44110.00
CA,Kern River 1,340,6,29,Kern,122358.00
CA,Long Beach Generating Station,341,6,37,Los Angeles,15517.00
CA,Lundy,342,6,51,Mono,4116.00
CA,Mammoth Pool,344,6,39,Madera,293325.00
CA,"Ormond Beach Power, LLC.",350,6,111,Ventura,427152.00
CA,Poole,353,6,51,Mono,15846.00
CA,Portal,354,6,19,Fresno,11402.00
CA,AES Redondo Beach,356,6,37,Los Angeles,237432.00
CA,Rush Creek,357,6,51,Mono,22061.00
CA,Mountainview Generating Station,358,6,71,San Bernardino,2025784.00
CA,Santa Ana 1,361,6,71,San Bernardino,-67.00
CA,Santa Ana 3,363,6,71,San Bernardino,305.00
CA,Lower Tule River,365,6,107,Tulare,
WA,Columbia Generating Station,371,53,5,Benton,8511288.00
CA,Pardee,376,6,9,Calaveras,56225.00
CA,Grayson Power Plant,377,6,37,Los Angeles,146055.00
MN,Prairie River,378,27,61,Itasca,1387.00
CA,Dion R Holm,380,6,109,Tuolumne,346441.00
CA,Moccasin,381,6,109,Tuolumne,298573.00
CA,R C Kirkwood,382,6,109,Tuolumne,322541.00
IL,Joliet 29,384,17,197,Will,701799.00
CA,Drop 2 (CA),385,6,25,Imperial,43014.00
CA,Drop 3 (CA),386,6,25,Imperial,40420.00
CA,Drop 4,387,6,25,Imperial,97817.00
CA,Pilot Knob,388,6,25,Imperial,20833.00
CA,El Centro,389,6,25,Imperial,952727.00
AK,Solomon Gulch,390,2,261,Valdez Cordova,41182.00
CA,Big Pine Creek,391,6,27,Inyo,9417.00
CA,Castaic,392,6,37,Los Angeles,118774.00
CA,Control Gorge,393,6,27,Inyo,29264.00
CA,Cottonwood,394,6,27,Inyo,877.00
CA,Foothill,396,6,37,Los Angeles,6809.00
CA,Franklin (CA),397,6,37,Los Angeles,-6.00
CA,Haiwee,398,6,27,Inyo,-1.00
CA,Harbor Generating Station,399,6,37,Los Angeles,94518.00
CA,Haynes Generating Station,400,6,37,Los Angeles,2602487.00
CA,Middle Gorge,401,6,51,Mono,28925.00
CA,Pleasant Valley Hydro,402,6,27,Inyo,3665.00
CA,San Fernando,403,6,37,Los Angeles,87.00
CA,Scattergood Generating Station,404,6,37,Los Angeles,1905079.00
AK,Tok,406,2,240,Southeast Fairbanks,10247.00
CA,Upper Gorge,407,6,51,Mono,19850.00
CA,Valley Generating Station,408,6,37,Los Angeles,1192624.00
CA,Exchequer,409,6,43,Mariposa,134450.00
CA,McSwain,410,6,43,Mariposa,17663.00
CA,Chicago Park,412,6,57,Nevada,66756.00
CA,Dutch Flat 2,413,6,57,Nevada,22877.00
CA,Beardsley,414,6,109,Tuolumne,25135.00
CA,Donnells,415,6,109,Tuolumne,158087.00
CA,Tulloch,416,6,109,Tuolumne,110109.00
CA,Forbestown,417,6,7,Butte,49467.00
CA,Kelly Ridge,418,6,7,Butte,39223.00
CA,Woodleaf,419,6,7,Butte,79488.00
AK,Craig (AK),421,2,198,Prince of Wales-Hyder,324.00
CA,Glenarm,422,6,37,Los Angeles,18062.00
AK,Hydaburg,423,2,198,Prince of Wales-Hyder,12.00
CA,French Meadows,424,6,61,Placer,9219.00
CA,Middle Fork,425,6,61,Placer,160093.00
CA,Oxbow (CA),426,6,61,Placer,8710.00
CA,Ralston,427,6,61,Placer,118007.00
CA,Parker,428,6,47,Merced,4020.00
CA,Camino,430,6,17,El Dorado,107687.00
CA,Jaybird,431,6,17,El Dorado,184433.00
CA,Loon Lake,432,6,17,El Dorado,51220.00
CA,Robbs Peak,433,6,17,El Dorado,23042.00
CA,White Rock/Slab Creek,435,6,17,El Dorado,150829.00
CA,Devil Canyon,436,6,71,San Bernardino,190609.00
CA,Edward C Hyatt,437,6,7,Butte,288724.00
CA,Thermalito,438,6,7,Butte,80809.00
CA,Don Pedro,439,6,109,Tuolumne,175452.00
CA,La Grange,440,6,99,Stanislaus,7345.00
CA,Folsom,441,6,67,Sacramento,155570.00
CA,Judge F Carr,442,6,89,Shasta,330612.00
CA,Keswick,443,6,89,Shasta,288386.00
CA,Nimbus,444,6,67,Sacramento,22340.00
CA,Shasta,445,6,89,Shasta,989277.00
CA,ONeill,446,6,47,Merced,-17821.00
CA,Parker Dam,447,6,71,San Bernardino,437031.00
CA,W R Gianelli,448,6,47,Merced,-15460.00
CA,Spring Creek,450,6,89,Shasta,264456.00
CA,Trinity,451,6,105,Trinity,265206.00
CA,Colgate,454,6,115,Yuba,518171.00
CA,Narrows 2,455,6,115,Yuba,25102.00
CA,Bear Valley,457,6,73,San Diego,494.00
CO,Pueblo,460,8,101,Pueblo,-140.00
CO,Alamosa,464,8,3,Alamosa,6896.00
CO,Boulder Canyon Hydro,466,8,13,Boulder,9229.00
CO,Cabin Creek,467,8,19,Clear Creek,30986.00
CO,Cherokee,469,8,1,Adams,3005952.00
CO,Comanche (470),470,8,101,Pueblo,8175602.00
CO,Fruita,471,8,77,Mesa,2440.00
CO,Georgetown Hydro,472,8,19,Clear Creek,3421.00
CO,Grand Valley Project Power Plant,473,8,77,Mesa,6649.00
CO,Salida,474,8,15,Chaffee,1595.00
CO,Shoshone (CO),476,8,45,Garfield,48627.00
CO,Valmont,477,8,13,Boulder,5788.00
CA,Temescal,479,6,65,Riverside,9949.00
CA,Corona,480,6,65,Riverside,6647.00
CA,Perris,481,6,65,Riverside,0.00
CA,Rio Hondo,482,6,37,Los Angeles,0.00
