eGrid_region,Fuel,Pollutant,Emission_rate,Unit
AKGD,coal,NOx,1.907,lb/MWh
AKMS,coal,NOx,0,lb/MWh
AZNM,coal,NOx,1.581,lb/MWh
CAMX,coal,NOx,2.742,lb/MWh
ERCT,coal,NOx,1.109,lb/MWh
FRCC,coal,NOx,0.513,lb/MWh
HIMS,coal,NOx,0,lb/MWh
HIOA,coal,NOx,2.825,lb/MWh
MROE,coal,NOx,0.761,lb/MWh
MROW,coal,NOx,1.659,lb/MWh
NEWE,coal,NOx,2.535,lb/MWh
NWPP,coal,NOx,1.983,lb/MWh
NYCW,coal,NOx,0,lb/MWh
NYLI,coal,NOx,0,lb/MWh
NYUP,coal,NOx,0,lb/MWh
PRMS,coal,NOx,2.504,lb/MWh
RFCE,coal,NOx,1.422,lb/MWh
RFCM,coal,NOx,1.259,lb/MWh
RFCW,coal,NOx,1.246,lb/MWh
RMPA,coal,NOx,1.225,lb/MWh
SPNO,coal,NOx,0.969,lb/MWh
SPSO,coal,NOx,1.643,lb/MWh
SRMV,coal,NOx,1.465,lb/MWh
SRMW,coal,NOx,1.57,lb/MWh
SRSO,coal,NOx,0.876,lb/MWh
SRTV,coal,NOx,1.086,lb/MWh
SRVC,coal,NOx,1.272,lb/MWh
AKGD,oil,NOx,7.847,lb/MWh
AKMS,oil,NOx,28.625,lb/MWh
AZNM,oil,NOx,17.452,lb/MWh
CAMX,oil,NOx,28.259,lb/MWh
ERCT,oil,NOx,3.909,lb/MWh
FRCC,oil,NOx,10.492,lb/MWh
HIMS,oil,NOx,10.787,lb/MWh
HIOA,oil,NOx,4.534,lb/MWh
MROE,oil,NOx,1.019,lb/MWh
MROW,oil,NOx,7.392,lb/MWh
NEWE,oil,NOx,5.84,lb/MWh
NWPP,oil,NOx,1.59,lb/MWh
NYCW,oil,NOx,10.206,lb/MWh
NYLI,oil,NOx,4.606,lb/MWh
NYUP,oil,NOx,2.132,lb/MWh
PRMS,oil,NOx,4.431,lb/MWh
RFCE,oil,NOx,5.277,lb/MWh
