Plant FIPS state code,Plant FIPS county code,Plant primary fuel category,Plant annual net generation (MWh),Plant annual NOx emissions (tons),Plant annual SO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CH4 emissions (lbs),Plant annual N2O emissions (lbs)
2.00,122.00,GAS,,,,,,
2.00,270.00,OIL,0.00,,,,,
2.00,261.00,HYDRO,17551.00,,,,,
2.00,188.00,OIL,1298.00,22.00,2.00,1096.00,89.00,18.00
2.00,105.00,OIL,1742.00,29.00,3.00,1463.00,118.00,24.00
2.00,50.00,OIL,2282.00,45.00,4.00,2179.00,176.00,35.00
2.00,110.00,HYDRO,25983.00,,,,,
2.00,110.00,OIL,-354.00,1.00,0.00,175.00,14.00,3.00
2.00,90.00,COAL,177115.00,285.00,167.00,177919.00,40344.00,5868.00
2.00,185.00,GAS,47331.00,120.00,1.00,43728.00,1650.00,165.00
2.00,90.00,OTHF,-3433.00,,,,,
2.00,130.00,HYDRO,48192.00,,,,,
2.00,122.00,GAS,2049.00,22.00,0.00,8081.00,305.00,30.00
2.00,122.00,GAS,785.00,7.00,0.00,2592.00,98.00,10.00
2.00,50.00,OIL,43094.00,674.00,59.00,33113.00,2682.00,536.00
2.00,198.00,HYDRO,22727.00,,,,,
2.00,220.00,HYDRO,77838.00,,,,,
2.00,122.00,HYDRO,391018.00,,,,,
2.00,180.00,OIL,1261.00,20.00,2.00,995.00,81.00,16.00
2.00,198.00,OIL,760.00,17.00,2.00,861.00,70.00,14.00
2.00,198.00,HYDRO,3601.00,,,,,
2.00,50.00,OIL,2561.00,38.00,3.00,1885.00,153.00,31.00
2.00,122.00,HYDRO,36381.00,,,,,
2.00,198.00,OIL,324.00,8.00,1.00,398.00,32.00,6.00
2.00,240.00,OIL,-121.00,0.00,0.00,84.00,7.00,1.00
2.00,240.00,WIND,3654.00,,,,,
2.00,70.00,OIL,18553.00,283.00,26.00,14473.00,1172.00,234.00
2.00,16.00,OIL,45654.00,662.00,59.00,33390.00,2704.00,541.00
2.00,90.00,COAL,73952.00,52.00,70.00,43953.00,9961.00,1449.00
2.00,20.00,GAS,678552.00,8111.00,9.00,343542.00,12959.00,1296.00
2.00,170.00,HYDRO,139994.00,,,,,
2.00,180.00,OIL,1353.00,20.00,2.00,968.00,78.00,16.00
2.00,270.00,OIL,5929.00,85.00,7.00,4188.00,339.00,68.00
2.00,150.00,OTHF,-246.00,,,,,
2.00,68.00,WIND,56648.00,,,,,
2.00,261.00,OTHF,-85.00,,,,,
2.00,90.00,OIL,9024.00,81.00,27.00,14226.00,1152.00,230.00
2.00,198.00,OIL,696.00,11.00,1.00,568.00,46.00,9.00
2.00,20.00,WIND,41759.00,,,,,
2.00,150.00,OTHF,-291.00,,,,,
2.00,240.00,OIL,60.00,1.00,0.00,47.00,4.00,1.00
2.00,290.00,OIL,4955.00,87.00,8.00,4652.00,377.00,75.00
2.00,180.00,OIL,2176.00,36.00,3.00,1786.00,145.00,29.00
2.00,20.00,GAS,761372.00,949.00,9.00,343174.00,13070.00,1307.00
2.00,261.00,OIL,8490.00,142.00,13.00,7199.00,583.00,117.00
2.00,230.00,HYDRO,14473.00,,,,,
2.00,110.00,HYDRO,5424.00,0.00,0.00,4.00,0.00,0.00
2.00,220.00,HYDRO,41550.00,,,,,
2.00,,OIL,469.00,8.00,1.00,425.00,34.00,7.00
2.00,290.00,OIL,2546.00,50.00,4.00,2526.00,205.00,41.00
2.00,100.00,OIL,1390.00,27.00,2.00,1359.00,110.00,22.00
2.00,20.00,GAS,2252.00,18.00,0.00,6478.00,245.00,25.00
2.00,68.00,COAL,373973.00,255.00,6.00,557689.00,125477.00,18288.00
2.00,198.00,HYDRO,1663.00,,,,,
2.00,105.00,OIL,3418.00,53.00,5.00,2884.00,234.00,47.00
2.00,50.00,OIL,3638.00,54.00,5.00,2661.00,216.00,43.00
2.00,261.00,HYDRO,3248.00,,,,,
2.00,198.00,OIL,12.00,1.00,0.00,41.00,3.00,1.00
2.00,110.00,OIL,-125.00,1.00,0.00,193.00,16.00,3.00
2.00,20.00,GAS,0.00,,,,,
2.00,220.00,OIL,-795.00,3.00,0.00,166.00,13.00,3.00
2.00,20.00,BIOMASS,38093.00,0.00,7.00,15.00,1.00,0.00
2.00,195.00,OIL,1367.00,22.00,2.00,1129.00,91.00,18.00
2.00,230.00,HYDRO,6902.00,,,,,
2.00,50.00,OIL,2737.00,42.00,4.00,2086.00,169.00,34.00
2.00,130.00,HYDRO,23221.00,,,,,
2.00,188.00,OIL,1670.00,31.00,3.00,1522.00,123.00,25.00
2.00,13.00,HYDRO,4329.00,13.00,1.00,641.00,52.00,10.00
2.00,188.00,OIL,1828.00,27.00,2.00,1319.00,107.00,21.00
2.00,198.00,OIL,600.00,10.00,1.00,534.00,43.00,9.00
2.00,150.00,OIL,0.00,,,,,
