Year,Source,Fuel,ModelYr,TotalEnergy
2022,21,1,1992,1.0086E+17
2022,21,1,1993,7.17472E+15
2022,21,1,1994,9.41096E+15
2022,21,1,1995,1.30711E+16
2022,21,1,1996,1.46781E+16
2022,21,1,1997,2.02167E+16
2022,21,1,1998,2.52977E+16
2022,21,1,1999,3.33898E+16
2022,21,1,2000,4.58104E+16
2022,21,1,2001,5.34046E+16
2022,21,1,2002,6.85214E+16
2022,21,1,2003,8.69625E+16
2022,21,1,2004,1.03356E+17
2022,21,1,2005,1.34127E+17
2022,21,1,2006,1.60732E+17
2022,21,1,2007,2.01588E+17
2022,21,1,2008,2.08648E+17
2022,21,1,2009,1.83042E+17
2022,21,1,2010,2.24777E+17
2022,21,1,2011,2.33811E+17
2022,21,1,2012,2.9784E+17
2022,21,1,2013,3.40566E+17
2022,21,1,2014,3.73387E+17
2022,21,1,2015,3.64416E+17
2022,21,1,2016,3.37145E+17
2022,21,1,2017,3.0345E+17
2022,21,1,2018,3.44996E+17
2022,21,1,2019,3.38332E+17
2022,21,1,2020,3.34854E+17
2022,21,1,2021,3.34644E+17
2022,21,1,2022,3.30997E+17
2022,21,2,1992,1.29062E+14
2022,21,2,1993,5.53549E+12
2022,21,2,1994,1.55336E+12
2022,21,2,1995,1.36766E+13
2022,21,2,1996,2.0001E+13
2022,21,2,1997,2.0413E+13
2022,21,2,1998,6.19751E+13
2022,21,2,1999,6.89954E+13
2022,21,2,2000,1.55908E+14
2022,21,2,2001,1.93174E+14
2022,21,2,2002,3.43701E+14
2022,21,2,2003,3.90452E+14
2022,21,2,2004,3.76895E+14
2022,21,2,2005,7.11488E+14
2022,21,2,2006,1.20925E+15
2022,21,2,2007,1.01682E+14
2022,21,2,2008,1.59241E+14
2022,21,2,2009,1.58783E+15
2022,21,2,2010,2.66131E+15
2022,21,2,2011,3.07442E+15
2022,21,2,2012,3.67832E+15
2022,21,2,2013,4.52133E+15
2022,21,2,2014,5.49384E+15
2022,21,2,2015,8.72826E+15
2022,21,2,2016,3.95136E+14
2022,21,2,2017,7.60918E+13
2022,21,2,2018,3.59133E+14
2022,21,2,2019,1.09483E+15
2022,21,2,2020,1.85387E+15
2022,21,2,2021,2.13388E+15
2022,21,2,2022,2.50964E+15
2022,21,5,1998,4.0858E+12
2022,21,5,1999,1.01299E+13
2022,21,5,2000,1.02467E+13
2022,21,5,2001,9.00326E+12
2022,21,5,2002,9.75691E+12
2022,21,5,2003,2.21745E+13
2022,21,5,2004,1.76393E+13
2022,21,5,2005,3.34275E+13
2022,21,5,2006,1.0283E+14
2022,21,5,2007,1.09212E+14
2022,21,5,2008,1.92178E+14
2022,21,5,2009,1.50275E+14
2022,21,5,2010,2.18118E+14
2022,21,5,2011,3.60558E+14
2022,21,5,2012,2.57506E+14
2022,21,5,2013,2.85588E+14
2022,21,5,2014,2.80327E+14
2022,21,5,2015,2.55845E+14
