"stateID";"stateName";"stateAbbr";"idleRegionID"
1;"ALABAMA";"AL";102
2;"ALASKA";"AK";104
4;"ARIZONA";"AZ";105
5;"ARKANSAS";"AR";102
6;"CALIFORNIA";"CA";105
8;"COLORADO";"CO";104
9;"CONNECTICUT";"CT";101
10;"DELAWARE";"DE";101
11;"DISTRICT OF COLUMBIA";"DC";101
12;"FLORIDA";"FL";102
13;"GEORGIA";"GA";102
15;"HAWAII";"HI";105
16;"IDAHO";"ID";104
17;"ILLINOIS";"IL";103
18;"INDIANA";"IN";103
19;"IOWA";"IA";103
20;"KANSAS";"KS";104
21;"KENTUCKY";"KY";103
22;"LOUISIANA";"LA";102
23;"MAINE";"ME";101
24;"MARYLAND";"MD";101
25;"MASSACHUSETTS";"MA";101
26;"MICHIGAN";"MI";103
27;"MINNESOTA";"MN";103
28;"MISSISSIPPI";"MS";102
29;"MISSOURI";"MO";103
30;"MONTANA";"MT";104
31;"NEBRASKA";"NE";104
32;"NEVADA";"NV";105
33;"NEW HAMPSHIRE";"NH";101
34;"NEW JERSEY";"NJ";101
35;"NEW MEXICO";"NM";102
36;"NEW YORK";"NY";101
37;"NORTH CAROLINA";"NC";102
38;"NORTH DAKOTA";"ND";104
39;"OHIO";"OH";103
40;"OKLAHOMA";"OK";102
41;"OREGON";"OR";105
42;"PENNSYLVANIA";"PA";101
44;"RHODE ISLAND";"RI";101
45;"SOUTH CAROLINA";"SC";102
46;"SOUTH DAKOTA";"SD";104
47;"TENNESSEE";"TN";102
48;"TEXAS";"TX";102
49;"UTAH";"UT";104
50;"VERMONT";"VT";101
51;"VIRGINIA";"VA";101
53;"WASHINGTON";"WA";105
54;"WEST VIRGINIA";"WV";101
55;"WISCONSIN";"WI";103
56;"WYOMING";"WY";104
72;"PUERTO RICO";"PR";102
78;"VIRGIN ISLANDS";"VI";102
