Year,Source,Fuel,ModelYr,NO2,NO,N2O,NOx,Total_PM10,Total_PM25,Brake_PM10,Tire_PM10,Brake_PM25,Tire_PM25,SO2
2021,21,1,1991,701.0110798,18357.45924,221.9945003,19212.16446,191.4918676,169.397395,127.2044899,49.10754486,15.90056145,7.366095,12.93958127
2021,31,1,1991,1279.782028,34167.37528,517.0361875,35733.02204,213.3488923,188.7324905,160.0439309,59.63116219,20.00550356,8.944626882,20.22757564
2021,21,2,1991,1104.742709,18121.699,3.841139995,19381.49639,191.7747636,176.4343353,127.203532,49.10909549,15.89860539,7.365420039,8.78604379
2021,31,2,1991,2283.598686,37459.02809,9.348987671,40063.13796,804.4165274,740.0609644,163.1105609,62.73095343,20.3887865,9.409541195,14.51947481
2021,21,1,1992,701.1587326,18361.16571,221.9949605,19216.05417,191.4919494,169.3974674,127.204817,49.10753934,15.90059445,7.366089093,13.29941821
2022,21,1,1992,701.1260099,18358.83909,221.7979145,19213.67252,191.3892182,169.3065529,127.2004289,49.10583554,15.90005653,7.365845551,13.29809737
2021,31,1,1992,1278.574483,34144.50313,516.5372744,35708.74706,214.6539472,189.8870273,160.1347515,59.72277428,20.01684154,8.958369063,20.22682885
2022,31,1,1992,1278.475167,34132.53292,515.1502296,35696.59078,214.3421778,189.6111812,160.1290746,59.72070821,20.01614628,8.958061922,20.22340294
2021,21,2,1992,1104.968117,18125.46171,3.838319122,19385.52444,191.7772951,176.4346848,127.2039375,49.1103713,15.90182547,7.365793821,8.784402437
2022,21,2,1992,1104.846035,18123.31228,3.841388109,19383.2151,191.7107272,176.3730513,127.2025402,49.10732433,15.89892369,7.366842024,8.784829023
2021,31,2,1992,2375.92949,38973.58081,10.91890106,41682.96834,1121.183083,1031.485389,165.3665454,65.01124259,20.67083086,9.75169315,15.18509567
2022,31,2,1992,2375.356388,38964.17793,10.90977629,41672.92824,1120.980703,1031.299487,165.3608156,65.00889396,20.6700623,9.751473334,15.18304314
2021,21,1,1993,708.2040459,18545.47102,224.171505,19408.95012,193.3694746,171.0583226,128.4517755,49.58903387,16.05646832,7.438315098,13.21703456
2022,21,1,1993,701.2951673,18363.08113,221.7978832,19218.12036,191.3891737,169.3065464,127.2002209,49.10585526,15.90001641,7.365839169,13.08740865
2023,21,1,1993,699.3297914,18311.96863,221.2206103,19164.61897,190.8751178,168.8517896,126.8433323,48.96807243,15.85541323,7.34517218,13.05089454
2021,31,1,1993,1284.303385,34268.79507,517.8452671,35839.81619,211.2332887,186.8609875,159.8971216,59.48264999,19.98714111,8.92235659,20.42325518
