Crude oil prod,11.39,MMb/d,4157350000,barrels/yr,6.61E+11,L/yr,,
Motor gasoline prod,8.7,MMb/d,3175500000,barrels/yr,5.05E+11,L/yr,,
Diesel prod,3.96,MMb/d,1445400000,barrels/yr,2.30E+11,L/yr,,
LDV oil eq. use,7.89,MMb/d,2879850000,barrels/yr,4.58E+11,L/yr,6.93E-01,
LDV gasoline use,1.44E+16,Btu,1.20E+11,gallons/yr,4.54E+11,L/yr,8.99E-01,
LDV diesel use,6.10E+13,Btu,444020643.3,gallons/yr,1.68E+09,L/yr,7.31E-03,7.31E-01
,,,,,,,,
Source: 2023 annual energy outlook,,,,,,,,
,,,,,,,,
,,,9.91E-01,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Crude oil imports,8.47,MMb/d,3091550000,barrels/yr,,,0.397280967,
