Corporation,Company,State,Site,Barrels per calendar day
Saudi Aramco,Motiva Enterprises LLC,Texas,Port Arthur,626000.00
Marathon Petroleum Corp,Marathon Petroleum Co LP,Louisiana,Garyville,596000.00
Marathon Petroleum Corp,Marathon Petroleum Co LP,Texas,Galveston Bay,593000.00
ExxonMobil Corp,Exxonmobil Refining & Supply Co,Texas,Baytown,564440.00
ExxonMobil Corp,Exxonmobil Refining & Supply Co,Louisiana,Baton Rouge,522500.00
PDV America Inc,Citgo Petroleum Corp,Louisiana,Lake Charles,455000.00
BP PLC,BP Products North America Inc,Indiana,Whiting,435000.00
ExxonMobil Corp,Exxonmobil Refining & Supply Co,Texas,Beaumont,369024.00
Marathon Petroleum Corp,Tesoro Refining & Marketing Co,California,Carson,363000.00
Chevron Corp,Chevron USA Inc,Mississippi,Pascagoula,356440.00
WRB Refining LP,WRB Refining LP,Illinois,Wood River,356000.00
Koch Industries Inc,Flint Hills Resources LP,Minnesota,Saint Paul,335000.00
Valero Energy Corp,Premcor Refining Group Inc,Texas,Port Arthur,335000.00
Pemex,Deer Park Refining Ltd Partnership,Texas,Deer Park,312500.00
Marathon Petroleum Corp,Marathon Petroleum Co LP,Kentucky,Catlettsburg,291000.00
Valero Energy Corp,Valero Refining Co Texas LP,Texas,Corpus Christi,290000.00
Chevron Corp,Chevron USA Inc,California,El Segundo,269000.00
Koch Industries Inc,Flint Hills Resources LP,Texas,"Corpus Christi, West",268500.00
Phillips 66 Company,Phillips 66 Company,Texas,Sweeny,265000.00
Phillips 66 Company,Phillips 66 Company,Louisiana,Westlake,264000.00
Access Industries,Houston Refining LP,Texas,Houston,263776.00
Phillips 66 Company,Phillips 66 Company,New Jersey,Linden,258500.00
Marathon Petroleum Corp,Marathon Petroleum Co LP,Illinois,Robinson,253000.00
ExxonMobil Corp,Exxonmobil Refining & Supply Co,Illinois,Joliet,251800.00
Chevron Corp,Chevron USA Inc,California,Richmond,245271.00
BP PLC,BP Products North America Inc,Washington,Ferndale,238500.00
TotalEnergies SE,TotalEnergies Petrochemicals & Refining USA,Texas,Port Arthur,238000.00
Shell PLC,Shell Oil Products US,Louisiana,Norco,227900.00
Valero Energy Corp,Valero Refining Co Texas LP,Texas,Texas City,225000.00
Valero Energy Corp,Valero Refining New Orleans LLC,Louisiana,Norco,215000.00
Phillips 66 Company,Phillips 66 Company,Oklahoma,Ponca City,208000.00
Valero Energy Corp,Valero Refining Co Texas LP,Texas,Houston,205000.00
Valero Energy Corp,Diamond Shamrock Refining Co LP,Texas,Sunray,195000.00
Delta Air Lines Inc,Monroe Energy LLC,Pennsylvania,Trainer,190000.00
PBF Energy Co LLC,Chalmette Refining LLC,Louisiana,Chalmette,190000.00
Cenovus Energy Inc,Lima Refining Company,Ohio,Lima,183000.00
PDV America Inc,PDV Midwest Refining LLC,Illinois,Lemont,182685.00
Valero Energy Corp,Valero Refining Company-Tennessee LLC,Tennessee,Memphis,180000.00
PBF Energy Co LLC,Toledo Refining Co LLC,Ohio,Toledo,172800.00
PBF Energy Co LLC,Delaware City Refining Co LLC,Delaware,Delaware City,171000.00
PDV America Inc,Citgo Refining & Chemical Inc,Texas,Corpus Christi,167500.00
HF Sinclair Corp,HF Sinclair El Dorado Refining LLC,Kansas,El Dorado,162000.00
PBF Energy Co LLC,Torrance Refining Co LLC,California,Torrance,160000.00
