State,Year,Activity
1,2021,0.019969643
2,2021,0.001576467
4,2021,0.020502894
5,2021,0.012092206
6,2021,0.108727813
8,2021,0.017160529
9,2021,0.009672674
10,2021,0.00329881
11,2021,0.000430342
12,2021,0.062681545
13,2021,0.034974981
15,2021,0.002855496
16,2021,0.005319754
17,2021,0.033621586
18,2021,0.022535704
19,2021,0.011687322
20,2021,0.010441865
21,2021,0.015516475
22,2021,0.01642899
23,2021,0.004845602
24,2021,0.019068587
25,2021,0.018513487
26,2021,0.034016706
27,2021,0.019584846
28,2021,0.012457808
29,2021,0.021406651
30,2021,0.004017782
31,2021,0.006931792
32,2021,0.00771571
33,2021,0.004494393
34,2021,0.022513066
35,2021,0.008364902
36,2021,0.035864561
37,2021,0.034081694
38,2021,0.003298765
39,2021,0.035294966
40,2021,0.0157119
41,2021,0.012002102
42,2021,0.031583859
44,2021,0.002637191
45,2021,0.018945321
46,2021,0.003411092
47,2021,0.023902877
48,2021,0.09293554
49,2021,0.009368407
50,2021,0.002391173
51,2021,0.027925572
53,2021,0.019430191
54,2021,0.006434919
55,2021,0.0218683
56,2021,0.002924003
72,2021,0.006439051
78,2021,0.000122087
1,2022,0.019969643
1,2023,0.019981404
1,2024,0.019992482
1,2025,0.020002593
1,2026,0.020011824
1,2027,0.02002023
1,2028,0.020027627
1,2029,0.020033933
1,2030,0.020039554
1,2031,0.02004401
1,2032,0.020047721
1,2033,0.020050732
1,2034,0.020053087
1,2035,0.020054957
1,2036,0.020056638
1,2037,0.020057988
1,2038,0.020059316
1,2039,0.020060934
1,2040,0.020062576
1,2041,0.020063877
1,2042,0.020064923
1,2043,0.020065738
1,2044,0.020066409
1,2045,0.02006717
1,2046,0.020067208
1,2047,0.020067752
1,2048,0.020068209
1,2049,0.020068832
1,2050,0.020069202
2,2022,0.001576467
2,2023,0.001577044
2,2024,0.001577587
2,2025,0.001578083
2,2026,0.001578535
2,2027,0.001578948
2,2028,0.00157931
2,2029,0.00157962
2,2030,0.001579895
2,2031,0.001580114
2,2032,0.001580295
2,2033,0.001580443
2,2034,0.001580559
2,2035,0.001580651
2,2036,0.001580733
2,2037,0.001580799
2,2038,0.001580865
2,2039,0.001580944
2,2040,0.001581025
2,2041,0.001581088
2,2042,0.00158114
2,2043,0.00158118
2,2044,0.001581213
2,2045,0.001581249
2,2046,0.001581251
2,2047,0.001581278
2,2048,0.0015813
2,2049,0.001581331
2,2050,0.001581349
4,2022,0.020502894
4,2023,0.020497959
4,2024,0.020493335
4,2025,0.020489123
4,2026,0.020485257
4,2027,0.020481745
4,2028,0.020478642
4,2029,0.020476018
4,2030,0.020473671
4,2031,0.020471805
4,2032,0.020470265
4,2033,0.020469001
4,2034,0.020468026
4,2035,0.020467237
4,2036,0.02046655
4,2037,0.020465981
4,2038,0.020465426
4,2039,0.020464748
4,2040,0.020464061
4,2041,0.020463507
4,2042,0.020463078
4,2043,0.020462741
4,2044,0.020462452
4,2045,0.020462143
4,2046,0.020462122
4,2047,0.0204619
4,2048,0.020461703
4,2049,0.020461457
4,2050,0.020461299
5,2022,0.012092206
5,2023,0.012102715
5,2024,0.012112605
5,2025,0.012121649
5,2026,0.012129895
5,2027,0.01213741
5,2028,0.012144021
5,2029,0.012149643
5,2030,0.012154669
5,2031,0.012158654
5,2032,0.012161958
5,2033,0.012164662
5,2034,0.012166758
5,2035,0.012168437
5,2036,0.012169922
5,2037,0.012171138
5,2038,0.012172319
5,2039,0.012173763
5,2040,0.012175229
5,2041,0.012176386
5,2042,0.012177329
5,2043,0.012178055
5,2044,0.012178653
5,2045,0.012179332
5,2046,0.012179362
5,2047,0.012179848
5,2048,0.012180258
5,2049,0.012180818
5,2050,0.012181138
6,2022,0.108727813
6,2023,0.108647609
6,2024,0.108572125
6,2025,0.108503082
6,2026,0.108440089
6,2027,0.108382787
6,2028,0.108332307
6,2029,0.108289344
6,2030,0.108251042
6,2031,0.108220596
6,2032,0.108195357
6,2033,0.108174814
6,2034,0.108158724
6,2035,0.108145948
6,2036,0.10813455
6,2037,0.108125321
6,2038,0.108116298
6,2039,0.108105289
6,2040,0.108094079
6,2041,0.10808527
6,2042,0.108078094
6,2043,0.108072537
6,2044,0.108067972
6,2045,0.108062782
6,2046,0.108062543
6,2047,0.108058846
6,2048,0.108055723
6,2049,0.108051478
6,2050,0.108048991
8,2022,0.017160529
8,2023,0.017159947
8,2024,0.017159401
8,2025,0.017158893
8,2026,0.017158435
8,2027,0.017158025
8,2028,0.017157651
8,2029,0.017157343
8,2030,0.017157055
8,2031,0.01715684
8,2032,0.017156651
8,2033,0.017156504
8,2034,0.017156386
8,2035,0.017156298
8,2036,0.017156212
8,2037,0.017156145
8,2038,0.017156073
8,2039,0.017156006
8,2040,0.017155918
8,2041,0.017155848
8,2042,0.017155801
8,2043,0.017155757
8,2044,0.01715573
8,2045,0.017155692
8,2046,0.017155691
8,2047,0.017155662
8,2048,0.017155642
8,2049,0.017155595
8,2050,0.017155586
9,2022,0.009672674
9,2023,0.009662706
9,2024,0.009653325
9,2025,0.00964475
9,2026,0.009636926
9,2027,0.009629804
9,2028,0.009623533
9,2029,0.009618198
9,2030,0.009613433
9,2031,0.009609652
9,2032,0.009606516
9,2033,0.009603961
9,2034,0.009601964
9,2035,0.009600375
9,2036,0.009598961
9,2037,0.009597811
9,2038,0.009596692
9,2039,0.009595323
9,2040,0.009593933
9,2041,0.009592834
9,2042,0.009591946
9,2043,0.009591252
9,2044,0.009590686
9,2045,0.009590042
9,2046,0.00959001
9,2047,0.009589552
9,2048,0.009589166
9,2049,0.009588635
9,2050,0.009588326
10,2022,0.00329881
10,2023,0.003298238
10,2024,0.003297699
10,2025,0.003297205
10,2026,0.003296758
10,2027,0.003296346
10,2028,0.003295987
10,2029,0.00329568
10,2030,0.003295408
10,2031,0.003295189
10,2032,0.003295011
10,2033,0.003294863
10,2034,0.003294748
10,2035,0.003294658
10,2036,0.003294576
10,2037,0.00329451
10,2038,0.003294446
10,2039,0.003294368
10,2040,0.003294288
10,2041,0.003294226
10,2042,0.003294175
10,2043,0.003294134
10,2044,0.003294102
10,2045,0.003294063
10,2046,0.003294063
10,2047,0.003294035
10,2048,0.003294014
10,2049,0.003293984
10,2050,0.003293965
11,2022,0.000430342
11,2023,0.000429854
11,2024,0.000429395
11,2025,0.000428975
11,2026,0.000428592
11,2027,0.000428243
11,2028,0.000427936
11,2029,0.000427675
11,2030,0.000427442
11,2031,0.000427257
11,2032,0.000427103
11,2033,0.000426978
11,2034,0.00042688
11,2035,0.000426803
11,2036,0.000426734
11,2037,0.000426677
11,2038,0.000426622
11,2039,0.000426556
11,2040,0.000426487
11,2041,0.000426434
11,2042,0.00042639
11,2043,0.000426356
11,2044,0.000426328
11,2045,0.000426297
11,2046,0.000426295
11,2047,0.000426273
11,2048,0.000426254
11,2049,0.000426228
11,2050,0.000426213
12,2022,0.062681545
12,2023,0.062646341
12,2024,0.06261323
12,2025,0.062582983
12,2026,0.062555352
12,2027,0.06253021
