Unit,Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
MtC/yr,1959,0.104959449,0.394,1.543945669,NaN,0.168829685,NaN,0.008,13.3593885,0.653692026,0.196334852,22.84611276,7.617331732,6.311177551,0.071,0.358,0.502185044,0.041,9.809140877,24.10210142,0.011,0.028,0.037,NaN,0.147745441,1.314716861,NaN,10.64876646,NaN,0.089,5.355418504,0.002,0.010628571,0.058,50.34971457,0.00499189,0.027,0.017,3.467075433,196.548075,4.390499606,0.003,0.051,NaN,0.105,0.149,1.433111697,4.27531063,2.843665192,0.226910787,25.34710024,5.421875118,0.736618819,7.105467165,0.01,0.003,0.303789134,0.352829685,3.468029213,0.164910787,0.013,NaN,2.679536912,0.091975669,0.027,NaN,0.054,3.699710472,71.58555811,0.008,0.006,0.005,1.720730712,206.2758137,0.361,2.216410394,0.064,0.004,0.337870236,0.043,0.004,0.151,0.068959449,0.15999189,0.737845906,11.4364185,0.337910787,29.9723671,6.512618819,1.996270079,3.36031063,6.978359291,1.529140315,25.67811205,0.501781024,52.57095717,0.178878346,29.40425895,0.60265126,NaN,1.037,1.258233259,0.021,1.587042902,0.668180866,NaN,0.039,0.118,NaN,2.484775558,2.843789134,0.01,0.941328607,0.102,0.125481778,0.868789134,NaN,0.013,0.106,NaN,0.009,0.061,15.90801543,0.367,0.167424701,NaN,0.919448504,0.489764803,0.757959449,NaN,NaN,0.018,18.31823197,0.161,2.816383622,0.130959449,0.006,0.972862126,NaN,3.222751024,NaN,NaN,2.707711964,NaN,0.270894567,0.044,0.08298378,1.969359291,1.972197087,0.258967559,51.7631363,2.177864567,0.05,0.07599189,3.062602598,2.373728566,0.031083333,0.341803123,13.82185323,233.2935503,0.020371429,NaN,0.003,0.330254515,0.004,0.002,0.505918898,0.105813465,3.792638584,NaN,0.064,0.491,8.104717317,1.089569715,0.003,0.024,25.78408031,14.21368213,0.560894567,NaN,0.009,0.003,0.1,0.001,11.56888567,4.530039764,0.607505276,2.999824016,0.820773356,0.906440394,NaN,0.015,0.002,0.843805354,0.433513386,4.692085984,3.706015892,NaN,NaN,0.112910787,70.7414126,0.003,149.1828963,0.188,770.4707157,1.197537717,12.54414903,NaN,17.78093189,1.802578268,NaN,0.71,1.246660915,1.701200378,1886.228395,472.7814676,1586.17015,772.8397126,675.3817571,40.34965701,365.6089118,10.95027252,1006.3274,19.31433906,836.8014457,25.89449638,53.75933992,58.234,36.134,2453.377862
MtC/yr,1960,0.112959449,0.552,1.678832126,NaN,0.149821575,NaN,0.01,13.30908843,0.680561288,0.168821185,24.04991811,8.401877559,6.570853382,0.112,0.157,0.603685914,0.047,10.21265049,24.81115819,0.012,0.044,0.043,NaN,0.127040921,1.436097046,NaN,12.78706898,NaN,0.091,6.078248189,0.012,0.009942857,0.064,52.59720929,0.00599189,0.024,0.015,3.678075433,212.603566,4.473386063,0.003,0.061,NaN,0.134,0.126,1.565432184,3.735562047,2.445164072,0.241902677,27.03349157,6.492477717,0.632781024,8.119410394,0.011,0.003,0.283813465,0.480781024,4.375745354,0.168902677,0.006,NaN,2.789764784,0.095967559,0.016,NaN,0.053,4.11761315,74.06136346,0.01,0.036,0.005,1.791506507,222.1479832,0.399,2.563191417,0.061,0.006,0.366878346,0.112,0.005,0.18,0.077943228,0.167959449,0.805837795,12.37126441,0.330918898,32.90830827,5.836570157,2.25331874,3.048180866,10.19612409,1.763107874,29.80433591,0.400764803,63.45514213,0.202821575,30.6138783,0.661610709,NaN,2.128,1.309922218,0.022,1.652325492,0.703059213,NaN,0.045,0.189,NaN,2.586910213,3.140764803,0.014,1.028235389,0.109,0.119641845,1.146683701,NaN,0.033,0.093,NaN,0.01,0.049,17.2085937,0.353,0.182881941,NaN,0.992359291,0.513756693,0.740951339,NaN,NaN,0.022,20.04301299,0.235,3.14731874,0.144967559,0.008,0.928813465,NaN,3.571726693,NaN,NaN,3.255032668,NaN,0.271878346,0.049,0.08298378,2.228334961,2.272124094,0.273959449,54.46972512,2.241678031,0.048,0.074,3.422521496,2.47529862,0.030916667,0.33995357,14.57263425,242.899283,0.019057143,NaN,0.004,0.283973823,0.004,0.003,0.729902677,0.225813465,4.142800556,NaN,0.195,0.38,8.643936703,1.190167433,0.003,0.023,26.70401543,13.33667402,0.615902677,NaN,0.01,0.003,0.118,0.009,13.41990189,5.320650472,0.878464724,3.240694252,0.854519077,1.012416063,NaN,0.018,0.003,0.703805354,0.470553937,4.584753465,3.858446683,NaN,NaN,0.114918898,73.64095865,0.003,159.3941096,0.226,788.1605982,1.177545827,13.0599108,NaN,15.56136173,2.042553937,NaN,0.991,1.188653491,1.622039624,1978.77888,506.4271441,1666.44014,818.7658841,721.9400585,42.73118661,400.3920259,9.797475276,1067.74956,24.63855236,858.0374012,27.50523685,54.35058567,65.022,18.148,2568.376024
MtC/yr,1961,0.133951339,0.622,1.652815906,NaN,0.123829685,NaN,0.013,13.95379646,0.701812646,0.176187927,24.70084512,8.685601811,6.776249098,0.149,0.483,0.625111705,0.053,10.53180961,25.29975268,0.01,0.035,0.048,NaN,0.132584524,1.505290167,NaN,13.41280134,NaN,0.083,7.081069764,0.025,0.013028571,0.078,52.94778756,0.00599189,0.024,0.014,3.946026772,150.3707798,4.966240079,0.003,0.073,NaN,0.134,0.151,1.64091544,3.321042992,2.551862141,0.235894567,29.34125223,7.212502047,0.642845906,8.652256299,0.012,0.003,0.280740472,0.448756693,4.657729134,0.158918898,0.006,NaN,2.876950509,0.092967559,0.031,NaN,0.046,4.072515827,76.79403339,0.016,0.045,0.006,1.84748675,227.849242,0.367,2.676972441,0.08,0.005,0.383862126,0.168,0.008,0.201,0.080951339,0.200951339,0.919797244,13.35423197,0.297918898,35.5875891,7.096505276,2.37697,3.371343071,9.964180866,1.927067323,33.9451137,0.580764803,77.17983071,0.266756693,31.57063858,0.654635039,0.002,2.722,1.350802373,0.031,1.703961162,0.731034882,NaN,0.044,0.326,NaN,2.667690298,3.160748583,0.019,1.077773332,0.097,0.101890784,1.278635039,NaN,0.032,0.08,NaN,0.013,0.051,17.80565047,0.38,0.191692759,NaN,1.02930252,0.717764803,0.706959449,NaN,NaN,0.022,20.69289945,0.242,3.208278189,0.152959449,0.015,1.121602598,NaN,3.639596929,NaN,NaN,3.370517665,NaN,0.300878346,0.055,0.09898378,2.356343071,2.377872677,0.283951339,56.55988165,2.47762937,0.044,0.077,3.943424173,2.556177362,0.0315,0.346410787,15.20635039,250.4982967,0.024971429,NaN,0.005,0.296365408,0.005,0.003,0.973886457,0.221797244,4.342465244,NaN,0.079,0.571,9.381851624,1.247536146,0.004,0.024,27.87113709,14.63069268,0.636910787,NaN,0.013,0.003,0.117,0.001,13.31864236,5.556025984,0.835407953,3.419337402,0.881209603,1.130107874,NaN,0.025,0.003,1.254894567,0.481635039,4.732761575,3.979011973,NaN,NaN,0.110927008,75.93296144,0.003,160.6481445,0.192,785.3083647,1.123570157,13.46784336,NaN,14.15932929,2.177497165,NaN,0.727,1.01226963,1.381352972,2026.607186,457.7355413,1704.230871,780.1118562,747.6531739,44.21240559,360.0753839,10.36796433,1104.436182,25.78706575,856.1548027,28.22712331,55.06779898,71.845,23.536,2579.723727
MtC/yr,1962,0.187935118,0.672,1.545034882,NaN,0.321813465,NaN,0.028,14.63977213,0.736555748,0.19348861,25.87976402,9.242626142,7.111926906,0.198,0.434,0.686887525,0.071,11.05345124,26.75172024,0.019,0.037,0.043,NaN,0.145603594,1.544693692,NaN,14.63740394,0.001,0.101,8.379915669,0.023,0.012,0.084,56.49311441,0.00499189,0.02,0.023,4.559872677,119.9077798,5.300077874,0.003,0.065,NaN,0.15,0.16,1.683830445,3.863140315,2.802440938,0.246894567,31.2678267,8.375380394,0.592781024,10.06819953,0.013,0.003,0.338732362,0.426764803,5.068534488,0.176927008,0.006,NaN,3.019448043,0.107951339,0.032,NaN,0.063,4.582499606,81.5683789,0.013,0.024,0.007,1.938985947,241.0394658,0.391,2.769875118,0.072,0.007,0.376870236,0.18,0.011,0.185,0.082935118,0.190935118,1.004764803,13.78608598,0.326894567,39.1517039,6.270440394,2.462018661,3.577164646,10.21518087,2.164945669,39.91675362,0.577781024,79.93024843,0.285740472,33.13437215,0.715618819,0.003,3.897,1.417648914,0.036,1.788356737,0.778051102,NaN,0.069,0.286,NaN,2.799754475,3.149748583,0.026,1.105988421,0.10798378,0.098422572,1.30364315,NaN,0.038,0.09,NaN,0.017,0.069,17.39730173,0.538,0.196711095,0.001,0.839229528,0.541805354,0.785943228,NaN,NaN,0.024,22.7297778,0.154,3.05630252,0.179951339,0.018,1.139464724,NaN,3.837442835,NaN,NaN,3.70357153,NaN,0.324862126,0.054,0.10698378,2.718229528,2.820937559,0.299943228,59.1176789,2.535450945,0.052,0.079,4.711132205,2.686599154,0.03375,0.371136457,17.41615575,262.9142767,0.023,NaN,0.005,0.325466857,0.005,0.003,1.705797244,0.221797244,4.456097705,NaN,0.089,0.702862126,9.997871648,1.280176112,0.004,0.029,28.84006409,16.36895465,0.698902677,NaN,0.009,0.003,0.135,NaN,13.99360992,6.58288811,0.87332685,3.86594,0.92484111,1.371937559,NaN,0.024,0.003,1.973821575,0.489602598,5.896437165,4.176075847,NaN,NaN,0.116935118,79.68378777,0.005,161.8262824,0.209,814.4109564,1.093586378,14.13469186,0.011,14.75330496,2.548489055,NaN,1.06,0.977805842,1.334325524,2123.773284,448.7245294,1783.836896,788.6609175,790.9945029,45.39704874,342.579598,12.15995622,1166.087334,29.82949803,888.3823726,29.19206654,58.85593929,74.403,38.198,2685.098814
MtC/yr,1963,0.192886457,0.568,1.479026772,NaN,0.313789134,NaN,0.023,13.65520197,0.789905721,0.185340547,27.54756126,10.08435039,7.627073783,0.193,0.326,0.789640125,0.052,11.85409308,28.84180945,0.017,0.033,0.041,NaN,0.139472032,1.718413849,NaN,15.16128228,0.001,0.097,9.381566929,0.024,0.013,0.106,57.56298465,0.00399189,0.02,0.025,4.731710472,118.8639748,5.794972441,0.003,0.064,NaN,0.164,0.17,1.873182114,3.555107874,2.684426408,0.268894567,32.89202066,8.959210079,0.625732362,11.09932118,0.018,0.004,0.340748583,0.489716142,5.875234409,0.306910787,0.007,NaN,3.238157845,0.114959449,0.034,NaN,0.066,5.277426614,91.21900016,0.018,0.02,0.008,2.079433208,258.0507602,0.47,3.340469606,0.09,0.004,0.414829685,0.19,0.013,0.168,0.067943228,0.193935118,1.158756693,15.34601299,0.355894567,42.04917068,6.212635039,2.56096189,3.670115984,11.27318087,2.237872677,44.91163685,0.653781024,88.65596701,0.332683701,35.53441872,0.778618819,0.005,4.643,1.520329599,0.04,1.9178938,0.825010551,NaN,0.097,0.399,NaN,3.002545464,3.121772913,0.029,1.230371734,0.125951339,0.094626031,1.590602598,NaN,0.048,0.112,NaN,0.024,0.057,18.09284756,0.437,0.21883391,0.001,1.079164646,0.452813465,0.718862126,NaN,NaN,0.027,24.8757048,0.169,3.334205197,0.229943228,0.024,1.458416063,NaN,4.084410394,NaN,NaN,4.257705387,NaN,0.322845906,0.07,0.11198378,2.790164646,3.13095378,0.330935118,63.04553291,2.732418504,1.674,0.082,5.754140315,2.882536578,0.038166667,0.41970357,18.95618252,281.9613236,0.023,NaN,0.006,0.311761013,0.006,0.002,1.893781024,0.234789134,4.957225475,0.002,0.101,0.926789134,10.51726973,1.424141109,0.004,0.028,29.94682079,16.03245181,0.690918898,NaN,0.01,0.004,0.145,NaN,15.0963585,7.933050315,0.984245748,4.123526378,0.991829513,1.517905118,NaN,0.029,0.003,0.356821575,0.530602598,6.179023543,4.478562884,NaN,NaN,0.117943228,85.45209584,0.006,164.6794932,0.219,850.442787,1.177626929,15.15850164,0.009,15.3252563,2.486456614,NaN,0.796,0.940088385,1.282855742,2251.957876,467.0301776,1886.40868,832.5793733,845.0084909,48.12629449,361.1831563,10.43086701,1248.25874,33.73176,926.1986192,31.16176646,59.88185008,77.821,35.906,2832.715054
MtC/yr,1964,0.228862126,0.55,1.540132205,NaN,0.333764803,NaN,0.025,15.19378835,0.840060107,0.18020615,29.71500165,10.61583945,8.111392757,0.296,0.436,0.811848247,0.049,12.60681217,28.26255236,0.023,0.039,0.055,NaN,0.135608308,1.946889692,NaN,15.46579567,0.002,0.093,11.68615331,0.03,0.013,0.09299189,64.84108441,0.00798378,0.02,0.027,4.777605039,118.9147735,5.917834567,0.003,0.073,NaN,0.183967559,0.208,2.122298454,3.897107874,2.610061087,0.272918898,34.23140868,9.721120866,0.538748583,11.77590756,0.023,0.004,0.47666748,0.584683701,6.957218189,0.335902677,0.007,NaN,3.443776925,0.110951339,0.033,NaN,0.115967559,6.230264409,94.30624512,0.018,0.052,0.008,2.211473031,264.4425454,0.45,3.603055984,0.086,0.006,0.482797244,0.191,0.016,0.177,0.081935118,0.196918898,1.151764803,17.01451016,0.356878346,41.11326176,6.106513386,2.473791575,3.879929449,12.96918087,2.493791575,47.95880961,1.108691811,97.95062559,0.33865937,37.79081427,0.770537717,0.005,6.909,1.616856653,0.047,2.039677135,0.890026772,NaN,0.132,0.181,NaN,3.193189645,3.355772913,0.035,1.393954637,0.131951339,0.089967559,2.019489055,NaN,0.048,0.136,NaN,0.032,0.084,20.25112575,0.558,0.247928764,0.002,1.20497811,0.583797244,0.779854016,NaN,0.008,0.041,26.4128289,0.3,3.573132205,0.258935118,0.026,1.983270079,NaN,4.41329685,NaN,0.003,4.377448603,NaN,0.338862126,0.073,0.117975669,3.344099764,3.499678031,0.403927008,66.28834071,3.004207638,1.711,0.092,6.05762937,3.067323729,0.04225,0.464652677,19.66076079,299.8696409,0.01,NaN,0.006,0.303124454,0.007,0.003,1.921716142,0.251772913,5.616388532,0.002,0.083,1.009781024,10.94553297,1.613517861,0.005,0.037,32.62718819,17.55562457,0.619918898,NaN,0.013,0.005,0.165,0.003,16.47600165,7.676231181,1.19030252,4.614404724,1.054806365,2.038832126,NaN,0.036,0.003,1.034805354,0.751497165,7.178755906,4.762942228,NaN,NaN,0.133918898,90.87360969,0.005,165.9022897,0.282,887.7606983,1.242553937,16.12100295,0.017,15.43395622,3.217205197,NaN,0.991,0.893829685,1.219724252,2363.05124,494.0772064,1974.364818,882.7636286,876.4299602,52.84913472,377.8073516,12.31959126,1305.081915,39.51122472,972.9519085,33.76710142,62.82421992,85.181,51.502,2993.811447
MtC/yr,1965,0.274813465,0.593,1.798180866,NaN,0.323732362,NaN,0.041,16.0493585,0.891116543,0.161677677,32.98380701,10.40953937,8.60459716,0.359,0.335,0.851884662,0.056,13.37328001,28.74748748,0.023,0.041,0.049,NaN,0.121665305,2.003143196,NaN,15.37380378,0.002,0.091,12.62803976,0.028,0.01,0.109943228,68.75463835,0.00698378,0.024,0.029,4.843694252,129.5525723,6.238737244,0.004,0.067,NaN,0.230870236,0.32,2.183627474,3.983115984,2.341699278,0.313894567,33.35456456,12.06935606,0.673724252,12.08880213,0.033,0.004,0.421764803,0.62064315,7.535331732,0.283910787,0.008,NaN,3.65315321,0.175894567,0.037,NaN,0.093959449,6.905045433,96.10032866,0.023,0.059,0.008,2.34591907,262.036637,0.465,4.639455827,0.094,0.006,0.538740472,0.19,0.018,0.294,0.082951339,0.204894567,1.310732362,16.71237228,0.380878346,45.29513177,6.732594488,5.265580709,3.743840236,14.6611322,3.52861315,51.7271778,0.81565937,105.4779419,0.38766748,40.08845276,0.672464724,0.003,9.659,1.715100279,0.049,2.163683472,0.903929449,NaN,0.152,0.277,NaN,3.387263191,3.327756693,0.036,1.434231138,0.151959449,0.094967559,2.287180866,NaN,0.054,0.129,NaN,0.044,0.083,20.51525551,0.534,0.255092343,0.001,1.161132205,0.546756693,0.743854016,NaN,0.009,0.049,27.40272346,0.336,3.735067323,0.212927008,0.025,3.206913228,NaN,4.473231969,NaN,0.007,4.593233763,NaN,0.416813465,0.083,0.149967559,3.261880787,3.811313071,0.411935118,67.40744047,3.161150866,1.716,0.085,6.817223858,3.258049439,0.055166667,0.606744121,21.46203898,318.1109002,0.013,NaN,0.007,0.27195774,0.008,0.003,1.150724252,0.461797244,5.778675957,0.002,0.077,0.689772913,10.66513378,1.660141976,0.007,0.036,34.9727178,19.38331071,0.724902677,NaN,0.011,0.004,0.217,0.022,17.07483945,8.27754748,1.002253858,4.870307402,1.118921734,2.03062126,NaN,0.036,0.003,1.416789134,0.671497165,7.465326063,5.052502435,NaN,NaN,0.170854016,96.38730067,0.006,169.7902897,0.317,924.7250758,1.505537717,17.10091457,0.013,16.57467236,3.58895378,NaN,1.072,1.067756693,1.421724252,2455.122233,535.8075787,2041.969492,948.9603196,892.2587385,58.30629937,409.7417448,12.22643717,1346.621069,47.16022717,1014.09997,37.21483378,65.54123047,88.051,50.427,3129.407812
MtC/yr,1966,0.297805354,0.696,2.298270079,NaN,0.423708031,NaN,0.095,17.21415575,0.941038456,0.151185649,32.81094488,10.70103654,9.086868197,0.298,0.177,0.866897585,0.073,14.12274767,28.68360913,0.022,0.031,0.055,NaN,0.113769869,1.984938795,NaN,17.52500964,0.003,0.134,13.29585323,0.028,0.013,0.127935118,70.70807063,0.006,0.023,0.023,5.123491496,142.3195723,6.406712913,0.005,0.084,NaN,0.270870236,0.338,2.163728884,4.140115984,2.189735363,0.338894567,33.16632576,12.99124252,0.655708031,13.66768858,0.038,0.004,0.455691811,0.659586378,7.241307402,0.355845906,0.007,NaN,3.857885775,0.224886457,0.038,NaN,0.087951339,8.048264409,94.87029866,0.033,0.104,0.009,2.477382284,259.6675746,0.393,5.082042205,0.106,0.008,0.474781024,0.196,0.018,0.322,0.082959449,0.219886457,1.408724252,16.83212898,0.407870236,46.858186,6.379626929,7.553515827,4.119775354,17.49545906,3.706710472,58.40127189,0.959610709,114.4227943,0.431586378,42.33513422,0.731464724,0.003,9.586,1.811157917,0.064,2.28493915,0.988791575,NaN,0.167,0.717,NaN,3.577024313,3.168764803,0.041,1.421200506,0.157943228,0.116951339,2.684059213,NaN,0.052,0.113,NaN,0.049,0.075,22.06456614,0.533,0.252774714,0.002,1.490051102,0.579748583,0.765845906,NaN,0.009,0.052,28.2635126,0.412,3.821034882,0.261910787,0.03698378,3.518897008,NaN,5.332988661,NaN,0.008,4.674066745,NaN,0.451837795,0.093,0.139967559,3.613824016,4.395223858,0.460927008,68.89492142,3.230102205,1.712,0.094,8.18292378,3.445197168,0.060083333,0.660803123,22.95051181,335.9490965,0.012,NaN,0.008,0.254309119,0.007,0.003,1.748724252,0.468789134,5.726105588,0.002,0.082,0.183570157,10.60491031,1.645031885,0.007,0.038,34.99860425,21.18368299,0.725910787,NaN,0.012,0.005,0.299,0.055,19.79185567,8.593231181,1.34031874,5.31156937,1.181613272,2.583361732,NaN,0.049,0.003,1.105764803,0.786472835,8.598734016,5.335638221,NaN,NaN,0.199870236,101.7769792,0.007,168.6885006,0.373943228,971.391692,1.473480945,18.05906643,0.021,15.54967236,5.235026772,NaN,0.945,0.954756693,1.648724252,2552.055944,574.8375962,2117.734237,1009.159303,907.2931362,60.33896685,442.7221038,12.19027496,1387.040266,54.29884031,1064.282329,37.2149311,68.78782806,95.264,65.385,3287.54254
MtC/yr,1967,0.349854016,0.731,2.301197087,NaN,0.270691811,NaN,0.154,17.87008276,0.983980705,0.186233485,35.24678268,10.89398787,9.501638429,0.464245748,0.274,0.920071169,0.092,14.76734215,29.3015848,0.033,0.039,0.058,NaN,0.140143984,2.004941843,NaN,18.03477301,0.001,0.12,15.04030173,0.028,0.013,0.113935118,76.86600331,0.005,0.025,0.032,5.25063748,117.9649446,6.737672362,0.005,0.088,NaN,0.238878346,0.371,2.185519917,4.295,2.697359507,0.371797244,33.0971221,14.29913709,0.624675591,13.38057504,0.024,0.006,0.42765937,0.706570157,5.362966772,0.315845906,0.007,NaN,4.033969438,0.292837795,0.046,NaN,0.096951339,7.802329291,101.6581065,0.038,0.276,0.009,2.590452158,255.5211293,0.408,5.323196299,0.114,0.01,0.540756693,0.198,0.013,0.361,0.070959449,0.238878346,1.651764803,16.0400722,0.393870236,46.96864823,6.697610709,5.014459055,4.474572598,18.52645906,3.692115984,63.90003835,1.054626929,133.5446038,0.38564315,44.26742482,0.736472835,0.006,6.938,1.893793814,0.087,2.389228093,0.972880787,NaN,0.167,5.047,NaN,3.740254398,3.097797244,0.045,1.435523433,0.229935118,0.099951339,2.764083543,NaN,0.061,0.142,NaN,0.054,0.136,24.56482811,0.58,0.25532219,0.002,1.476051102,0.510724252,0.986854016,NaN,0.013,0.058,29.11630984,0.402,3.719099764,0.294894567,0.035975669,3.500132205,NaN,5.268623701,NaN,0.037,4.960682296,NaN,0.462797244,0.119,0.13298378,3.722799685,4.969672362,0.515935118,70.6947211,3.381988661,1.824,0.125,9.583307402,3.605486354,0.072416667,0.796437349,25.11701709,351.2897225,0.011,NaN,0.009,0.313263023,0.007,0.003,6.95564315,0.190813465,5.783796093,0.002,0.069,0.833480945,10.58275711,1.661603723,0.009,0.062,36.50657992,23.57914205,0.803789134,NaN,0.014,0.005,0.364,0.062,18.81270157,8.875393386,1.256334961,5.996155748,1.235537336,3.316085984,NaN,0.054,0.004,1.264789134,0.841480945,9.137312283,5.579160421,NaN,NaN,0.220845906,106.414307,0.25,161.5876165,0.479837795,1007.996226,1.331537717,18.88321565,0.023,17.94551827,6.26697,NaN,0.833,1.30666748,1.445,2646.028275,577.3034586,2192.080125,1031.251608,916.9274401,64.6956911,449.120692,13.50633173,1417.798769,56.09684843,1109.555057,39.56483378,72.97351033,101.955,67.456,3392.742734
MtC/yr,1968,0.333894567,0.838,2.470042992,NaN,0.45565937,NaN,0.27,18.83439339,1.011616027,0.17317426,36.70766913,11.54397976,9.768570147,0.444245748,0.301,1.055039053,0.12,15.18217802,32.32466591,0.028,0.042,0.061,NaN,0.130316687,2.144363326,NaN,21.08934857,0.004,0.117,16.22912331,0.028,0.015,0.133935118,82.76783299,0.00799189,0.05,0.034,5.78663748,127.6762126,7.252388504,0.005,0.123,NaN,0.282854016,0.436,2.337422711,4.372140315,2.508212931,0.442740472,34.627671,16.17603165,0.918675591,14.53948583,0.033,0.006,0.64064315,0.849521496,6.242528819,0.343829685,0.008,NaN,4.147290085,0.470805354,0.05,NaN,0.107943228,9.083369843,105.1039954,0.042,0.535,0.01,2.663219269,268.7747854,0.480748583,6.082498819,0.148,0.011,0.583805354,0.204,0.017,0.363,0.071951339,0.333854016,1.691586378,16.67391,0.434886457,51.06566909,7.522545827,5.375459055,4.858507717,22.4698589,3.764783465,68.00550228,1.058545827,153.3604132,0.410472835,45.51097302,0.768399843,0.009,6.12,1.946972949,0.046,2.456344326,1.008002441,NaN,0.240943228,8.219,NaN,3.845300525,3.345789134,0.046,1.535353157,0.248927008,0.105935118,2.87397,NaN,0.054,0.174,NaN,0.064,0.174,25.62424417,0.676918898,0.273077904,0.002,1.533905118,0.757683701,0.798805354,NaN,0.013,0.069,30.96221252,0.502,3.677156535,0.335886457,0.043975669,1.808367402,NaN,5.762469606,NaN,0.044,5.688276459,NaN,0.550821575,0.137,0.160975669,3.953775354,6.065169528,0.593918898,75.27320205,3.54594811,1.931,0.138,10.15205843,3.709368645,0.070583333,0.776254462,27.31424661,361.1640967,0.015,0.001,0.01,0.291296123,0.008,0.004,7.936440394,0,6.185918727,0.002,0.099,1.477375512,11.07216766,1.777117699,0.01,0.042,37.65113386,26.47850378,0.883756693,NaN,0.011,0.006,0.396,0.076,21.18068535,9.820231181,1.62498622,6.588596142,1.270240228,4.660388504,NaN,0.053,0.004,1.101764803,0.980440394,9.897785118,5.735881205,NaN,NaN,0.267829685,109.3968226,0.339,165.526284,0.450829685,1044.843355,1.331432283,19.41359825,0.017,17.8963074,6.441294409,NaN,3.176,1.246626929,1.740626929,2775.044944,623.9962519,2307.527095,1091.5141,967.7267503,70.21891496,493.2687328,13.91034228,1484.223517,64.39878843,1153.394432,41.0977689,78.50769904,107.758,58.55278102,3565.351976
