Regulatory Class,Vehicle Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,7+ Gears,Average Number of Gears,Transmission - CVT (Non-Hybrid)
"All","All","1975","10224","1.000000","15.33300","13.05970","12.01552","14.61167","680.59612","739.73800","608.31160","4060.399","-","292.6905","137.3346","-","0.507375","0.033475","26.90068","0.053","0.033","0.914","0.230","0.768","0.002","0.000","0.000","0.957","undefined","0.041","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","undefined","undefined","0.000","-","undefined","-","-","0.000"
"All","All","1976","12334","1.000000","16.70719","14.22136","13.18117","15.73946","625.02238","674.34147","564.74348","4079.198","-","293.5049","135.0839","-","0.492877","0.032768","29.32518","0.046","0.048","0.906","0.209","0.791","0.000","0.000","0.000","0.973","undefined","0.025","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","undefined","undefined","0.000","-","undefined","-","-","0.000"
"All","All","1977","14123","1.000000","17.70553","15.06743","14.00580","16.60587","589.99880","634.71366","535.34732","3981.818","-","286.9026","135.9847","-","0.509580","0.033904","30.37961","0.055","0.047","0.898","0.198","0.802","0.000","0.000","0.000","0.962","undefined","0.034","0.000","0.000","0.004","0.000","0.000","0.000","0.000","0.000","0.996","undefined","undefined","0.000","-","undefined","-","-","0.000"
"All","All","1978","14448","1.000000","18.60678","15.83777","14.68193","17.52390","561.62442","605.82637","507.59981","3715.238","-","265.6693","129.0248","13.6221","0.525110","0.034391","29.88164","0.074","0.066","0.860","0.227","0.719","0.055","0.000","0.000","0.952","undefined","0.039","0.000","0.000","0.009","0.000","0.000","0.000","0.000","0.000","0.991","undefined","undefined","0.000","-","undefined","-","-","0.000"
"All","All","1979","13882","1.000000","18.69594","15.91271","14.87711","17.39245","559.69495","598.63764","512.09833","3655.465","-","251.6963","123.5922","14.6176","0.531586","0.033539","29.52594","0.092","0.043","0.865","0.242","0.681","0.073","0.000","0.004","0.942","undefined","0.037","0.001","0.000","0.020","0.000","0.000","0.000","0.000","0.000","0.980","undefined","undefined","0.000","-","undefined","0.000","3.3","0.000"
"All","All","1980","11306","1.000000","22.49959","19.16493","17.61932","21.46650","465.93524","506.80269","415.98614","3227.876","-","197.7785","103.8276","15.5709","0.573988","0.032018","31.15493","0.250","0.049","0.701","0.346","0.468","0.181","0.000","0.005","0.897","undefined","0.052","0.008","0.000","0.043","0.000","0.000","0.000","0.000","0.000","0.957","undefined","undefined","0.000","-","undefined","0.000","3.5","0.000"
"All","All","1981","10554","1.000000","24.08684","20.52057","18.83051","23.04893","436.03635","475.18566","388.18720","3201.759","-","193.1561","102.1236","15.5819","0.579505","0.031831","33.11470","0.310","0.040","0.650","0.336","0.329","0.330","0.000","0.005","0.867","undefined","0.051","0.024","0.000","0.059","0.000","0.000","0.000","0.000","0.000","0.941","undefined","undefined","0.000","-","undefined","0.000","3.5","0.000"
"All","All","1982","9732","1.000000","24.72003","21.07205","19.20172","23.91969","424.63837","465.95156","374.14447","3201.843","-","188.3762","102.9528","16.6275","0.592620","0.031982","34.10417","0.370","0.046","0.584","0.324","0.194","0.478","0.000","0.004","0.806","undefined","0.058","0.080","0.000","0.056","0.000","0.000","0.000","0.000","0.000","0.944","undefined","undefined","0.000","-","undefined","0.000","3.6","0.000"
"All","All","1983","10302","1.000000","24.57398","20.95239","19.04058","23.88334","425.53494","468.23629","373.34441","3257.340","-","192.8755","106.9483","14.9333","0.599169","0.032652","34.52606","0.370","0.081","0.548","0.305","0.170","0.521","0.000","0.004","0.752","undefined","0.073","0.148","0.000","0.027","0.000","0.000","0.000","0.000","0.000","0.973","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"All","All","1984","14020","1.000000","24.62690","21.00023","19.05715","23.98980","424.02812","467.23590","371.21860","3261.576","-","189.5706","108.5963","14.7210","0.617954","0.033182","34.69726","0.421","0.082","0.498","0.284","0.188","0.528","0.000","0.000","0.676","undefined","0.119","0.187","0.000","0.018","0.000","0.000","0.000","0.000","0.000","0.982","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"All","All","1985","14460","1.000000","24.99788","21.31942","19.31764","24.41114","417.30522","460.53346","364.47071","3271.127","-","188.7160","114.1306","14.0886","0.649550","0.034740","35.27731","0.478","0.093","0.429","0.265","0.191","0.545","0.000","0.000","0.561","undefined","0.182","0.248","0.000","0.009","0.000","0.000","0.000","0.000","0.000","0.991","undefined","undefined","0.000","-","undefined","0.000","3.8","0.000"
"All","All","1986","15365","1.000000","25.70336","21.84433","19.75389","24.99472","407.03768","450.10437","355.74272","3237.974","-","179.7823","114.3758","13.4284","0.678335","0.035127","35.69260","0.526","0.093","0.380","0.298","0.167","0.535","0.000","0.000","0.414","undefined","0.325","0.257","0.000","0.004","0.000","0.000","0.000","0.000","0.000","0.996","undefined","undefined","0.000","0.034","undefined","0.000","3.8","0.000"
"All","All","1987","14865","1.000000","25.93475","21.97197","19.75719","25.26006","404.60524","449.95539","351.94510","3220.507","-","175.0937","117.6397","13.4193","0.710250","0.036150","35.67631","0.577","0.096","0.328","0.291","0.155","0.554","0.000","0.000","0.284","undefined","0.399","0.314","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.997","undefined","undefined","0.000","0.106","undefined","0.000","3.9","0.000"
"All","All","1988","15295","1.000000","25.89015","21.86353","19.57179","25.20576","406.51876","454.11969","352.61548","3283.465","-","180.1612","123.4690","13.2869","0.726320","0.037208","36.20474","0.600","0.105","0.295","0.276","0.102","0.622","0.000","0.000","0.150","undefined","0.506","0.343","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.140","undefined","0.000","3.9","0.000"
"All","All","1989","14453","1.000000","25.44038","21.42049","19.07833","24.78156","414.92705","465.86478","358.65232","3351.457","-","184.5349","128.7480","12.5185","0.743014","0.038215","36.18040","0.602","0.105","0.293","0.246","0.099","0.655","0.000","0.000","0.087","undefined","0.573","0.339","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.169","undefined","0.000","3.9","0.001"
"All","All","1990","12615","1.000000","25.19557","21.15752","18.72132","24.61039","420.08667","474.75185","361.14877","3426.038","-","185.3140","135.3422","11.4777","0.780608","0.039411","36.50111","0.638","0.101","0.261","0.222","0.065","0.712","0.000","0.000","0.021","undefined","0.708","0.270","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.231","undefined","0.000","4.0","0.000"
"All","All","1991","12573","1.000000","25.40027","21.25642","18.75908","24.71816","418.15476","473.82065","359.59491","3409.555","-","183.7081","137.9169","11.4478","0.796439","0.040245","36.48030","0.596","0.123","0.281","0.239","0.045","0.716","0.000","0.000","0.006","undefined","0.706","0.287","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.231","undefined","0.000","4.0","0.000"
"All","All","1992","12172","1.000000","24.89826","20.79365","18.19781","24.36403","427.42784","488.39741","364.79234","3512.305","-","191.1891","145.2572","10.9925","0.806972","0.041259","36.76553","0.584","0.112","0.304","0.207","0.045","0.748","0.000","0.000","0.005","undefined","0.816","0.178","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.233","undefined","0.000","4.0","0.000"
"All","All","1993","13211","1.000000","25.08691","20.87940","18.22812","24.44455","425.63491","487.54351","363.55755","3518.930","-","191.1953","146.8406","10.2544","0.809248","0.041567","36.97437","0.599","0.113","0.288","0.198","0.037","0.765","0.000","0.000","0.003","undefined","0.850","0.146","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.235","undefined","0.000","4.0","0.000"
"All","All","1994","14125","1.000000","24.56115","20.37752","17.77373","23.78827","436.12068","500.01065","373.58978","3603.432","-","196.6789","152.2823","10.0902","0.816480","0.042046","36.99841","0.556","0.152","0.292","0.195","0.030","0.776","0.000","0.000","0.001","undefined","0.877","0.121","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.267","undefined","0.000","4.1","0.000"
"All","All","1995","15145","1.000000","24.74933","20.48563","17.72570","24.06812","433.83372","501.38187","369.25888","3612.509","-","196.2498","158.1889","10.0982","0.857324","0.043782","37.33884","0.576","0.162","0.263","0.179","0.014","0.807","0.000","0.000","0.000","undefined","0.916","0.084","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.356","undefined","0.000","4.1","0.000"
"All","All","1996","13144","1.000000","24.75578","20.43168","17.60332","24.03690","435.00690","504.89874","369.76297","3658.786","-","196.5928","163.9606","10.3503","0.877562","0.044723","37.62792","0.600","0.157","0.243","0.152","0.013","0.835","0.000","0.000","0.000","undefined","0.993","0.007","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.002","undefined","0.000","0.393","undefined","0.000","4.1","0.000"
"All","All","1997","14458","1.000000","24.49902","20.15038","17.35297","23.62041","441.06037","512.16145","376.26591","3727.285","-","199.1879","169.2409","10.2274","0.890139","0.045232","37.72522","0.561","0.190","0.249","0.140","0.005","0.855","0.000","0.000","0.000","undefined","0.995","0.005","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.004","undefined","0.000","0.396","undefined","0.000","4.1","0.000"
"All","All","1998","14456","1.000000","24.50169","20.09648","17.22728","23.59384","442.26071","515.91793","376.70460","3744.005","-","198.7806","171.4710","10.4367","0.903990","0.045702","37.88317","0.564","0.201","0.235","0.128","0.005","0.867","0.000","0.000","0.000","undefined","0.998","0.001","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.008","undefined","0.000","0.409","undefined","0.000","4.1","0.000"
"All","All","1999","15215","1.000000","24.08907","19.69506","16.87145","23.04703","451.26399","526.78681","385.63273","3835.375","-","203.0776","178.9020","10.2646","0.921254","0.046528","37.96894","0.558","0.213","0.229","0.101","0.005","0.894","0.000","0.000","0.000","undefined","0.999","0.001","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.014","undefined","0.000","0.434","undefined","0.000","4.1","0.000"
"All","All","2000","16571","1.000000","24.27921","19.76896","16.93153","23.04602","449.58574","524.92714","385.65762","3821.286","-","199.8468","180.9861","9.7590","0.942142","0.047218","37.95845","0.555","0.202","0.243","0.097","0.007","0.895","0.000","0.000","0.000","undefined","0.998","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.998","0.013","undefined","0.000","0.448","0.150","0.000","4.1","0.000"
"All","All","2001","15605","1.000000","24.19433","19.62363","16.80797","22.78645","452.92118","528.79289","390.05579","3879.288","-","200.8251","186.9203","9.4630","0.968170","0.048042","38.32948","0.538","0.220","0.242","0.090","0.006","0.903","0.001","0.000","0.000","undefined","0.999","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.001","0.997","0.020","undefined","0.000","0.490","0.196","0.000","4.2","0.000"
"All","All","2002","16115","1.000000","24.06741","19.45354","16.63745","22.54129","456.90374","534.23893","394.31726","3950.932","-","203.4149","195.4821","9.4289","0.993908","0.049324","38.66202","0.527","0.250","0.223","0.082","0.003","0.914","0.001","0.000","0.000","undefined","0.998","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.002","0.996","0.022","undefined","0.000","0.533","0.253","0.000","4.2","0.001"
"All","All","2003","15773","1.000000","24.30914","19.58451","16.67734","22.71480","453.84039","532.95120","391.29896","3998.835","-","204.1998","198.5784","9.2836","1.006980","0.049573","39.36770","0.507","0.250","0.243","0.080","0.001","0.908","0.003","0.000","0.000","undefined","0.998","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.003","0.995","0.012","undefined","0.000","0.555","0.306","0.000","4.3","0.008"
"All","All","2004","15709","1.000000","24.00184","19.29860","16.34174","22.43337","460.55651","543.88909","396.19983","4111.072","-","212.0042","210.5212","9.0682","1.026391","0.051075","39.85446","0.477","0.298","0.224","0.068","0.003","0.918","0.004","0.000","0.000","undefined","0.999","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.005","0.994","0.023","undefined","0.000","0.623","0.385","0.002","4.4","0.007"
"All","All","2005","15892","1.000000","24.84970","19.88375","16.78872","23.09573","447.07229","529.49006","384.89749","4059.441","-","204.9599","209.0953","9.0024","1.049443","0.051189","40.61517","0.530","0.268","0.202","0.062","0.001","0.915","0.010","0.000","0.000","undefined","0.997","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.011","0.986","0.017","undefined","0.008","0.656","0.458","0.002","4.5","0.013"
"All","All","2006","15104","1.000000","25.16908","20.13330","16.98233","23.41006","441.57021","523.49373","379.76825","4066.533","-","204.1170","213.1841","8.9232","1.073300","0.052209","41.24412","0.519","0.258","0.223","0.065","0.000","0.906","0.015","0.000","0.000","undefined","0.996","0.000","0.000","0.004","0.000","0.000","0.000","0.000","0.015","0.981","0.021","undefined","0.036","0.717","0.554","0.014","4.6","0.014"
"All","All","2007","15276","1.000000","25.78828","20.60390","17.38117","23.95452","431.37448","511.35658","371.03710","4093.315","-","202.5384","216.9897","8.9147","1.098954","0.052548","42.49393","0.543","0.261","0.196","0.056","0.000","0.871","0.021","0.000","0.000","undefined","0.998","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.022","0.977","0.025","undefined","0.073","0.717","0.573","0.018","4.8","0.051"
"All","All","2008","13898","1.000000","26.26150","20.96833","17.67455","24.39839","423.90716","502.90278","364.31396","4085.003","48.85985","198.9670","218.5559","8.9327","1.121765","0.052924","43.17073","0.542","0.273","0.185","0.052","0.002","0.868","0.024","0.000","0.000","0.023","0.976","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.025","0.974","0.030","undefined","0.067","0.764","0.582","0.020","4.8","0.055"
"All","All","2009","9316","1.000000","28.19485","22.40281","18.91546","26.03912","396.92541","470.10420","341.49614","3914.193","47.93705","182.9433","207.7209","8.8040","1.155817","0.052327","44.17351","0.629","0.235","0.136","0.048","0.002","0.856","0.021","0.000","0.000","0.042","0.952","0.000","0.000","0.005","0.000","0.000","0.000","0.000","0.023","0.972","0.033","undefined","0.073","0.838","0.715","0.026","5.0","0.073"
"All","All","2010","11116","1.000000","28.44213","22.59206","19.11219","26.18930","393.65429","465.33221","339.58148","4001.323","48.54913","187.5701","213.6361","8.7827","1.159519","0.052736","45.94330","0.596","0.267","0.137","0.038","0.012","0.841","0.038","0.000","0.000","0.083","0.910","0.000","0.000","0.007","0.000","0.000","0.000","0.000","0.038","0.955","0.033","undefined","0.064","0.855","0.838","0.028","5.2","0.072"
