Vehicle Type,Engine Package,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Transmission - CVT (Non-Hybrid)
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1986","3624.678","0.329072","29.68222","25.22388","22.75674","28.96333","352.32483","390.52162","306.83629","2878.812","-","162.5999","96.0186","14.1444","0.649629","0.032784","36.54116","0.651","0.021","0.328","0.330","0.167","0.503","0.000","0.000","0.000"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1987","2038.981","0.190000","29.12349","24.65358","22.22576","28.23269","360.47504","399.85134","314.77696","2929.337","-","167.8682","99.0319","14.3980","0.656270","0.033025","36.19739","0.617","0.035","0.348","0.309","0.154","0.536","0.000","0.000","0.000"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1988","861.330","0.080230","31.00108","26.11191","23.61703","29.65127","340.34278","376.29619","299.71732","2906.982","-","163.1823","92.3954","15.1333","0.654884","0.031003","37.80002","0.649","0.006","0.344","0.379","0.087","0.534","0.000","0.000","0.000"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1989","421.649","0.042088","32.18608","26.98375","24.42597","30.50043","329.34635","363.83409","291.37290","2840.073","-","139.2359","83.8348","15.1677","0.685613","0.029154","37.99888","0.766","0.002","0.232","0.457","0.095","0.449","0.000","0.000","0.000"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1990","32.705","0.003712","22.75000","19.19917","16.54423","23.22742","462.88454","537.16611","382.60812","4500.000","-","305.0000","140.0000","12.2451","0.459016","0.031111","43.19814","0.000","0.000","1.000","0.000","0.000","1.000","0.000","0.000","0.000"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1991","0.809","0.000095","33.93085","28.01115","26.29480","30.03508","317.26654","337.97560","295.88738","2045.426","-","71.9975","56.5439","15.2650","0.786135","0.027656","28.63407","1.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1992","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1993","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1994","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","Carb, Fixed Valve Timing, Two-Valve","1995","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
