Variable_name,File,Sheet_name,File_format,Rownames
annual_mileage_TEDB,inputs/data/annual_mileage_TEDB.csv,,.csv,
battery_material_composition,inputs/user/battery_material_composition.csv,,.csv,
bnef_ev,inputs/user/bnef_ev.csv,,.csv,
c2g_rel_subcpt_wgt,inputs/data/C2G_rel_subcpt_wgt.csv,,.csv,
coef_alonso_equation,inputs/user/coef_alonso_equation.csv,,.csv,
coef_fc_changes_equation,inputs/user/coef_fc_changes_equation.csv,,.csv,
coef_mackenzie_equation,inputs/user/coef_mackenzie_equation.csv,,.csv,
component_material_comp_acsm,inputs/data/component_material_comp_ACSM.csv,,.csv,
component_material_comp_adj,inputs/data/component_material_comp_adj.csv,,.csv,
conversion_units,inputs/user/conversion_units.csv,,.csv,1
dgwi_dt,inputs/data/dgwi_dt.csv,,.csv,
EF_assembly_greet,inputs/data/EF_assembly_GREET.csv,,.csv,
EF_elec_GREET,inputs/data/EF_elec_GREET.csv,,.csv,
EF_fuel_greet,inputs/data/EF_fuel_GREET.csv,,.csv,
EF_lit_review,inputs/data/EF_lit_review.csv,,.csv,
EF_mat_prod_greet,inputs/data/EF_mat_prod_GREET.csv,,.csv,
EF_mat_trans_greet,inputs/data/EF_mat_trans_GREET.csv,,.csv,
ef_us_elec,inputs/data/EF_us_elec_prod.csv,,.csv,
epa_fleet_fc_hist,inputs/model/epa_fleet_fc_hist.csv,,.csv,
epa_fleet_wgt_hist,inputs/model/epa_fleet_wgt_hist.csv,,.csv,
ev_bat_size,inputs/model/battery_capacity_ev_hist.csv,,.csv,
fc_degra_factor_vision,inputs/data/fc_degra_factor_vision.csv,,.csv,
fc_ev_hist,inputs/model/fc_ev_hist.csv,,.csv,
fleet_mt_comp_hist,inputs/model/fleet_mt_comp_hist.csv,,.csv,
fleet_sales_hist,inputs/model/fleet_sales_hist.csv,,.csv,
fleet_sales_proj_aeo,inputs/model/fleet_sales_proj_aeo.csv,,.csv,
fleet_sales_reg_hist_aeo_14-19,inputs/model/fleet_sales_reg_hist_aeo_14-19.csv,,.csv,
fleet_sales_reg_proj_aeo,inputs/model/fleet_sales_reg_proj_aeo.csv,,.csv,
fleet_stock_hist,inputs/model/fleet_stock_hist.csv,,.csv,
fleet_stock_proj_aeo,inputs/model/fleet_stock_proj_aeo.csv,,.csv,
fuel_conversion,inputs/user/fuel_conversion.csv,,.csv,
fuel_price_aeo,inputs/model/fuel_price_aeo.csv,,.csv,
fuel_specs,inputs/user/fuel_specs.csv,,.csv,1
gcam_ef_elec,inputs/model/gcam_ef_electricity.csv,,.csv,
gcam_ldv_emissions,inputs/model/gcam_ldv_emissions.csv,,.csv,
gcam_ldv_on_road_stock,inputs/model/gcam_ldv_on_road_stock.csv,,.csv,
greet_battery,inputs/data/GREET_bat&FC_2017.csv,,.csv,
greet_battery_size,inputs/data/greet_ev_bat_size.csv,,.csv,
greet_rel_cpt_wgt_2017,inputs/data/GREET_rel_cpt_wgt_2017.csv,,.csv,
greet_wgt_2017,inputs/data/GREET_wgt_2017.csv,,.csv,
lca_process,inputs/user/lca_process.csv,,.csv,
lit_rev_ldv_co2_budget,inputs/model/lit_rev_ldv_co2_budget.csv,,.csv,
lw_subsitution_scen,inputs/user/lw_subsitution_scen.csv,,.csv,
mackenzie_pwt_components,inputs/user/mackenzie_pwt_components.csv,,.csv,
model_matching_component,inputs/user/model_matching.xlsx,component,.xlsx,
model_matching_electricity,inputs/user/model_matching.xlsx,electricity,.xlsx,
model_matching_fuel,inputs/user/model_matching.xlsx,fuel,.xlsx,
model_matching_geo,inputs/user/model_matching.xlsx,geography,.xlsx,
model_matching_material,inputs/user/model_matching.xlsx,material,.xlsx,
model_matching_size,inputs/user/model_matching.xlsx,size,.xlsx,
model_matching_technology,inputs/user/model_matching.xlsx,vehicle_technology,.xlsx,
model_matching_us_geo,inputs/user/model_matching.xlsx,geography,.xlsx,
model_matching_us_state,inputs/user/model_matching.xlsx,us_state,.xlsx,
new_scrap_rate,inputs/data/new_scrap_rate.csv,,.csv,
prim_sec_share,inputs/data/prim_sec_share.csv,,.csv,
rcp_concentration_dt,inputs/data/rcp_co2_concentration_from_magicc.csv,,.csv,
recovery_rate_hist,inputs/data/recovery_rate_hist.csv,,.csv,
recovery_rate_scen,inputs/data/recovery_rate_scen.csv,,.csv,
ssp_diagnostic_dt,inputs/data/ssp_diagnostic.csv,,.csv,
substitution_factor,inputs/data/substitution_factor.csv,,.csv,
survival_rates,inputs/model/survival_rates.csv,,.csv,
us_elec_mix_hist,inputs/model/us_elec_mix_hist.csv,,.csv,
us_elec_mix_proj,inputs/model/us_elec_mix_proj.csv,,.csv,
us_elec_mix_reg_hist,inputs/model/us_elec_mix_reg_hist.csv,,.csv,
us_elec_mix_reg_proj,inputs/model/us_elec_mix_reg_proj.csv,,.csv,
vehicle_specifications,inputs/user/vehicle_specifications.csv,,.csv,
vehicle_specifications_dyn,inputs/user/vehicle_specifications_dyn.csv,,.csv,
vision_fe_hist,inputs/data/vision_fe_hist.csv,,.csv,
vkt_lifetime,inputs/data/vkt_lifetime.csv,,.csv,
wsj_ihs_ms,inputs/user/wsj_ihs_ms.csv,,.csv,
ipcc_gwp,inputs/data/ipcc_gwp.csv,,.csv,
battery_market_share,inputs/user/battery_market_share.csv,,.csv,
fuel_consumption_degradation,inputs/user/fuel_consumption_degradation.csv,,.csv,
efuel_parameters,inputs/user/efuel_parameters.csv,,.csv,
