"Model_year","Size","Technology","Fuel_type","Value","Source","Unit"
"1986","Car","ICEV-G","Gasoline","9.92433099374693","epa","L/100km"
"1986","Car","ICEV-D","Diesel","5.98984873636045","epa","L/100km"
"1987","Car","ICEV-G","Gasoline","9.8820465355675","epa","L/100km"
"1987","Car","ICEV-D","Diesel","7.99946973157464","epa","L/100km"
"1988","Car","ICEV-G","Gasoline","9.74044728558416","epa","L/100km"
"1988","Car","ICEV-D","Diesel","6.55752447356469","epa","L/100km"
"1989","Car","ICEV-G","Gasoline","9.92209728763206","epa","L/100km"
"1989","Car","ICEV-D","Diesel","5.42066174243847","epa","L/100km"
"1990","Car","ICEV-G","Gasoline","10.0811918484915","epa","L/100km"
"1990","Car","ICEV-D","Diesel","6.74149762237887","epa","L/100km"
"1991","Car","ICEV-G","Gasoline","10.0423233047174","epa","L/100km"
"1991","Car","ICEV-D","Diesel","7.0410662391238","epa","L/100km"
"1992","Car","ICEV-G","Gasoline","10.196555933196","epa","L/100km"
"1992","Car","ICEV-D","Diesel","7.70407611009546","epa","L/100km"
"1993","Car","ICEV-G","Gasoline","10.026564164641","epa","L/100km"
"1994","Car","ICEV-G","Gasoline","10.106746088017","epa","L/100km"
"1994","Car","ICEV-D","Diesel","8.93473329026617","epa","L/100km"
"1995","Car","ICEV-G","Gasoline","10.0341525602076","epa","L/100km"
"1995","Car","ICEV-D","Diesel","7.41969141156968","epa","L/100km"
"1996","Car","ICEV-G","Gasoline","10.0832066730649","epa","L/100km"
"1996","Car","ICEV-D","Diesel","5.98956758552321","epa","L/100km"
"1997","Car","ICEV-G","Gasoline","10.0659968656514","epa","L/100km"
"1997","Car","ICEV-D","Diesel","6.16945320096637","epa","L/100km"
"1998","Car","ICEV-G","Gasoline","10.0726809335944","epa","L/100km"
"1998","Car","ICEV-D","Diesel","5.568781843292","epa","L/100km"
"1999","Car","ICEV-G","Gasoline","10.3672814827364","epa","L/100km"
"1999","Car","ICEV-D","Diesel","5.82828020883988","epa","L/100km"
"1999","Light truck","ICEV-G","Gasoline","14.1505528687945","epa","L/100km"
"1999","Light truck","ICEV-D","Diesel","13.2925670449547","epa","L/100km"
"2000","Car","ICEV-G","Gasoline","10.4569213586246","epa","L/100km"
"2000","Car","ICEV-D","Diesel","5.28148479284657","epa","L/100km"
"2000","Light truck","ICEV-G","Gasoline","13.9679103886248","epa","L/100km"
"2001","Car","ICEV-G","Gasoline","10.4024268065219","epa","L/100km"
"2001","Car","ICEV-D","Diesel","5.37834232365012","epa","L/100km"
"2001","Light truck","ICEV-G","Gasoline","14.2447278198807","epa","L/100km"
"2002","Car","ICEV-G","Gasoline","10.3391395579159","epa","L/100km"
"2002","Car","ICEV-D","Diesel","5.53780432974238","epa","L/100km"
"2002","Light truck","ICEV-G","Gasoline","14.2724576607657","epa","L/100km"
"2003","Car","ICEV-G","Gasoline","10.2348039408151","epa","L/100km"
"2003","Car","ICEV-D","Diesel","5.36727021601362","epa","L/100km"
"2003","Light truck","ICEV-G","Gasoline","14.0996157155374","epa","L/100km"
"2004","Car","ICEV-G","Gasoline","10.3003947293371","epa","L/100km"
"2004","Car","ICEV-D","Diesel","5.98382287551652","epa","L/100km"
"2004","Light truck","ICEV-G","Gasoline","14.2473487941724","epa","L/100km"
"2004","Light truck","ICEV-D","Diesel","11.1434657956233","epa","L/100km"
"2005","Car","ICEV-G","Gasoline","10.1729958506811","epa","L/100km"
"2005","Car","ICEV-D","Diesel","6.54631648015791","epa","L/100km"
"2005","Light truck","ICEV-G","Gasoline","13.9231421283106","epa","L/100km"
"2005","Light truck","ICEV-D","Diesel","9.29478872906095","epa","L/100km"
"2006","Car","ICEV-G","Gasoline","10.2341705099596","epa","L/100km"
"2006","Car","ICEV-D","Diesel","6.20357979844929","epa","L/100km"
"2006","Light truck","ICEV-G","Gasoline","13.702617780597","epa","L/100km"
"2006","Light truck","ICEV-D","Diesel","9.82764159835945","epa","L/100km"
"2007","Car","ICEV-G","Gasoline","9.92445660672369","epa","L/100km"
"2007","Car","ICEV-D","Diesel","8.11905627459086","epa","L/100km"
"2007","Light truck","ICEV-G","Gasoline","13.5590503033814","epa","L/100km"
"2007","Light truck","ICEV-D","Diesel","9.91561844347031","epa","L/100km"
"2008","Car","ICEV-G","Gasoline","9.85077820071075","epa","L/100km"
"2008","Car","ICEV-D","Diesel","8.0190408115283","epa","L/100km"
"2008","Light truck","ICEV-G","Gasoline","13.2142217304522","epa","L/100km"
"2008","Light truck","ICEV-D","Diesel","10.0243752102318","epa","L/100km"
"2009","Car","ICEV-G","Gasoline","9.43466301569216","epa","L/100km"
"2009","Car","ICEV-D","Diesel","6.04284757856077","epa","L/100km"
"2009","Light truck","ICEV-G","Gasoline","12.7019621860636","epa","L/100km"
"2009","Light truck","ICEV-D","Diesel","9.83548460988242","epa","L/100km"
"2010","Car","ICEV-G","Gasoline","9.17268735301316","epa","L/100km"
"2010","Car","ICEV-D","Diesel","5.88404785007968","epa","L/100km"
"2010","Car","AFV","Gasoline","3.90913118825244","epa","L/100km"
"2010","Light truck","ICEV-G","Gasoline","12.5392758981193","epa","L/100km"
"2010","Light truck","ICEV-D","Diesel","9.72304348228292","epa","L/100km"
"2011","Car","ICEV-G","Gasoline","9.29863159914992","epa","L/100km"
"2011","Car","ICEV-D","Diesel","6.20133275828545","epa","L/100km"
"2011","Car","AFV","Gasoline","3.27419591271398","epa","L/100km"
"2011","Light truck","ICEV-G","Gasoline","12.3262054639229","epa","L/100km"
"2011","Light truck","ICEV-D","Diesel","9.54375655416523","epa","L/100km"
"2011","Light truck","AFV","Gasoline","25.4986990751863","epa","L/100km"
"2012","Car","ICEV-G","Gasoline","8.80335064764682","epa","L/100km"
"2012","Car","ICEV-D","Diesel","5.99987738352952","epa","L/100km"
"2012","Car","AFV","Gasoline","3.9429514118367","epa","L/100km"
"2012","Light truck","ICEV-G","Gasoline","12.211367712477","epa","L/100km"
"2012","Light truck","ICEV-D","Diesel","9.38772582847876","epa","L/100km"
"2012","Light truck","AFV","Gasoline","20.2190202227558","epa","L/100km"
"2013","Car","ICEV-G","Gasoline","8.58341015421685","epa","L/100km"
"2013","Car","ICEV-D","Diesel","5.96181698314312","epa","L/100km"
"2013","Car","AFV","Gasoline","3.37747858898857","epa","L/100km"
"2013","Light truck","ICEV-G","Gasoline","11.9167126169123","epa","L/100km"
"2013","Light truck","ICEV-D","Diesel","8.76308137952938","epa","L/100km"
"2013","Light truck","AFV","Gasoline","25.7337871325877","epa","L/100km"
"2014","Car","ICEV-G","Gasoline","8.59595538015571","epa","L/100km"
"2014","Car","ICEV-D","Diesel","5.98610687852782","epa","L/100km"
"2014","Car","AFV","Gasoline","3.49827335692188","epa","L/100km"
"2014","Light truck","ICEV-G","Gasoline","11.5806036514504","epa","L/100km"
"2014","Light truck","ICEV-D","Diesel","8.26627954773296","epa","L/100km"
"2014","Light truck","AFV","Gasoline","25.7337871325877","epa","L/100km"
"2015","Car","ICEV-G","Gasoline","8.41315355208431","epa","L/100km"
"2015","Car","ICEV-D","Diesel","5.80481712716301","epa","L/100km"
"2015","Car","AFV","Gasoline","3.04628953222955","epa","L/100km"
"2015","Light truck","ICEV-G","Gasoline","11.1897630525874","epa","L/100km"
"2015","Light truck","ICEV-D","Diesel","8.52600129029627","epa","L/100km"
"2015","Light truck","AFV","Gasoline","8.88287842341639","epa","L/100km"
"2016","Car","ICEV-G","Gasoline","8.31758024363164","epa","L/100km"
"2016","Car","ICEV-D","Diesel","6.26703674980199","epa","L/100km"
"2016","Car","AFV","Gasoline","3.08767687553496","epa","L/100km"
"2016","Light truck","ICEV-G","Gasoline","11.1107736842578","epa","L/100km"
"2016","Light truck","ICEV-D","Diesel","8.67174350472754","epa","L/100km"
"2016","Light truck","AFV","Gasoline","8.34191120555835","epa","L/100km"
"2017","Car","ICEV-G","Gasoline","8.18729785537914","epa","L/100km"
"2017","Car","ICEV-D","Diesel","5.50896229492502","epa","L/100km"
"2017","Car","AFV","Gasoline","3.04184144747879","epa","L/100km"
"2017","Light truck","ICEV-G","Gasoline","11.0300424978185","epa","L/100km"
"2017","Light truck","ICEV-D","Diesel","8.5733332386691","epa","L/100km"
"2017","Light truck","AFV","Gasoline","7.38801477818457","epa","L/100km"
"2018","Car","ICEV-G","Gasoline","8.09289867063028","epa","L/100km"
"2018","Car","ICEV-D","Diesel","5.76548730831503","epa","L/100km"
"2018","Car","AFV","Gasoline","2.83109627524593","epa","L/100km"
"2018","Light truck","ICEV-G","Gasoline","10.778161251989","epa","L/100km"
"2018","Light truck","ICEV-D","Diesel","8.44004095538696","epa","L/100km"
"2018","Light truck","AFV","Gasoline","5.45650155937068","epa","L/100km"
"2019","Car","ICEV-G","Gasoline","8.0498285849371","epa","L/100km"
"2019","Car","ICEV-D","Diesel","5.87068546599945","epa","L/100km"
"2019","Car","AFV","Gasoline","2.63968444857517","epa","L/100km"
"2019","Light truck","ICEV-G","Gasoline","10.7286836254898","epa","L/100km"
"2019","Light truck","ICEV-D","Diesel","8.54435771001715","epa","L/100km"
"2019","Light truck","AFV","Gasoline","5.00305246185122","epa","L/100km"
