"Model_year","Size","Technology","Value","Source","Unit"
"1986","All","All",1379.22610197353,"epa","kg"
"1986","Car","All",1379.22610197353,"epa","kg"
"1986","Car","ICEV-G",1379.42005906753,"epa","kg"
"1986","Car","ICEV-D",1318.18569364174,"epa","kg"
"1987","All","All",1374.79564508963,"epa","kg"
"1987","Car","All",1374.79564508963,"epa","kg"
"1987","Car","ICEV-G",1374.16431203839,"epa","kg"
"1987","Car","ICEV-D",1625.57027424253,"epa","kg"
"1988","All","All",1381.88595871697,"epa","kg"
"1988","Car","All",1381.88595871697,"epa","kg"
"1988","Car","ICEV-G",1381.88725256966,"epa","kg"
"1988","Car","ICEV-D",1360.77711,"epa","kg"
"1989","All","All",1405.80336538672,"epa","kg"
"1989","Car","All",1405.80336538672,"epa","kg"
"1989","Car","ICEV-G",1405.85800378694,"epa","kg"
"1989","Car","ICEV-D",1276.02428285024,"epa","kg"
"1990","All","All",1440.56384300923,"epa","kg"
"1990","Car","All",1440.56384300923,"epa","kg"
"1990","Car","ICEV-G",1440.54410496221,"epa","kg"
"1990","Car","ICEV-D",1487.92494801181,"epa","kg"
"1991","All","All",1430.48074286231,"epa","kg"
"1991","Car","All",1430.48074286231,"epa","kg"
"1991","Car","ICEV-G",1430.3688985899,"epa","kg"
"1991","Car","ICEV-D",1517.59850726484,"epa","kg"
"1992","All","All",1469.58477086752,"epa","kg"
"1992","Car","All",1469.58477086752,"epa","kg"
"1992","Car","ICEV-G",1469.45938725843,"epa","kg"
"1992","Car","ICEV-D",1674.04251567784,"epa","kg"
"1993","All","All",1454.74632519586,"epa","kg"
"1993","Car","All",1454.74632519586,"epa","kg"
"1993","Car","ICEV-G",1454.74632519586,"epa","kg"
"1994","All","All",1474.03242469295,"epa","kg"
"1994","Car","All",1474.03242469295,"epa","kg"
"1994","Car","ICEV-G",1473.967226648,"epa","kg"
"1994","Car","ICEV-D",2267.96185,"epa","kg"
"1995","All","All",1479.89961277792,"epa","kg"
"1995","Car","All",1479.89961277792,"epa","kg"
"1995","Car","ICEV-G",1479.67837232192,"epa","kg"
