"Value","Year","Convergence_year","Scenario","Model","Unit","Target"
5703.220175,2005,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5602.449666,2006,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5686.716019,2007,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5512.512876,2008,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5120.690227,2009,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5352.120423,2010,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5128.17802,2011,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4903.010212,2012,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5038.523665,2013,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
5046.56463,2014,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4928.610664,2015,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4838.476243,2016,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4761.301727,2017,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4843.68384230441,2018,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4747.40343278834,2019,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4651.9392184727,2020,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4393.39753103395,2021,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
4140.42677597001,2022,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
3893.0269532809,2023,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
3651.1980629666,2024,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
3414.94010502713,2025,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
3184.25307946248,2026,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
2959.13698627265,2027,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
2739.59182545764,2028,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
2525.61759701746,2029,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
2317.21430095209,2030,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
2165.77011374051,2031,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
2018.1530871108,2032,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1874.36322106295,2033,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1734.40051559697,2034,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1598.26497071285,2035,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1465.9565864106,2036,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1337.47536269022,2037,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1212.8212995517,2038,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
1091.99439699505,2039,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
974.994655020268,2040,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
909.274967852536,2041,2040,"SSP1-19","AIM/CGE","Mt CO2","1.5C"
