"sourceBinID","polProcessID","opModeID","meanBaseRate","meanBaseRateCV","meanBaseRateIM","meanBaseRateIMCV","dataSourceId"
1010142940000000000,9101,16,345037.0,0.5,345037.0,0.5,8597
1010142940000000000,9101,15,271158.0,0.5,271158.0,0.5,8597
1010142940000000000,9101,14,221315.0,0.5,221315.0,0.5,8597
1010142940000000000,9101,13,170243.0,0.5,170243.0,0.5,8597
1010142940000000000,9101,12,114111.0,0.5,114111.0,0.5,8597
1010142940000000000,9101,11,89126.0,0.5,89126.0,0.5,8597
1010142940000000000,9101,1,58638.9,0.5,58638.9,0.5,8597
1010142940000000000,9101,0,70781.2,0.5,70781.2,0.5,8597
1010142930000000000,9101,40,777404.0,0.5,777404.0,0.5,8597
1010142930000000000,9101,39,591424.0,0.5,591424.0,0.5,8597
1010142930000000000,9101,38,448367.0,0.5,448367.0,0.5,8597
1010142930000000000,9101,37,343850.0,0.5,343850.0,0.5,8597
1010142930000000000,9101,35,261660.0,0.5,261660.0,0.5,8597
1010142930000000000,9101,33,166176.0,0.5,166176.0,0.5,8597
1010142930000000000,9101,30,820997.0,0.5,820997.0,0.5,8597
1010142930000000000,9101,29,683127.0,0.5,683127.0,0.5,8597
1010142930000000000,9101,28,498790.0,0.5,498790.0,0.5,8597
1010142930000000000,9101,27,374525.0,0.5,374525.0,0.5,8597
1010142930000000000,9101,25,273856.0,0.5,273856.0,0.5,8597
1010142930000000000,9101,24,214721.0,0.5,214721.0,0.5,8597
1010142930000000000,9101,23,164461.0,0.5,164461.0,0.5,8597
1010142930000000000,9101,22,127749.0,0.5,127749.0,0.5,8597
1010142930000000000,9101,21,108037.0,0.5,108037.0,0.5,8597
1010142930000000000,9101,16,339809.0,0.5,339809.0,0.5,8597
1010142930000000000,9101,15,266420.0,0.5,266420.0,0.5,8597
1010142930000000000,9101,14,217087.0,0.5,217087.0,0.5,8597
1010142930000000000,9101,13,166845.0,0.5,166845.0,0.5,8597
