"polProcessID","sourceTypeID","fuelTypeID","PM10PM25Ratio","PM10PM25RatioCV","minModelYearID","maxModelYearID"
10015,11,1,1.13043,0.0,1940,2060
10015,11,2,1.08696,0.02,1940,2060
10015,11,3,1.13043,0.0,1940,2060
10015,11,5,1.13043,0.0,1940,2060
10015,11,9,1.13043,0.0,1940,2060
10015,21,1,1.13043,0.0,1940,2060
10015,21,2,1.08696,0.02,1940,2060
10015,21,3,1.13043,0.0,1940,2060
10015,21,5,1.13043,0.0,1940,2060
10015,21,9,1.13043,0.0,1940,2060
10015,31,1,1.13043,0.0,1940,2060
10015,31,2,1.08696,0.02,1940,2060
10015,31,3,1.13043,0.0,1940,2060
10015,31,5,1.13043,0.0,1940,2060
10015,31,9,1.13043,0.0,1940,2060
10015,32,1,1.13043,0.0,1940,2060
10015,32,2,1.08696,0.02,1940,2060
10015,32,3,1.13043,0.0,1940,2060
10015,32,5,1.13043,0.0,1940,2060
10015,32,9,1.13043,0.0,1940,2060
10015,41,1,1.13043,0.0,1940,2060
10015,41,2,1.08696,0.02,1940,2060
10015,41,3,1.13043,0.0,1940,2060
10015,41,5,1.13043,0.0,1940,2060
10015,41,9,1.13043,0.0,1940,2060
10015,42,1,1.13043,0.0,1940,2060
10015,42,2,1.08696,0.02,1940,2060
10015,42,3,1.13043,0.0,1940,2060
10015,42,5,1.13043,0.0,1940,2060
10015,42,9,1.13043,0.0,1940,2060
10015,43,1,1.13043,0.0,1940,2060
10015,43,2,1.08696,0.02,1940,2060
10015,43,3,1.13043,0.0,1940,2060
10015,43,5,1.13043,0.0,1940,2060
10015,43,9,1.13043,0.0,1940,2060
10015,51,1,1.13043,0.0,1940,2060
10015,51,2,1.08696,0.02,1940,2060
10015,51,3,1.13043,0.0,1940,2060
10015,51,5,1.13043,0.0,1940,2060
10015,51,9,1.13043,0.0,1940,2060
10015,52,1,1.13043,0.0,1940,2060
10015,52,2,1.08696,0.02,1940,2060
10015,52,3,1.13043,0.0,1940,2060
10015,52,5,1.13043,0.0,1940,2060
10015,52,9,1.13043,0.0,1940,2060
10015,53,1,1.13043,0.0,1940,2060
10015,53,2,1.08696,0.02,1940,2060
10015,53,3,1.13043,0.0,1940,2060
10015,53,5,1.13043,0.0,1940,2060
10015,53,9,1.13043,0.0,1940,2060
10015,54,1,1.13043,0.0,1940,2060
10015,54,2,1.08696,0.02,1940,2060
10015,54,3,1.13043,0.0,1940,2060
10015,54,5,1.13043,0.0,1940,2060
10015,54,9,1.13043,0.0,1940,2060
10015,61,1,1.13043,0.0,1940,2060
10015,61,2,1.08696,0.02,1940,2060
10015,61,3,1.13043,0.0,1940,2060
10015,61,5,1.13043,0.0,1940,2060
10015,61,9,1.13043,0.0,1940,2060
10015,62,1,1.13043,0.0,1940,2060
10015,62,2,1.08696,0.02,1940,2060
10015,62,3,1.13043,0.0,1940,2060
10015,62,5,1.13043,0.0,1940,2060
10015,62,9,1.13043,0.0,1940,2060
10016,11,1,1.13043,0.0,1940,2060
10016,11,2,1.08696,0.02,1940,2060
10016,11,3,1.13043,0.0,1940,2060
10016,11,5,1.13043,0.0,1940,2060
10016,11,9,1.13043,0.0,1940,2060
10016,21,1,1.13043,0.0,1940,2060
10016,21,2,1.08696,0.02,1940,2060
10016,21,3,1.13043,0.0,1940,2060
10016,21,5,1.13043,0.0,1940,2060
10016,21,9,1.13043,0.0,1940,2060
10016,31,1,1.13043,0.0,1940,2060
10016,31,2,1.08696,0.02,1940,2060
10016,31,3,1.13043,0.0,1940,2060
10016,31,5,1.13043,0.0,1940,2060
10016,31,9,1.13043,0.0,1940,2060
10016,32,1,1.13043,0.0,1940,2060
10016,32,2,1.08696,0.02,1940,2060
10016,32,3,1.13043,0.0,1940,2060
10016,32,5,1.13043,0.0,1940,2060
10016,32,9,1.13043,0.0,1940,2060
10016,41,1,1.13043,0.0,1940,2060
10016,41,2,1.08696,0.02,1940,2060
