Technology,Fuel,Age,def,low,high
BEV100;BEV300;PHEV20;PHEV40,Electricity,0,1.016654253,1.016257458,1.017006765
BEV100;BEV300;PHEV20;PHEV40,Electricity,1,1.069024575,1.062415771,1.075198277
BEV100;BEV300;PHEV20;PHEV40,Electricity,2,1.103402355,1.092198942,1.113877475
BEV100;BEV300;PHEV20;PHEV40,Electricity,3,1.132273556,1.116959331,1.146599444
BEV100;BEV300;PHEV20;PHEV40,Electricity,4,1.15858647,1.139450133,1.176930126
BEV100;BEV300;PHEV20;PHEV40,Electricity,5,1.184178581,1.161366133,1.209140543
BEV100;BEV300;PHEV20;PHEV40,Electricity,6,1.210802942,1.184066826,1.240067615
BEV100;BEV300;PHEV20;PHEV40,Electricity,7,1.24028378,1.205447137,1.277875653
BEV100;BEV300;PHEV20;PHEV40,Electricity,8,1.275703047,1.228158874,1.322244247
BEV100;BEV300;PHEV20;PHEV40,Electricity,9,1.320923319,1.264984498,1.380176085
BEV100;BEV300;PHEV20;PHEV40,Electricity,10,1.382996421,1.302070052,1.459955014
