"","yearID","sourceTypeID","salesGrowthFactor","sourceTypePopulation","migrationrate"
"1","1990","21",0,132365011,1
"2","1991","21",0,126182408,1
"3","1992","21",0,124142441,1
"4","1993","21",0,124705895,1
"5","1994","21",0,124958316,1
"6","1995","21",0,125405598,1
"7","1996","21",0,122868588,1
"8","1997","21",0,122963306,1
"9","1998","21",0,125110846,1
"10","1999","21",0,125500148,1
"11","2000","21",0,126474780,1
"12","2001","21",0,129768738,1
"13","2002","21",0,128097527,1
"14","2003","21",0,127717652,1
"15","2004","21",0,128367793,1
"16","2005","21",0,128315551,1
"17","2006","21",0,127092219,1
"18","2007","21",0,126517928,1
"19","2008","21",0,125544736,1
"20","2009","21",0,123572451,1
"21","2010","21",0,121692450,1
"22","2011","21",0,121023808,1
"23","2012","21",0,120483028,1
"24","2013","21",0,120321082,1
"25","2014","21",0,119732374,1
"26","2015","21",0,120282110,1
"27","2016","21",0,122941529,1
"28","2017","21",0,131066049,1
"29","2018","21",0,133101607,1
"30","2019","21",0,132931847,1
"31","2020","21",0,129412242,1
"32","2021","21",0,125647106,1
"33","2022","21",0,122493956,1
"34","2023","21",0,119877217,1
"35","2024","21",0,117866449,1
"36","2025","21",0,116497870,1
"37","2026","21",0,115556385,1
"38","2027","21",0,114895864,1
"39","2028","21",0,114619595,1
"40","2029","21",0,114761581,1
"41","2030","21",0,115170514,1
"42","2031","21",0,116099926,1
"43","2032","21",0,117348644,1
"44","2033","21",0,118977299,1
"45","2034","21",0,121001547,1
"46","2035","21",0,123336532,1
"47","2036","21",0,125600835,1
"48","2037","21",0,127868256,1
"49","2038","21",0,130032479,1
"50","2039","21",0,131914640,1
"51","2040","21",0,133603969,1
"52","2041","21",0,135354041,1
"53","2042","21",0,137140954,1
"54","2043","21",0,138868628,1
"55","2044","21",0,140544115,1
"56","2045","21",0,142121798,1
"57","2046","21",0,143864423,1
"58","2047","21",0,145298949,1
"59","2048","21",0,146657049,1
"60","2049","21",0,147813158,1
"61","2050","21",0,148946867,1
"62","1990","31",0,57670826,1
"63","1991","31",0,61793343,1
"64","1992","31",0,66421939,1
"65","1993","31",0,71773044,1
"66","1994","31",0,76013770,1
"67","1995","31",0,79610568,1
"68","1996","31",0,83735983,1
"69","1997","31",0,85288510,1
"70","1998","31",0,86615386,1
"71","1999","31",0,91689940,1
"72","2000","31",0,93627921,1
"73","2001","31",0,100004328,1
"74","2002","31",0,101190294,1
"75","2003","31",0,103712146,1
"76","2004","31",0,108204728,1
"77","2005","31",0,112893775,1
"78","2006","31",0,113502726,1
"79","2007","31",0,115306238,1
"80","2008","31",0,117177114,1
"81","2009","31",0,113937614,1
"82","2010","31",0,113841272,1
"83","2011","31",0,114097399,1
"84","2012","31",0,115208643,1
"85","2013","31",0,116408210,1
"86","2014","31",0,116187900,1
"87","2015","31",0,118143217,1
"88","2016","31",0,116283065,1
"89","2017","31",0,120829413,1
"90","2018","31",0,121266969,1
"91","2019","31",0,122894461,1
"92","2020","31",0,127235745,1
"93","2021","31",0,131188524,1
"94","2022","31",0,134667193,1
"95","2023","31",0,137844933,1
"96","2024","31",0,140790740,1
"97","2025","31",0,143443592,1
"98","2026","31",0,145637174,1
"99","2027","31",0,147256989,1
"100","2028","31",0,148368025,1
"101","2029","31",0,148900847,1
"102","2030","31",0,149048952,1
"103","2031","31",0,148664327,1
"104","2032","31",0,147860646,1
"105","2033","31",0,146705941,1
"106","2034","31",0,145218831,1
"107","2035","31",0,143415489,1
"108","2036","31",0,141617851,1
"109","2037","31",0,139836065,1
"110","2038","31",0,138186904,1
"111","2039","31",0,136774065,1
"112","2040","31",0,135514313,1
"113","2041","31",0,134257582,1
"114","2042","31",0,133038710,1
"115","2043","31",0,131789775,1
"116","2044","31",0,130593734,1
"117","2045","31",0,129543400,1
"118","2046","31",0,128299724,1
"119","2047","31",0,127326877,1
"120","2048","31",0,126391879,1
"121","2049","31",0,125543526,1
"122","2050","31",0,124597005,1
